"Gene","Percentage"
"TCTA",4.12844036697248
"ZNF135",7.79816513761468
"MCM6",51.8348623853211
"ZNF789",11.9266055045872
"SLC26A2",11.4678899082569
"PHF10",25.2293577981651
"LINC00667",21.5596330275229
"C7orf25",0.917431192660551
"MANEAL",1.37614678899083
"CRYL1",1.8348623853211
"C21orf58",44.0366972477064
"ZNF718",5.96330275229358
"TXNL1",83.4862385321101
"SCRT2",0.917431192660551
"KCNQ2",56.8807339449541
"LINC00638",0.917431192660551
"FOXN4",0.458715596330275
"POP5",51.3761467889908
"ZSCAN2",7.79816513761468
"OGT",35.3211009174312
"DYRK2",27.5229357798165
"ALPK3",8.25688073394496
"LINC00648",1.37614678899083
"FZD10",0.458715596330275
"WDR19",23.394495412844
"TNS1",2.75229357798165
"WNT4",4.58715596330275
"CNTN1",1.37614678899083
"VPS41",27.5229357798165
"ZNF772",4.12844036697248
"LOXL1",14.6788990825688
"OXCT1",32.5688073394495
"CYB561D1",0.917431192660551
"AHSP",6.42201834862385
"RAC3",47.2477064220183
"PC",7.3394495412844
"GABRG2",0.917431192660551
"KCNN2",6.42201834862385
"ACAD8",24.3119266055046
"RBM3",92.2018348623853
"THNSL1",17.8899082568807
"PCTP",15.5963302752294
"PIN1",78.4403669724771
"PUS7",22.0183486238532
"TIAM2",16.0550458715596
"ATG9B",4.58715596330275
"CCDC142",3.6697247706422
"MPRIP",22.9357798165138
"ZBTB1",16.9724770642202
"GDI2",87.6146788990826
"TMEM255B",1.37614678899083
"RPP40",23.8532110091743
"CPE",90.8256880733945
"CAPS2",0
"SLC26A1",0.917431192660551
"FOXD1",57.7981651376147
"ZNF449",7.79816513761468
"KBTBD7",26.605504587156
"SLC39A1",65.5963302752293
"MACROD2",7.3394495412844
"TAF6",33.4862385321101
"WWC2-AS2",1.37614678899083
"PIGM",15.5963302752294
"FBXO46",11.0091743119266
"TGFB3",0.458715596330275
"SCNM1",30.7339449541284
"LRRC3",1.37614678899083
"CDH15",0
"ACADS",8.25688073394496
"RANBP3",25.2293577981651
"FLCN",5.04587155963303
"JMJD4",11.9266055045872
"REPS2",0
"DPCD",72.0183486238532
"SLC38A6",8.25688073394496
"TIGD6",4.12844036697248
"SOX7",2.29357798165138
"GRIK4",0
"SLC7A2",7.79816513761468
"CHRD",3.21100917431193
"VPS26B",14.2201834862385
"APEX1",95.8715596330275
"NMNAT2",0.458715596330275
"SLC45A1",2.29357798165138
"RAB34",76.1467889908257
"LINC00511",3.6697247706422
"SDCBP2-AS1",2.75229357798165
"ATG4D",16.9724770642202
"SLC16A1-AS1",5.5045871559633
"LIPT2",4.58715596330275
"SYNPO2",0
"EPHB1",16.9724770642202
