"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","volcano_treshold"
"ENSG00000086232",160.982267904245,-0.31275914723616,0.141075946139213,-2.2169558723181,0.0266261071356779,0.166526325633486,"EIF2AK1","no","no"
"ENSG00000086289",46.0355317328071,-0.589546887077215,0.241014679848588,-2.44610364583429,0.0144409479945243,0.105937843025283,"EPDR1","no","no"
"ENSG00000086300",48.6224080706173,-0.489973539593759,0.245234109297154,-1.99798282954208,0.0457185216809098,0.241190854403902,"SNX10","no","no"
"ENSG00000086475",204.005115282441,0.0578304694032521,0.131228965914218,0.440683724057194,0.659441981177915,0.915031484598218,"SEPHS1","no","no"
"ENSG00000086504",135.758329198622,-0.00347644754724065,0.174790092448664,-0.0198892711740037,0.984131703816525,0.995484128587106,"MRPL28","no","no"
"ENSG00000086544",23.9236294818297,0.0269333040176516,0.336505901467965,0.0800381327642648,0.936206927680553,0.987307609478246,"ITPKC","no","no"
"ENSG00000086589",166.123481608756,0.0660427612897223,0.142311597149159,0.464071534665598,0.642596495088223,0.909762680514731,"RBM22","no","no"
"ENSG00000086598",522.779758926326,-0.0405234595304908,0.112216075737156,-0.361119913205744,0.718009807692771,0.934348325054794,"TMED2","no","no"
"ENSG00000086619",36.3489207656061,1.24074788765035,0.277057786627408,4.47830000648538,7.5239813312854e-06,0.000171369827089455,"ERO1B","yes","no"
"ENSG00000086666",320.65519425109,0.0141427949137233,0.111877223748972,0.126413531188944,0.899404591737996,0.979316947215714,"ZFAND6","no","no"
"ENSG00000086696",7.89786813412244,-6.46409543407397,1.15767979596024,-5.58366437475254,2.35502981832439e-08,8.66446187941781e-07,"HSD17B2","yes","yes"
"ENSG00000086712",51.109691795357,-0.0260913671017503,0.257194336880979,-0.101446118208367,0.919196328241538,0.984251344253099,"TXLNG","no","no"
"ENSG00000086717",2.06997682019683,0.616205074378852,1.24403851679485,0.495326363339978,0.620369764343594,0.901594147415394,"PPEF1","no","no"
"ENSG00000086730",4.16767321693436,0.671646199653449,0.767538544072783,0.875065108899285,0.381538480311174,0.776287237411194,"LAT2","no","no"
"ENSG00000086758",373.687594285072,-0.0241143423970959,0.113917097994383,-0.211683257576356,0.832354150629701,0.962889156854921,"HUWE1","no","no"
"ENSG00000086827",45.4065758933627,-0.105145114194414,0.259023711763834,-0.40592852862166,0.684795115590866,0.923849749119273,"ZW10","no","no"
"ENSG00000086848",37.1043421556874,0.00645724254687609,0.265848894513509,0.0242891457521106,0.980621971013431,0.994311080068978,"ALG9","no","no"
"ENSG00000086991",11.3954755862438,-0.659423892745857,0.467983455466874,-1.40907522486665,0.15881292580891,0.519974841630875,"NOX4","no","no"
"ENSG00000087008",40.9726656117178,-0.0658765012751136,0.272305569627977,-0.241921240777829,0.808841191155068,0.957578550898272,"ACOX3","no","no"
"ENSG00000087053",144.396585159352,-0.24656490698628,0.15930887585802,-1.54771606828752,0.121690671709998,0.447834111804682,"MTMR2","no","no"
"ENSG00000087074",60.5932192046496,0.0796236210490848,0.241249422000835,0.330046888356106,0.741364533487486,0.942965613018805,"PPP1R15A","no","no"
"ENSG00000087076",44.0465901071658,-0.566363507717677,0.25626383535009,-2.21007972874498,0.0270996294556795,0.168491597688435,"HSD17B14","no","no"
"ENSG00000087077",219.288049471294,0.0363163701870719,0.142488839246451,0.254871682435833,0.79882220827207,0.955621837282065,"TRIP6","no","no"
"ENSG00000087085",5.74615212062426,0.565726185486626,0.760146578123651,0.744233022640275,0.456735513214639,0.822230807961339,"ACHE","no","no"
"ENSG00000087086",5907.74271735849,-0.328152862466911,0.114529085369983,-2.86523603508072,0.00416698517088746,0.0399558396782433,"FTL","no","no"
"ENSG00000087087",266.684021122543,0.0747262929483304,0.164586942999922,0.454023214638391,0.649812118113054,0.912129149681526,"SRRT","no","no"
"ENSG00000087088",9.93730122664598,-0.536426950605737,0.503877444318797,-1.06459806179843,0.287057857299613,0.692539868416058,"BAX","no","no"
"ENSG00000087095",199.353636511944,-0.351017201866234,0.15859375539644,-2.21331036010081,0.0268762558529347,0.167470739145478,"NLK","no","no"
"ENSG00000087111",121.803215387357,0.104434443245163,0.171150887183749,0.610189318697729,0.541736404544102,0.866857389493645,"PIGS","no","no"
"ENSG00000087116",12.2871392962873,-0.714729361510297,0.466031074419426,-1.53365172569382,0.125115355811022,0.45472942093867,"ADAMTS2","no","no"
