"ENSEMBL","gene","cluster"
"ENSG00000184867","ARMCX2","Dorsal forebrain"
"ENSG00000130309","COLGALT1","Dorsal forebrain"
"ENSG00000112290","WASF1","Dorsal forebrain"
"ENSG00000175356","SCUBE2","Dorsal forebrain"
"ENSG00000188523","CFAP77","Dorsal forebrain"
"ENSG00000064651","SLC12A2","Dorsal forebrain"
"ENSG00000197965","MPZL1","Dorsal forebrain"
"ENSG00000143355","LHX9","Dorsal forebrain"
"ENSG00000253551","LOC101929341","Dorsal forebrain"
"ENSG00000184845","DRD1","Dorsal forebrain"
"ENSG00000168348","INSM2","Dorsal forebrain"
"ENSG00000067798","NAV3","Dorsal forebrain"
"ENSG00000144369","FAM171B","Dorsal forebrain"
"ENSG00000188064","WNT7B","Dorsal forebrain"
"ENSG00000125492","BARHL1","Dorsal forebrain"
"ENSG00000176463","SLCO3A1","Dorsal forebrain"
"ENSG00000171488","LRRC8C","Dorsal forebrain"
"ENSG00000197565","COL4A6","Dorsal forebrain"
"ENSG00000165092","ALDH1A1","Dorsal forebrain"
"ENSG00000091664","SLC17A6","Dorsal forebrain"
"ENSG00000115138","POMC","Dorsal forebrain"
"ENSG00000196227","FAM217B","Dorsal forebrain"
"ENSG00000101825","MXRA5","Dorsal forebrain"
"ENSG00000114302","PRKAR2A","Dorsal forebrain"
"ENSG00000156973","PDE6D","Dorsal forebrain"
"ENSG00000265179",NA,"Dorsal forebrain"
"ENSG00000070808","CAMK2A","Dorsal forebrain"
"ENSG00000185088","RPS27L","Dorsal forebrain"
"ENSG00000162772","ATF3","Dorsal forebrain"
"ENSG00000150551","LYPD1","Dorsal forebrain"
"ENSG00000047849","MAP4","Dorsal forebrain"
"ENSG00000078114","NEBL","Dorsal forebrain"
"ENSG00000103145","HCFC1R1","Dorsal forebrain"
"ENSG00000189077","TMEM120A","Dorsal forebrain"
"ENSG00000006327","TNFRSF12A","Dorsal forebrain"
"ENSG00000078295","ADCY2","Dorsal forebrain"
"ENSG00000138772","ANXA3","Dorsal forebrain"
"ENSG00000134245","WNT2B","Dorsal forebrain"
"ENSG00000086696","HSD17B2","Dorsal forebrain"
"ENSG00000164330","EBF1","Dorsal forebrain"
"ENSG00000005469","CROT","Dorsal forebrain"
"ENSG00000075426","FOSL2","Dorsal forebrain"
"ENSG00000136193","SCRN1","Dorsal forebrain"
"ENSG00000015592","STMN4","Dorsal forebrain"
"ENSG00000138798","EGF","Dorsal forebrain"
"ENSG00000162738","VANGL2","Dorsal forebrain"
"ENSG00000108551","RASD1","Dorsal forebrain"
"ENSG00000270640",NA,"Dorsal forebrain"
"ENSG00000092096","SLC22A17","Dorsal forebrain"
"ENSG00000167468","GPX4","Dorsal forebrain"
"ENSG00000176170","SPHK1","Dorsal forebrain"
"ENSG00000169862","CTNND2","Dorsal forebrain"
"ENSG00000174963","ZIC4","Dorsal forebrain"
"ENSG00000152977","ZIC1","Dorsal forebrain"
"ENSG00000185149","NPY2R","Dorsal forebrain"
"ENSG00000154553","PDLIM3","Dorsal forebrain"
"ENSG00000120306","CYSTM1","Dorsal forebrain"
"ENSG00000132205","EMILIN2","Dorsal forebrain"
"ENSG00000168952","STXBP6","Dorsal forebrain"
"ENSG00000169174","PCSK9","Dorsal forebrain"
"ENSG00000095370","SH2D3C","Dorsal forebrain"
"ENSG00000261678","SCRT1","Dorsal forebrain"
"ENSG00000147488","ST18","Dorsal forebrain"
"ENSG00000196361","ELAVL3","Dorsal forebrain"
"ENSG00000162992","NEUROD1","Dorsal forebrain"
"ENSG00000149243","KLHL35","Dorsal forebrain"
"ENSG00000180875","GREM2","Dorsal forebrain"
"ENSG00000171786","NHLH1","Dorsal forebrain"
"ENSG00000221818","EBF2","Dorsal forebrain"
"ENSG00000125398","SOX9","Dorsal forebrain"
"ENSG00000081913","PHLPP1","Dorsal forebrain"
"ENSG00000128487","SPECC1","Dorsal forebrain"
"ENSG00000140873","ADAMTS18","Dorsal forebrain"
"ENSG00000164082","GRM2","Dorsal forebrain"
"ENSG00000111674","ENO2","Dorsal forebrain"
"ENSG00000141753","IGFBP4","Dorsal forebrain"
"ENSG00000110076","NRXN2","Dorsal forebrain"
"ENSG00000124171","PARD6B","Dorsal forebrain"
"ENSG00000078687","TNRC6C","Dorsal forebrain"
"ENSG00000272512",NA,"Dorsal forebrain"
"ENSG00000279839",NA,"Dorsal forebrain"
"ENSG00000117016","RIMS3","Dorsal forebrain"
"ENSG00000123094","RASSF8","Dorsal forebrain"
"ENSG00000137203","TFAP2A","Dorsal forebrain"
"ENSG00000120457","KCNJ5","Dorsal forebrain"
"ENSG00000253554","LINC01414","Dorsal forebrain"
"ENSG00000104267","CA2","Dorsal forebrain"
"ENSG00000184156","KCNQ3","Dorsal forebrain"
"ENSG00000213853","EMP2","Dorsal forebrain"
"ENSG00000012232","EXTL3","Dorsal forebrain"
"ENSG00000147454","SLC25A37","Dorsal forebrain"
"ENSG00000116667","C1orf21","Dorsal forebrain"
"ENSG00000198435","NRARP","Dorsal forebrain"
"ENSG00000139496","NUP58","Dorsal forebrain"
"ENSG00000101333","PLCB4","Dorsal forebrain"
"ENSG00000106278","PTPRZ1","Dorsal forebrain"
"ENSG00000060237","WNK1","Dorsal forebrain"
"ENSG00000164056","SPRY1","Dorsal forebrain"
"ENSG00000281406","BLACAT1","Dorsal forebrain"
"ENSG00000158711","ELK4","Dorsal forebrain"
"ENSG00000198929","NOS1AP","Dorsal forebrain"
"ENSG00000109956","B3GAT1","Dorsal forebrain"
"ENSG00000107560","RAB11FIP2","Dorsal forebrain"
"ENSG00000142733","MAP3K6","Dorsal forebrain"
"ENSG00000138658","ZGRF1","Dorsal forebrain"
"ENSG00000100281","HMGXB4","Dorsal forebrain"
"ENSG00000163960","UBXN7","Dorsal forebrain"
"ENSG00000153944","MSI2","Dorsal forebrain"
"ENSG00000178074","C2orf69","Dorsal forebrain"
"ENSG00000153207","AHCTF1","Dorsal forebrain"
"ENSG00000161513","FDXR","Dorsal forebrain"
"ENSG00000198355","PIM3","Dorsal forebrain"
"ENSG00000168280","KIF5C","Dorsal forebrain"
"ENSG00000144406","UNC80","Dorsal forebrain"
"ENSG00000120899","PTK2B","Dorsal forebrain"
"ENSG00000149212","SESN3","Dorsal forebrain"
"ENSG00000123091","RNF11","Dorsal forebrain"
"ENSG00000109686","SH3D19","Dorsal forebrain"
"ENSG00000087095","NLK","Dorsal forebrain"
"ENSG00000125869","LAMP5","Dorsal forebrain"
"ENSG00000078018","MAP2","Dorsal forebrain"
"ENSG00000186007","LEMD1","Dorsal forebrain"
"ENSG00000117394","SLC2A1","Dorsal forebrain"
"ENSG00000124212","PTGIS","Dorsal forebrain"
"ENSG00000005102","MEOX1","Dorsal forebrain"
"ENSG00000175183","CSRP2","Dorsal forebrain"
"ENSG00000104290","FZD3","Dorsal forebrain"
"ENSG00000152767","FARP1","Dorsal forebrain"
"ENSG00000118503","TNFAIP3","Dorsal forebrain"
"ENSG00000111907","TPD52L1","Dorsal forebrain"
"ENSG00000105696","TMEM59L","Dorsal forebrain"
"ENSG00000279591",NA,"Dorsal forebrain"
"ENSG00000105137","SYDE1","Dorsal forebrain"
"ENSG00000164733","CTSB","Dorsal forebrain"
"ENSG00000188290","HES4","Dorsal forebrain"
"ENSG00000007866","TEAD3","Dorsal forebrain"
"ENSG00000197217","ENTPD4","Dorsal forebrain"
"ENSG00000239922",NA,"Dorsal forebrain"
"ENSG00000153707","PTPRD","Dorsal forebrain"
"ENSG00000104695","PPP2CB","Dorsal forebrain"
"ENSG00000170091","NSG2","Dorsal forebrain"
"ENSG00000162889","MAPKAPK2","Dorsal forebrain"
"ENSG00000100592","DAAM1","Dorsal forebrain"
"ENSG00000283010",NA,"Dorsal forebrain"
"ENSG00000002933","TMEM176A","Dorsal forebrain"
"ENSG00000185650","ZFP36L1","Dorsal forebrain"
"ENSG00000074590","NUAK1","Dorsal forebrain"
"ENSG00000163545","NUAK2","Dorsal forebrain"
"ENSG00000150394","CDH8","Dorsal forebrain"
"ENSG00000156639","ZFAND3","Dorsal forebrain"
"ENSG00000198771","RCSD1","Dorsal forebrain"
"ENSG00000181773","GPR3","Dorsal forebrain"
"ENSG00000153815","CMIP","Dorsal forebrain"
"ENSG00000227992",NA,"Dorsal forebrain"
"ENSG00000118307","DNAI7","Dorsal forebrain"
"ENSG00000138495","COX17","Dorsal forebrain"
"ENSG00000006634","DBF4","Dorsal forebrain"
"ENSG00000159263","SIM2","Dorsal forebrain"
"ENSG00000154640","BTG3","Dorsal forebrain"
"ENSG00000141433","ADCYAP1","Dorsal forebrain"
"ENSG00000119862","LGALSL","Dorsal forebrain"
"ENSG00000151474","FRMD4A","Dorsal forebrain"
"ENSG00000196937","FAM3C","Dorsal forebrain"
"ENSG00000173530","TNFRSF10D","Dorsal forebrain"
"ENSG00000275216",NA,"Dorsal forebrain"
"ENSG00000177106","EPS8L2","Dorsal forebrain"
"ENSG00000131080","EDA2R","Dorsal forebrain"
"ENSG00000134574","DDB2","Dorsal forebrain"
"ENSG00000228526","MIR34AHG","Dorsal forebrain"
"ENSG00000118263","KLF7","Dorsal forebrain"
"ENSG00000183036","PCP4","Dorsal forebrain"
"ENSG00000257501","PAFAH1B2P2","Dorsal forebrain"
"ENSG00000136048","DRAM1","Dorsal forebrain"
"ENSG00000116514","RNF19B","Dorsal forebrain"
"ENSG00000111145","ELK3","Dorsal forebrain"
"ENSG00000116717","GADD45A","Dorsal forebrain"
"ENSG00000280485",NA,"Dorsal forebrain"
"ENSG00000108231","LGI1","Dorsal forebrain"
"ENSG00000280660",NA,"Dorsal forebrain"
"ENSG00000184254","ALDH1A3","Dorsal forebrain"
"ENSG00000080546","SESN1","Dorsal forebrain"
"ENSG00000119547","ONECUT2","Dorsal forebrain"
"ENSG00000105327","BBC3","Dorsal forebrain"
"ENSG00000143228","NUF2","Dorsal forebrain"
"ENSG00000118193","KIF14","Dorsal forebrain"
"ENSG00000114346","ECT2","Dorsal forebrain"
"ENSG00000113810","SMC4","Dorsal forebrain"
"ENSG00000142945","KIF2C","Dorsal forebrain"
"ENSG00000164611","PTTG1","Dorsal forebrain"
"ENSG00000123975","CKS2","Dorsal forebrain"
"ENSG00000131747","TOP2A","Dorsal forebrain"
"ENSG00000120318","ARAP3","Dorsal forebrain"
"ENSG00000155903","RASA2","Dorsal forebrain"
"ENSG00000104177","MYEF2","Dorsal forebrain"
"ENSG00000147894","C9orf72","Dorsal forebrain"
"ENSG00000167654","ATCAY","Dorsal forebrain"
"ENSG00000172175","MALT1","Dorsal forebrain"
"ENSG00000164466","SFXN1","Dorsal forebrain"
"ENSG00000167196","FBXO22","Dorsal forebrain"
"ENSG00000198887","SMC5","Dorsal forebrain"
"ENSG00000261609","GAN","Dorsal forebrain"
"ENSG00000173276","ZBTB21","Dorsal forebrain"
"ENSG00000126778","SIX1","Dorsal forebrain"
"ENSG00000138623","SEMA7A","Dorsal forebrain"
"ENSG00000239653","PSMD6-AS2","Dorsal forebrain"
"ENSG00000078304","PPP2R5C","Dorsal forebrain"
"ENSG00000115884","SDC1","Dorsal forebrain"
"ENSG00000156136","DCK","Dorsal forebrain"
"ENSG00000130595","TNNT3","Dorsal forebrain"
"ENSG00000199366",NA,"Dorsal forebrain"
"ENSG00000196376","SLC35F1","Dorsal forebrain"
"ENSG00000145526","CDH18","Dorsal forebrain"
"ENSG00000153012","LGI2","Dorsal forebrain"
"ENSG00000179314","WSCD1","Dorsal forebrain"
"ENSG00000186577","SMIM29","Dorsal forebrain"
"ENSG00000164951","PDP1","Dorsal forebrain"
"ENSG00000124785","NRN1","Dorsal forebrain"
"ENSG00000144583","MARCHF4","Dorsal forebrain"
"ENSG00000120265","PCMT1","Dorsal forebrain"
"ENSG00000213145","CRIP1","Dorsal forebrain"
"ENSG00000120549","KIAA1217","Dorsal forebrain"
"ENSG00000204442","NALF1","Dorsal forebrain"
"ENSG00000163923","RPL39L","Dorsal forebrain"
"ENSG00000184144","CNTN2","Dorsal forebrain"
"ENSG00000133048","CHI3L1","Dorsal forebrain"
"ENSG00000161638","ITGA5","Dorsal forebrain"
"ENSG00000183876","ARSI","Dorsal forebrain"
"ENSG00000137267","TUBB2A","Dorsal forebrain"
"ENSG00000049449","RCN1","Dorsal forebrain"
"ENSG00000236801","RPL24P8","Dorsal forebrain"
"ENSG00000113916","BCL6","Dorsal forebrain"
"ENSG00000068366","ACSL4","Dorsal forebrain"
"ENSG00000117592","PRDX6","Dorsal forebrain"
"ENSG00000173812","EIF1","Dorsal forebrain"
"ENSG00000168003","SLC3A2","Dorsal forebrain"
"ENSG00000120254","MTHFD1L","Dorsal forebrain"
"ENSG00000105281","SLC1A5","Dorsal forebrain"
"ENSG00000076716","GPC4","Dorsal forebrain"
"ENSG00000069849","ATP1B3","Dorsal forebrain"
"ENSG00000250366","TUNAR","Dorsal forebrain"
"ENSG00000111913","RIPOR2","Dorsal forebrain"
"ENSG00000205726","ITSN1","Dorsal forebrain"
"ENSG00000109189","USP46","Dorsal forebrain"
"ENSG00000249992","TMEM158","Dorsal forebrain"
"ENSG00000173207","CKS1B","Dorsal forebrain"
"ENSG00000097021","ACOT7","Dorsal forebrain"
"ENSG00000077152","UBE2T","Dorsal forebrain"
"ENSG00000165891","E2F7","Dorsal forebrain"
"ENSG00000140525","FANCI","Dorsal forebrain"
"ENSG00000198947","DMD","Dorsal forebrain"
"ENSG00000172020","GAP43","Dorsal forebrain"
"ENSG00000142089","IFITM3","Dorsal forebrain"
"ENSG00000170275","CRTAP","Dorsal forebrain"
"ENSG00000066468","FGFR2","Dorsal forebrain"
"ENSG00000148798","INA","Dorsal forebrain"
"ENSG00000171724","VAT1L","Dorsal forebrain"
"ENSG00000187094","CCK","Dorsal forebrain"
"ENSG00000118733","OLFM3","Dorsal forebrain"
"ENSG00000135002","RFK","Dorsal forebrain"
"ENSG00000203706",NA,"Dorsal forebrain"
"ENSG00000072110","ACTN1","Dorsal forebrain"
"ENSG00000035403","VCL","Dorsal forebrain"
"ENSG00000136868","SLC31A1","Dorsal forebrain"
"ENSG00000089693","MLF2","Dorsal forebrain"
"ENSG00000162188","GNG3","Dorsal forebrain"
"ENSG00000136159","NUDT15","Dorsal forebrain"
"ENSG00000164051","CCDC51","Dorsal forebrain"
"ENSG00000204899","MZT1","Dorsal forebrain"
"ENSG00000177426","TGIF1","Dorsal forebrain"
"ENSG00000145990","GFOD1","Dorsal forebrain"
"ENSG00000115596","WNT6","Dorsal forebrain"
"ENSG00000173157","ADAMTS20","Dorsal forebrain"
"ENSG00000173848","NET1","Dorsal forebrain"
"ENSG00000123983","ACSL3","Dorsal forebrain"
"ENSG00000070961","ATP2B1","Dorsal forebrain"
"ENSG00000147251","DOCK11","Dorsal forebrain"
"ENSG00000148700","ADD3","Dorsal forebrain"
"ENSG00000167460","TPM4","Dorsal forebrain"
"ENSG00000147065","MSN","Dorsal forebrain"
"ENSG00000106772","PRUNE2","Dorsal forebrain"
"ENSG00000158985","CDC42SE2","Dorsal forebrain"
"ENSG00000092621","PHGDH","Dorsal forebrain"
"ENSG00000158966","CACHD1","Dorsal forebrain"
"ENSG00000152413","HOMER1","Dorsal forebrain"
"ENSG00000167081","PBX3","Dorsal forebrain"
"ENSG00000203760","CENPW","Dorsal forebrain"
"ENSG00000069275","NUCKS1","Dorsal forebrain"
"ENSG00000120885","CLU","Dorsal forebrain"
"ENSG00000182968","SOX1","Dorsal forebrain"
"ENSG00000187210","GCNT1","Dorsal forebrain"
"ENSG00000175352","NRIP3","Dorsal forebrain"
"ENSG00000134215","VAV3","Dorsal forebrain"
"ENSG00000182247","UBE2E2","Dorsal forebrain"
"ENSG00000163485","ADORA1","Dorsal forebrain"
"ENSG00000075884","ARHGAP15","Dorsal forebrain"
"ENSG00000143153","ATP1B1","Dorsal forebrain"
"ENSG00000228999","LOC124908056","Dorsal forebrain"
"ENSG00000177337",NA,"Dorsal forebrain"
"ENSG00000130830","MPP1","Dorsal forebrain"
"ENSG00000114450","GNB4","Dorsal forebrain"
"ENSG00000160888","IER2","Dorsal forebrain"
"ENSG00000155052","CNTNAP5","Dorsal forebrain"
"ENSG00000154917","RAB6B","Dorsal forebrain"
"ENSG00000118407","FILIP1","Dorsal forebrain"
"ENSG00000173334","TRIB1","Dorsal forebrain"
"ENSG00000122779","TRIM24","Dorsal forebrain"
"ENSG00000089159","PXN","Dorsal forebrain"
"ENSG00000184515","BEX5","Dorsal forebrain"
"ENSG00000133069","TMCC2","Dorsal forebrain"
"ENSG00000116675","DNAJC6","Dorsal forebrain"
"ENSG00000224243","SOX1-OT","Dorsal forebrain"
"ENSG00000164300","SERINC5","Dorsal forebrain"
"ENSG00000156675","RAB11FIP1","Dorsal forebrain"
"ENSG00000059804","SLC2A3","Dorsal forebrain"
"ENSG00000189120","SP6","Dorsal forebrain"
"ENSG00000115457","IGFBP2","Dorsal forebrain"
"ENSG00000120539","MASTL","Dorsal forebrain"
"ENSG00000074181","NOTCH3","Dorsal forebrain"
"ENSG00000154134","ROBO3","Dorsal forebrain"
"ENSG00000099875","MKNK2","Dorsal forebrain"
"ENSG00000116679","IVNS1ABP","Dorsal forebrain"
"ENSG00000180616","SSTR2","Dorsal forebrain"
"ENSG00000075711","DLG1","Dorsal forebrain"
"ENSG00000135045","C9orf40","Dorsal forebrain"
"ENSG00000099204","ABLIM1","Dorsal forebrain"
"ENSG00000116991","SIPA1L2","Dorsal forebrain"
"ENSG00000250208","FZD10-AS1","Dorsal forebrain"
"ENSG00000136504","KAT7","Dorsal forebrain"
"ENSG00000201289","RN7SKP76","Dorsal forebrain"
"ENSG00000157927","RADIL","Dorsal forebrain"
"ENSG00000171450","CDK5R2","Dorsal forebrain"
"ENSG00000170836","PPM1D","Dorsal forebrain"
"ENSG00000082497","SERTAD4","Dorsal forebrain"
"ENSG00000278926",NA,"Dorsal forebrain"
"ENSG00000134253","TRIM45","Dorsal forebrain"
"ENSG00000168811","IL12A","Dorsal forebrain"
"ENSG00000188522","FAM83G","Dorsal forebrain"
"ENSG00000128165","ADM2","Dorsal forebrain"
"ENSG00000056487","PHF21B","Dorsal forebrain"
"ENSG00000137266","SLC22A23","Dorsal forebrain"
"ENSG00000160209","PDXK","Dorsal forebrain"
"ENSG00000262001",NA,"Early differentiation"
"ENSG00000109911","ELP4","Early differentiation"
"ENSG00000151233","GXYLT1","Early differentiation"
"ENSG00000117139","KDM5B","Early differentiation"
"ENSG00000074047","GLI2","Early differentiation"
"ENSG00000131504","DIAPH1","Early differentiation"
"ENSG00000154639","CXADR","Early differentiation"
"ENSG00000096696","DSP","Early differentiation"
"ENSG00000187772","LIN28B","Early differentiation"
"ENSG00000166840","GLYATL1","Early differentiation"
"ENSG00000075340","ADD2","Early differentiation"
"ENSG00000132953","XPO4","Early differentiation"
"ENSG00000248528",NA,"Early differentiation"
"ENSG00000136982","DSCC1","Early differentiation"
"ENSG00000106077","ABHD11","Early differentiation"
"ENSG00000167513","CDT1","Early differentiation"
"ENSG00000198554","WDHD1","Early differentiation"
"ENSG00000080854","IGSF9B","Early differentiation"
"ENSG00000173698","ADGRG2","Early differentiation"
"ENSG00000064419","TNPO3","Early differentiation"
"ENSG00000225077",NA,"Early differentiation"
"ENSG00000179915","NRXN1","Early differentiation"
"ENSG00000135525","MAP7","Early differentiation"
"ENSG00000174951","FUT1","Early differentiation"
"ENSG00000215417","MIR17HG","Early differentiation"
"ENSG00000127423","AUNIP","Early differentiation"
"ENSG00000272619",NA,"Early differentiation"
"ENSG00000198155",NA,"Early differentiation"
"ENSG00000253731","PCDHGA6","Early differentiation"
"ENSG00000129534","MIS18BP1","Early differentiation"
"ENSG00000127184","COX7C","Early differentiation"
"ENSG00000106591","MRPL32","Early differentiation"
"ENSG00000148985","PGAP2","Early differentiation"
"ENSG00000147687","TATDN1","Early differentiation"
"ENSG00000109689","STIM2","Early differentiation"
"ENSG00000142864","SERBP1","Early differentiation"
"ENSG00000005022","SLC25A5","Early differentiation"
"ENSG00000165175","MID1IP1","Early differentiation"
"ENSG00000137955","RABGGTB","Early differentiation"
"ENSG00000101361","NOP56","Early differentiation"
"ENSG00000204370","SDHD","Early differentiation"
"ENSG00000174607","UGT8","Early differentiation"
"ENSG00000125730","C3","Early differentiation"
"ENSG00000185532","PRKG1","Early differentiation"
"ENSG00000196139","AKR1C3","Early differentiation"
"ENSG00000115816","CEBPZ","Early differentiation"
"ENSG00000154645","CHODL","Early differentiation"
"ENSG00000003509","NDUFAF7","Early differentiation"
"ENSG00000272398","CD24","Early differentiation"
"ENSG00000159079","CFAP298","Early differentiation"
"ENSG00000274373",NA,"Early differentiation"
"ENSG00000124839","RAB17","Early differentiation"
"ENSG00000148680","HTR7","Early differentiation"
"ENSG00000223572","CKMT1B","Early differentiation"
"ENSG00000150594","ADRA2A","Early differentiation"
"ENSG00000113460","BRIX1","Early differentiation"
"ENSG00000177192","PUS1","Early differentiation"
"ENSG00000060140","STYK1","Early differentiation"
"ENSG00000146701","MDH2","Early differentiation"
"ENSG00000156928","MALSU1","Early differentiation"
"ENSG00000197498","RPF2","Early differentiation"
"ENSG00000165732","DDX21","Early differentiation"
"ENSG00000088832","FKBP1A","Early differentiation"
"ENSG00000135940","COX5B","Early differentiation"
"ENSG00000160124","MIX23","Early differentiation"
"ENSG00000128951","DUT","Early differentiation"
"ENSG00000167747","C19orf48P","Early differentiation"
"ENSG00000144354","CDCA7","Early differentiation"
"ENSG00000163029","SMC6","Early differentiation"
"ENSG00000152056","AP1S3","Early differentiation"
"ENSG00000183742","MACC1","Early differentiation"
"ENSG00000143970","ASXL2","Early differentiation"
"ENSG00000184809",NA,"Early differentiation"
"ENSG00000127831","VIL1","Early differentiation"
"ENSG00000183778","B3GALT5","Early differentiation"
"ENSG00000163002","NUP35","Early differentiation"
"ENSG00000077348","EXOSC5","Early differentiation"
"ENSG00000250046",NA,"Early differentiation"
"ENSG00000262943",NA,"Early differentiation"
"ENSG00000233834","GIRGL","Early differentiation"
"ENSG00000261236","BOP1","Early differentiation"
"ENSG00000073536","NLE1","Early differentiation"
"ENSG00000106263","EIF3B","Early differentiation"
"ENSG00000169783","LINGO1","Early differentiation"
"ENSG00000198087","CD2AP","Early differentiation"
"ENSG00000065618","COL17A1","Early differentiation"
"ENSG00000177098","SCN4B","Early differentiation"
"ENSG00000139629","GALNT6","Early differentiation"
"ENSG00000165349","SLC7A3","Early differentiation"
"ENSG00000249859","PVT1","Early differentiation"
"ENSG00000134323","MYCN","Early differentiation"
"ENSG00000261786",NA,"Early differentiation"
"ENSG00000155980","KIF5A","Early differentiation"
"ENSG00000104327","CALB1","Early differentiation"
"ENSG00000059378","PARP12","Early differentiation"
"ENSG00000104213","PDGFRL","Early differentiation"
"ENSG00000121904","CSMD2","Early differentiation"
"ENSG00000226419","SLC16A1-AS1","Early differentiation"
"ENSG00000196876","SCN8A","Early differentiation"
"ENSG00000103044","HAS3","Early differentiation"
"ENSG00000281398",NA,"Early differentiation"
"ENSG00000204581","ACOXL-AS1","Early differentiation"
"ENSG00000236330","RPL5P9","Early differentiation"
"ENSG00000153093","ACOXL","Early differentiation"
"ENSG00000089006","SNX5","Early differentiation"
"ENSG00000084774","CAD","Early differentiation"
"ENSG00000188848","BEND4","Early differentiation"
"ENSG00000156453","PCDH1","Early differentiation"
"ENSG00000142408","CACNG8","Early differentiation"
"ENSG00000141738","GRB7","Early differentiation"
"ENSG00000187514","PTMA","Early differentiation"
"ENSG00000170608","FOXA3","Early differentiation"
"ENSG00000197594","ENPP1","Early differentiation"
"ENSG00000256995",NA,"Early differentiation"
"ENSG00000134873","CLDN10","Early differentiation"
"ENSG00000120659","TNFSF11","Early differentiation"
"ENSG00000003400","CASP10","Early differentiation"
"ENSG00000144791","LIMD1","Early differentiation"
"ENSG00000198203","SULT1C2","Early differentiation"
"ENSG00000113569","NUP155","Early differentiation"
"ENSG00000115738","ID2","Early differentiation"
"ENSG00000137309","HMGA1","Early differentiation"
"ENSG00000105202","FBL","Early differentiation"
"ENSG00000137818","RPLP1","Early differentiation"
"ENSG00000175220","ARHGAP1","Early differentiation"
"ENSG00000130303","BST2","Early differentiation"
"ENSG00000075035","WSCD2","Early differentiation"
"ENSG00000100767","PAPLN","Early differentiation"
"ENSG00000168671","UGT3A2","Early differentiation"
"ENSG00000172053","QARS1","Early differentiation"
"ENSG00000179761","PIPOX","Early differentiation"
"ENSG00000108679","LGALS3BP","Early differentiation"
"ENSG00000063180","CA11","Early differentiation"
"ENSG00000108107","RPL28","Early differentiation"
"ENSG00000167658","EEF2","Early differentiation"
"ENSG00000133980","VRTN","Early differentiation"
"ENSG00000168028","RPSA","Early differentiation"
"ENSG00000017260","ATP2C1","Early differentiation"
"ENSG00000064102","INTS13","Early differentiation"
"ENSG00000145545","SRD5A1","Early differentiation"
"ENSG00000164985","PSIP1","Early differentiation"
"ENSG00000128050","PAICS","Early differentiation"
"ENSG00000119335","SET","Early differentiation"
"ENSG00000178982","EIF3K","Early differentiation"
"ENSG00000174547","MRPL11","Early differentiation"
"ENSG00000147684","NDUFB9","Early differentiation"
"ENSG00000119705","SLIRP","Early differentiation"
"ENSG00000107951","MTPAP","Early differentiation"
"ENSG00000128789","PSMG2","Early differentiation"
"ENSG00000107581","EIF3A","Early differentiation"
"ENSG00000080608","PUM3","Early differentiation"
"ENSG00000198498","TMA16","Early differentiation"
"ENSG00000122882","ECD","Early differentiation"
"ENSG00000113048","MRPS27","Early differentiation"
"ENSG00000269343","ZNF587B","Early differentiation"
"ENSG00000198586","TLK1","Early differentiation"
"ENSG00000188846","RPL14","Early differentiation"
"ENSG00000197728","RPS26","Early differentiation"
"ENSG00000114391","RPL24","Early differentiation"
"ENSG00000083845","RPS5","Early differentiation"
"ENSG00000143947","RPS27A","Early differentiation"
"ENSG00000181163","NPM1","Early differentiation"
"ENSG00000101132","PFDN4","Early differentiation"
"ENSG00000130741","EIF2S3","Early differentiation"
"ENSG00000186184","POLR1D","Early differentiation"
"ENSG00000070756","PABPC1","Early differentiation"
"ENSG00000203875","SNHG5","Early differentiation"
"ENSG00000089157","RPLP0","Early differentiation"
"ENSG00000130939","UBE4B","Early differentiation"
"ENSG00000198938","COX3","Early differentiation"
"ENSG00000151131","NOPCHAP1","Early differentiation"
"ENSG00000137574","TGS1","Early differentiation"
"ENSG00000196504","PRPF40A","Early differentiation"
"ENSG00000120800","UTP20","Early differentiation"
"ENSG00000137225","CAPN11","Early differentiation"
"ENSG00000081803","CADPS2","Early differentiation"
"ENSG00000084092","NOA1","Early differentiation"
"ENSG00000104872","PIH1D1","Early differentiation"
"ENSG00000156299","TIAM1","Early differentiation"
"ENSG00000118160","SLC8A2","Early differentiation"
"ENSG00000105289","TJP3","Early differentiation"
"ENSG00000165905","LARGE2","Early differentiation"
"ENSG00000213889","PPM1N","Early differentiation"
"ENSG00000162551","ALPL","Early differentiation"
"ENSG00000189143","CLDN4","Early differentiation"
"ENSG00000119782","FKBP1B","Early differentiation"
"ENSG00000122482","ZNF644","Early differentiation"
"ENSG00000198865","CCDC152","Early differentiation"
"ENSG00000175274","TP53I11","Early differentiation"
"ENSG00000111846","GCNT2","Early differentiation"
"ENSG00000105048","TNNT1","Early differentiation"
"ENSG00000196358","NTNG2","Early differentiation"
"ENSG00000146535","GNA12","Early differentiation"
"ENSG00000213516","RBMXL1","Early differentiation"
"ENSG00000142207","URB1","Early differentiation"
"ENSG00000150510","FAM124A","Early differentiation"
"ENSG00000111962","UST","Early differentiation"
"ENSG00000043355","ZIC2","Early differentiation"
"ENSG00000177156","TALDO1","Early differentiation"
"ENSG00000139800","ZIC5","Early differentiation"
"ENSG00000269404","SPIB","Early differentiation"
"ENSG00000149782","PLCB3","Early differentiation"
