"ENSEMBL","gene","cluster"
"ENSG00000150764","DIXDC1","Forebrain"
"ENSG00000110042","DTX4","Forebrain"
"ENSG00000265413",NA,"Forebrain"
"ENSG00000142611","PRDM16","Forebrain"
"ENSG00000135097","MSI1","Forebrain"
"ENSG00000144730","IL17RD","Forebrain"
"ENSG00000138443","ABI2","Forebrain"
"ENSG00000122756","CNTFR","Forebrain"
"ENSG00000107186","MPDZ","Forebrain"
"ENSG00000179195","ZNF664","Forebrain"
"ENSG00000106477","CEP41","Forebrain"
"ENSG00000157657","ZNF618","Forebrain"
"ENSG00000163093","BBS5","Forebrain"
"ENSG00000065970","FOXJ2","Forebrain"
"ENSG00000165102","HGSNAT","Forebrain"
"ENSG00000154240","CEP112","Forebrain"
"ENSG00000144560","VGLL4","Forebrain"
"ENSG00000112186","CAP2","Forebrain"
"ENSG00000152492","CCDC50","Forebrain"
"ENSG00000078269","SYNJ2","Forebrain"
"ENSG00000159461","AMFR","Forebrain"
"ENSG00000142279","WTIP","Forebrain"
"ENSG00000099715","PCDH11Y","Forebrain"
"ENSG00000184613","NELL2","Forebrain"
"ENSG00000143147","GPR161","Forebrain"
"ENSG00000187231","SESTD1","Forebrain"
"ENSG00000103260","METRN","Forebrain"
"ENSG00000247809","NR2F2-AS1","Forebrain"
"ENSG00000227705",NA,"Forebrain"
"ENSG00000141696","P3H4","Forebrain"
"ENSG00000122863","CHST3","Forebrain"
"ENSG00000185340","GAS2L1","Forebrain"
"ENSG00000174282","ZBTB4","Forebrain"
"ENSG00000111728","ST8SIA1","Forebrain"
"ENSG00000151422","FER","Forebrain"
"ENSG00000205269","TMEM170B","Forebrain"
"ENSG00000105443","CYTH2","Forebrain"
"ENSG00000173960","UBXN2A","Forebrain"
"ENSG00000129946","SHC2","Forebrain"
"ENSG00000074527","NTN4","Forebrain"
"ENSG00000197183","NOL4L","Forebrain"
"ENSG00000259291","ZNF710-AS1","Forebrain"
"ENSG00000140577","CRTC3","Forebrain"
"ENSG00000223482","NUTM2A-AS1","Forebrain"
"ENSG00000144677","CTDSPL","Forebrain"
"ENSG00000133612","AGAP3","Forebrain"
"ENSG00000172466","ZNF24","Forebrain"
"ENSG00000005238","ATOSB","Forebrain"
"ENSG00000250305","TRMT9B","Forebrain"
"ENSG00000258441","LINC00641","Forebrain"
"ENSG00000110881","ASIC1","Forebrain"
"ENSG00000169057","MECP2","Forebrain"
"ENSG00000180773","SLC36A4","Forebrain"
"ENSG00000187260","WDR86","Forebrain"
"ENSG00000182095","TNRC18","Forebrain"
"ENSG00000112541","PDE10A","Forebrain"
"ENSG00000203618","GP1BB","Forebrain"
"ENSG00000141570","CBX8","Forebrain"
"ENSG00000115295","CLIP4","Forebrain"
"ENSG00000197724","PHF2","Forebrain"
"ENSG00000164830","OXR1","Forebrain"
"ENSG00000106086","PLEKHA8","Forebrain"
"ENSG00000198060","MARCHF5","Forebrain"
"ENSG00000104765","BNIP3L","Forebrain"
"ENSG00000011105","TSPAN9","Forebrain"
"ENSG00000198420","TCAF1","Forebrain"
"ENSG00000235437","LINC01278","Forebrain"
"ENSG00000094631","HDAC6","Forebrain"
"ENSG00000172932","ANKRD13D","Forebrain"
"ENSG00000101940","WDR13","Forebrain"
"ENSG00000282057",NA,"Forebrain"
"ENSG00000140836","ZFHX3","Forebrain"
"ENSG00000127483","HP1BP3","Forebrain"
"ENSG00000136811","ODF2","Forebrain"
"ENSG00000123810","B9D2","Forebrain"
"ENSG00000108582","CPD","Forebrain"
"ENSG00000170035","UBE2E3","Forebrain"
"ENSG00000114978","MOB1A","Forebrain"
"ENSG00000143079","CTTNBP2NL","Forebrain"
"ENSG00000080298","RFX3","Forebrain"
"ENSG00000165194","PCDH19","Forebrain"
"ENSG00000121067","SPOP","Forebrain"
"ENSG00000107249","GLIS3","Forebrain"
"ENSG00000096746","HNRNPH3","Forebrain"
"ENSG00000129116","PALLD","Forebrain"
"ENSG00000144152","FBLN7","Forebrain"
"ENSG00000166963","MAP1A","Forebrain"
"ENSG00000169231","THBS3","Forebrain"
"ENSG00000165949","IFI27","Forebrain"
