"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","high_threshold"
"ENSG00000165304",154.874229268636,-0.254510955179071,0.143872300408866,-1.76900594802324,0.0768928819767445,0.330738713434967,"MELK","no","no"
"ENSG00000165312",163.018230489582,0.567607975317945,0.149831085727758,3.78831917663124,0.000151669921240325,0.00361358003700535,"OTUD1","no","no"
"ENSG00000165322",136.177122677191,-0.0882246835488735,0.149627302587145,-0.589629579785347,0.555439016130884,0.829162976644926,"ARHGAP12","no","no"
"ENSG00000165323",20.8170076455085,0.618205977051976,0.364867906772211,1.69432818172722,0.0902029382512792,0.361089043818156,"FAT3","no","no"
"ENSG00000165338",62.7144175063605,-0.503016478665855,0.204123998147672,-2.46426918554648,0.0137292958261077,0.112401250391101,"HECTD2","no","no"
"ENSG00000165349",98.5646949077676,0.0694834731416668,0.1631440113002,0.425902689212483,0.670178755283253,0.883436137327469,"SLC7A3","no","no"
"ENSG00000165355",95.7450017487496,0.0785379491490324,0.170562215240534,0.460465109686074,0.645182409522315,0.872367037011334,"FBXO33","no","no"
"ENSG00000165359",44.6900032467393,0.589404498000441,0.238054318979809,2.47592440467519,0.0132891712626569,0.109942322347002,"INTS6L","no","no"
"ENSG00000165389",173.175493885817,-0.23631657574969,0.135939969556067,-1.73838920606956,0.0821422573341456,0.342543103757025,"SPTSSA","no","no"
"ENSG00000165392",173.788470420242,0.0299175804884815,0.127617002704521,0.23443255878491,0.814649184540088,0.943401023213895,"WRN","no","no"
"ENSG00000165410",59.7048853356259,-0.0401458833502242,0.208959071728239,-0.192123189570997,0.847645710615924,0.952777999082299,"CFL2","no","no"
"ENSG00000165416",285.757072737734,-0.163391470761325,0.10706533171707,-1.52609129529531,0.126987129616346,0.431701972691466,"SUGT1","no","no"
"ENSG00000165417",129.689278416439,0.0651523044249301,0.148423982811682,0.438960760860287,0.660689968788569,0.878989307089139,"GTF2A1","no","no"
"ENSG00000165424",103.03365743311,-0.241923881765272,0.167848951774607,-1.44131899072051,0.149494584577948,0.470774787018174,"ZCCHC24","no","no"
"ENSG00000165434",136.232854987451,0.210500718528242,0.146806539930824,1.4338647217449,0.151610870925023,0.474084881907028,"PGM2L1","no","no"
"ENSG00000165449",271.472831546833,-0.0449433351644663,0.108058260857943,-0.415917624507673,0.67747028233417,0.886961412886805,"SLC16A9","no","no"
"ENSG00000165458",28.5168766825743,0.14446356906222,0.297485262051768,0.485615885862207,0.627239531112793,0.865255884350111,"INPPL1","no","no"
"ENSG00000165462",15.7364063052656,0.521550441347128,0.4192097112037,1.24412776567024,0.213452543586435,0.561946492298983,"PHOX2A","no","no"
"ENSG00000165475",5.04396565742253,0.749496883250724,0.687091382901261,1.09082561927346,0.275349621145662,0.627250509770643,"CRYL1","no","no"
"ENSG00000165476",151.83370845245,-0.153556795092376,0.144890483105913,-1.05981284485143,0.289229751999243,0.641393962966882,"REEP3","no","no"
"ENSG00000165480",89.3837704329469,-0.285944855130898,0.170132144882115,-1.68072209592744,0.0928169066624771,0.366330012816982,"SKA3","no","no"
"ENSG00000165487",156.551668598939,-0.142339503026883,0.14653514227586,-0.97136769252881,0.331365210757871,0.678725022028143,"MICU2","no","no"
"ENSG00000165490",74.0155028743514,-0.510843455234034,0.188582594357816,-2.70885792495124,0.00675152443669477,0.0686612772791424,"DDIAS","no","no"
"ENSG00000165494",126.509293765036,0.0161434748750733,0.149551232114347,0.107946117506608,0.914038434344794,0.974994001358572,"PCF11","no","no"
"ENSG00000165495",38.6152371217547,-0.396240008963428,0.258257939935228,-1.53428006535949,0.124960767755219,0.427726470694689,"PKNOX2","no","no"
"ENSG00000165501",62.7501389157522,-0.262700445383975,0.201953151225439,-1.30079894168487,0.193327284329467,0.535997900899302,"LRR1","no","no"
"ENSG00000165502",691.279879573148,-0.185306201632814,0.0764661487894507,-2.42337563178517,0.0153770174665471,0.121447056317423,"RPL36AL","no","no"
"ENSG00000165506",132.558102320255,-0.0615012563015141,0.146894719605811,-0.418675745912115,0.675453123666102,0.885791843910814,"DNAAF2","no","no"
"ENSG00000165507",55.48297366516,0.359011485969956,0.445047391546435,0.80668147435372,0.419850020035696,0.747257925861262,"DEPP1","no","no"
"ENSG00000165511",5.92414451269168,0.824238516777481,0.671237500805288,1.22793871884189,0.219469973325652,0.569383562430673,"ZNF22-AS1","no","no"
"ENSG00000165512",168.985145230793,-0.179020792536455,0.131564930652193,-1.36070297494183,0.173607574092122,0.507634644358809,"ZNF22","no","no"
"ENSG00000165516",24.0733846053214,0.110018753683715,0.335748091836467,0.327682439182116,0.743151782446978,0.91326768826639,"KLHDC2","no","no"
"ENSG00000165525",331.241632845103,0.102625999727062,0.108337309991502,0.947282148090185,0.343495025062274,0.689155844734019,"NEMF","no","no"
"ENSG00000165526",69.9842627549968,-0.218112427212318,0.194096115743705,-1.12373411686571,0.261125838420815,0.61275989517333,"RPUSD4","no","no"
"ENSG00000165527",301.710261433316,-0.336955044288687,0.104315631164928,-3.23014912075779,0.0012372566779821,0.0194044670011235,"ARF6","no","no"
