"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","high_threshold"
"ENSG00000144228",40.2207039879114,0.0793718982935307,0.213152717761237,0.372371035786836,0.709616615958121,0.867131852704852,"SPOPL","no","no"
"ENSG00000144231",107.013733517877,0.366801568552821,0.134571611224737,2.72569797756419,0.00641656824425003,0.0391823108276385,"POLR2D","no","no"
"ENSG00000144233",68.7180385886252,-0.0229117198985816,0.152971341299431,-0.149777858414234,0.880939878706295,0.951377351394832,"AMMECR1L","no","no"
"ENSG00000144278",8.65075826466583,-0.379094517525034,0.492082232546673,-0.770388549822469,0.441069443487304,0.678523340857161,"GALNT13","no","no"
"ENSG00000144283",190.767715749593,-0.0602203006671318,0.115704748225647,-0.520465249616984,0.602739342311832,0.799978688407182,"PKP4","no","no"
"ENSG00000144306",33.7242555072373,0.183774874394383,0.25337615978953,0.725304521731794,0.468265232354577,0.700403601865638,"SCRN3","no","no"
"ENSG00000144320",101.382221771885,0.189732213359682,0.140087577989242,1.35438285166335,0.175614265667552,0.40437801438813,"LNPK","no","no"
"ENSG00000144331",15.8737334798316,-1.04472207451707,0.423522176151643,-2.46674704028486,0.0136346640556933,0.0694516948749571,"ZNF385B","no","no"
"ENSG00000144339",16.9956921139862,5.42274541156336,0.711300993507074,7.62370003846962,2.46505816389169e-14,3.48414928286642e-12,"TMEFF2","yes","yes"
"ENSG00000144354",102.566588217323,0.14745498953078,0.159236229111783,0.926014075774599,0.35443866530611,0.607264826682441,"CDCA7","no","no"
"ENSG00000144357",69.114670511456,0.0972317086769979,0.172969985741598,0.562130523744468,0.574027093059464,0.781966855730981,"UBR3","no","no"
"ENSG00000144362",24.0594120103574,-0.183044676805736,0.300932802070425,-0.608257642724171,0.54301660917243,0.758704295493924,"PHOSPHO2","no","no"
"ENSG00000144366",327.738772627187,0.394319331731563,0.113168649778286,3.48435129785583,0.000493331508819428,0.00517908712610251,"GULP1","no","no"
"ENSG00000144369",40.1432163909351,-0.318584711718913,0.24026243830976,-1.3259863421022,0.184844221386123,0.416420472825935,"FAM171B","no","no"
"ENSG00000144381",752.027426092881,-0.0854009457962935,0.0787755603940745,-1.08410457975894,0.278318432489872,0.52918884368745,"HSPD1","no","no"
"ENSG00000144395",68.9089321325672,0.384885479583528,0.248417583765096,1.54934877696692,0.121297900157397,0.320237508615999,"CCDC150","no","no"
"ENSG00000144401",105.720868327673,-0.12563655065344,0.168769739881246,-0.744425812007793,0.456618908029913,0.691006318788177,"METTL21A","no","no"
"ENSG00000144406",11.8387314474343,-1.00330954327241,0.44900655219186,-2.23450980475602,0.0254495481414881,0.11067119580471,"UNC80","no","no"
"ENSG00000144426",77.327641193505,-0.0118861830512206,0.161214343826816,-0.0737290663415739,0.941225970129482,0.977231362577184,"NBEAL1","no","no"
"ENSG00000144445",32.6424336683766,-0.263739948666317,0.231455766486075,-1.13948316203297,0.25450168731149,0.502324314978186,"KANSL1L","no","no"
"ENSG00000144451",105.823902214746,0.887057444043474,0.182081585460735,4.87175812863715,1.1060952895804e-06,2.83620451465417e-05,"SPAG16","no","no"
"ENSG00000144455",28.1918881217507,0.0682624773367017,0.230047519744037,0.296732072628534,0.766671068836199,0.899015621792504,"SUMF1","no","no"
"ENSG00000144468",44.9250928175934,-0.18669628793657,0.198645022037299,-0.939848811824314,0.347295117042098,0.600907096083598,"RHBDD1","no","no"
"ENSG00000144476",28.9621864261488,1.37899404028967,0.815639068099851,1.69069150096284,0.0908957383917658,0.26683931305992,"ACKR3","no","no"
"ENSG00000144485",65.1658476032729,1.91219695530804,0.225430406218188,8.48242695999616,2.20544551402199e-17,5.11222270150297e-15,"HES6","yes","no"
