"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","volcano_treshold"
"ENSG00000182934",69.2712674730938,0.340692619963456,0.183759002318813,1.85401866392576,0.0637364898670714,0.352985676771694,"SRPRA","no","no"
"ENSG00000182944",890.121769053916,-0.0645372443915746,0.119322709517657,-0.540863048219874,0.588601982051836,0.871689327229955,"EWSR1","no","no"
"ENSG00000182952",145.972182770343,-0.0416664326431894,0.144805035930142,-0.287741599424003,0.773544544290243,0.93572151740723,"HMGN4","no","no"
"ENSG00000182957",55.0527538299842,0.49953249243315,0.19351046839662,2.58142361274898,0.00983937636548659,0.121092680375245,"SPATA13","no","no"
"ENSG00000182963",320.526002506033,-0.102908648229395,0.102226733016988,-1.00667061533007,0.314093087532034,0.707289725338172,"GJC1","no","no"
"ENSG00000182968",264.416817925095,0.0488889419307625,0.357158515242547,0.136883036087105,0.891123247852658,0.971462063843953,"SOX1","no","no"
"ENSG00000182973",68.8926882881183,-0.43208508113884,0.157738631181728,-2.73924705636023,0.00615800794859015,0.0915350332728971,"CNOT10","no","no"
"ENSG00000182979",19.9151417105046,0.115110546457248,0.285534488479351,0.403140605081661,0.686844790780375,0.908250528324186,"MTA1","no","no"
"ENSG00000182985",385.951425748086,0.154218994188471,0.137286341416699,1.12333821847854,0.261293877987777,0.662775166251781,"CADM1","no","no"
"ENSG00000182986",92.400197863486,0.0254483626416375,0.13564480450523,0.187610301289912,0.85118215037916,0.960495574224329,"ZNF320","no","no"
"ENSG00000182993",9.24471945007367,-0.814224410196222,0.467211279031153,-1.74273277795147,0.081380303276383,0.395001688664852,"C12orf60","no","no"
"ENSG00000183011",92.8015328135283,0.189510728084913,0.182691564443878,1.03732610020497,0.299583905905263,0.696902115690321,"NAA38","no","no"
"ENSG00000183018",9.89090276587066,1.35334733527291,0.595003659687166,2.27451934662798,0.022934779234434,0.198768086698428,"SPNS2","no","no"
"ENSG00000183020",23.8380572518699,0.243943009608612,0.259416386046278,0.94035312620959,0.347036457268147,0.733575412829709,"AP2A2","no","no"
"ENSG00000183023",8.75779601931692,0.595756364443686,0.45953874079239,1.29642250273919,0.194829963545405,0.585453757021704,"SLC8A1","no","no"
"ENSG00000183032",7.79770374704004,-0.0156152528053988,0.446513181123776,-0.0349715382782175,0.972102436149062,0.993430526972239,"SLC25A21","no","no"
"ENSG00000183036",22.2921143528656,1.5512636459302,0.537931603241212,2.88375629277651,0.00392962735740637,0.0671961867760307,"PCP4","no","no"
"ENSG00000183044",21.8500126239885,0.414674208462145,0.324556436174948,1.27766441284997,0.20136777821176,0.594005705485844,"ABAT","no","no"
"ENSG00000183048",10.9227942600565,-0.280726563206385,0.414267283569707,-0.677645989293163,0.497996179317574,0.825603487435274,"SLC25A10","no","no"
"ENSG00000183049",55.3794455209024,-0.115470799155271,0.189476176329815,-0.609421202137172,0.542245287935755,0.848828645534693,"CAMK1D","no","no"
"ENSG00000183060",29.268306632332,-0.2272537522869,0.240999003852018,-0.942965525394628,0.345698536826487,0.732961718214354,"LYSMD4","no","no"
"ENSG00000183067",3.58381308317702,0.399155650512553,0.731161156110864,0.545920208118975,0.585120786770154,0.87027198574789,"IGSF5","no","no"
"ENSG00000183077",51.1851571610524,-0.290561327607614,0.183558095150766,-1.5829393270232,0.113435293980552,0.461125970941218,"AFMID","no","no"
"ENSG00000183087",219.857204316001,-0.0733448550752251,0.219981165621313,-0.333414248752026,0.738821608943448,0.924653280119911,"GAS6","no","no"
"ENSG00000183091",8.91769513405468,0.0121883489127117,0.463383598271844,0.0263029355336858,0.979015713505353,0.994760630441746,"NEB","no","no"
"ENSG00000183092",6.0337561469765,0.284860969133155,0.600325839495134,0.474510591402695,0.635135847016193,0.889500124640475,"BEGAIN","no","no"
"ENSG00000183098",114.736847822664,0.0861361653944332,0.141507828133215,0.608702476256968,0.542721665387288,0.849057836296456,"GPC6","no","no"
"ENSG00000183114",3.94502521612558,1.65981572695274,0.754168513835654,2.20085524190213,0.0277462733665515,0.223455014454273,"FAM43B","no","no"
"ENSG00000183137",127.833095054462,0.280638447488425,0.119501481002853,2.34840978650069,0.0188537657926729,0.17869678410838,"CEP57L1","no","no"
"ENSG00000183145",8.37913792200626,-0.219962491982779,0.618306976805907,-0.355749652250532,0.722028057175358,0.919429127950482,"RIPPLY3","no","no"
"ENSG00000183150",50.4448836979999,-0.0422442921117217,0.229187130877082,-0.18432226953606,0.853760644662504,0.961692226727064,"GPR19","no","no"
"ENSG00000183155",48.2679693593765,0.235596171896747,0.189264537824729,1.24479828394966,0.213205907106282,0.609571251767933,"RABIF","no","no"
