,gene,day_04_02,day_06_04,day_08_06,day_10_08,day_12_10,day_12_06,day_06_02
169,WNT5B,UP,UP,no,no,no,no,UP
170,SCNN1A,DOWN,no,no,no,no,no,DOWN
171,ADGRD1,DOWN,no,no,no,no,no,DOWN
172,PTPN6,DOWN,no,no,no,no,no,DOWN
173,PHC1,DOWN,no,no,no,no,no,DOWN
174,MDGA1,DOWN,no,no,no,no,no,no
175,BMP5,UP,no,no,no,no,no,UP
176,BAG2,DOWN,no,no,no,no,no,DOWN
177,SOBP,UP,no,no,no,no,no,UP
178,TRIM38,DOWN,no,no,no,no,no,DOWN
179,SLC16A10,DOWN,no,no,no,no,UP,no
180,C6orf118,UP,no,UP,no,no,UP,UP
181,SMOC2,DOWN,no,no,no,no,no,DOWN
182,MRPL2,DOWN,no,no,no,no,no,no
183,VEGFA,DOWN,no,no,no,no,UP,no
184,POLR3G,DOWN,no,no,no,no,DOWN,DOWN
185,TARS1,DOWN,no,no,no,no,no,DOWN
186,UNC5A,DOWN,no,no,no,no,no,DOWN
187,AMOTL2,UP,UP,no,no,no,UP,UP
188,KAT2B,UP,no,no,no,no,UP,UP
189,WNT5A,DOWN,no,no,no,no,no,DOWN
190,STEAP3,DOWN,no,no,no,no,no,DOWN
191,GRB14,DOWN,no,no,no,no,no,DOWN
192,GALNT3,DOWN,no,no,no,no,no,DOWN
193,OTX1,UP,no,no,no,no,no,UP
194,ODC1,UP,no,no,no,no,no,UP
195,SLC25A12,DOWN,no,no,no,no,no,DOWN
196,RND3,DOWN,UP,UP,no,no,UP,no
197,ATP6V1B1,DOWN,no,no,no,no,DOWN,DOWN
198,EPHA4,UP,no,no,no,no,DOWN,UP
199,FBXO2,DOWN,no,no,no,no,no,DOWN
200,WLS,UP,no,no,no,no,UP,UP
201,RGS2,DOWN,no,no,no,no,no,DOWN
202,OLFML3,DOWN,no,no,no,no,no,DOWN
203,ST6GALNAC5,UP,no,no,no,no,no,UP
204,F3,DOWN,no,no,no,no,UP,no
205,IRF6,DOWN,no,no,no,no,no,DOWN
206,MTARC2,DOWN,no,no,no,no,no,DOWN
207,NRP2,DOWN,no,no,no,no,no,DOWN
208,FILIP1,DOWN,no,no,no,no,no,no
209,PLAGL1,UP,UP,no,no,no,no,UP
210,MYB,DOWN,no,no,no,no,no,DOWN
211,OLFM3,UP,no,no,no,no,no,no
212,PPL,DOWN,no,no,no,no,UP,DOWN
213,KLF9,DOWN,no,no,no,no,UP,no
214,BSPRY,DOWN,no,no,no,no,no,DOWN
215,IRF2BPL,DOWN,no,no,no,no,no,DOWN
216,BCL11A,DOWN,no,no,no,no,no,DOWN
217,EPCAM,DOWN,DOWN,no,no,no,no,DOWN
218,EGR1,UP,no,no,no,no,UP,no
219,TNFRSF8,DOWN,no,no,no,no,no,DOWN
220,AKAP1,DOWN,no,no,no,no,no,DOWN
221,LRAT,DOWN,DOWN,no,no,no,no,DOWN
222,TRIM6,DOWN,no,no,no,no,no,DOWN
223,ECHDC2,DOWN,no,no,no,no,UP,DOWN
224,DPPA4,DOWN,no,no,no,no,no,DOWN
225,CPXM2,DOWN,no,no,no,no,no,DOWN
226,GLIPR2,DOWN,no,no,no,no,no,no
227,CNTFR,UP,no,no,no,no,no,UP
228,TRIM24,DOWN,no,UP,no,no,UP,DOWN
229,ITPR2,DOWN,no,no,no,no,no,DOWN
230,NFE2,DOWN,no,no,no,no,no,no
231,NMI,DOWN,no,no,no,no,no,DOWN
232,LPGAT1,DOWN,no,no,no,no,no,DOWN
233,SLPI,DOWN,no,no,no,no,no,DOWN
234,GDAP1L1,DOWN,no,no,no,no,no,DOWN
235,SNAI1,DOWN,no,no,no,no,no,DOWN
236,CHST8,DOWN,no,no,no,no,no,DOWN
237,GRM4,DOWN,no,no,no,no,no,DOWN
238,RAB17,DOWN,no,no,no,no,no,DOWN
239,WNT1,UP,no,no,no,no,no,UP
240,EFNB2,UP,no,no,no,no,no,UP
241,HS3ST3B1,UP,UP,no,no,no,no,UP
242,C3,DOWN,no,DOWN,no,no,no,DOWN
243,SH2D3A,DOWN,no,no,no,no,no,DOWN
244,OVOL2,DOWN,no,no,no,no,no,DOWN
245,BFSP1,DOWN,no,no,no,no,no,DOWN
246,LAMP5,UP,no,no,no,no,DOWN,UP
247,ZNF436,UP,no,no,no,no,no,UP
248,HSPA2,DOWN,no,no,no,no,no,DOWN
249,FBXL16,DOWN,no,UP,no,no,UP,DOWN
250,TUBA4A,DOWN,no,no,no,no,no,DOWN
251,KRT17,DOWN,no,no,no,no,no,DOWN
252,PODXL,DOWN,no,no,no,no,no,DOWN
253,LRRC4,UP,no,no,no,no,no,UP
254,CGNL1,DOWN,no,no,no,no,no,DOWN
255,CHAC1,DOWN,no,UP,DOWN,no,no,no
256,AP1M2,DOWN,DOWN,no,no,no,no,DOWN
257,FOXJ1,DOWN,no,no,no,no,UP,no
258,GDPD2,DOWN,no,no,no,no,UP,DOWN
259,ZSCAN10,DOWN,DOWN,no,no,no,no,DOWN
260,APOE,DOWN,no,no,no,no,no,DOWN
261,GADD45G,DOWN,no,no,no,no,no,no
262,KIF1A,DOWN,no,no,no,no,UP,DOWN
263,UNC13A,DOWN,DOWN,no,no,no,no,DOWN
264,OLFM1,DOWN,no,no,no,no,no,DOWN
265,ASS1,DOWN,DOWN,no,no,no,no,DOWN
266,ARHGEF16,DOWN,no,no,no,no,no,DOWN
267,SMPDL3B,DOWN,no,no,no,no,no,DOWN
268,SHFL,DOWN,no,no,no,no,no,DOWN
269,EPS8L1,DOWN,no,no,no,no,no,no
270,RAB11FIP4,DOWN,no,no,no,no,no,DOWN
271,LRRC4B,UP,no,no,no,no,no,UP
272,ANO1,DOWN,no,no,no,no,no,DOWN
273,PPP1R1B,DOWN,DOWN,no,no,no,no,DOWN
274,RHPN2,DOWN,no,no,no,no,no,DOWN
275,GCH1,DOWN,no,no,no,no,no,no
276,LGALS3,DOWN,no,no,UP,UP,UP,DOWN
277,TRIM22,DOWN,no,no,no,no,no,DOWN
278,RAP1GAP2,DOWN,no,no,no,no,no,DOWN
279,RAB25,DOWN,DOWN,no,no,no,no,DOWN
280,TESMIN,DOWN,no,no,no,no,no,DOWN
281,CHI3L1,UP,no,no,no,no,no,UP
282,STOML3,UP,no,no,no,no,DOWN,UP
283,IRS4,UP,no,no,no,no,no,UP
284,PLAAT4,DOWN,no,no,no,no,no,no
285,FAM83F,DOWN,no,no,no,no,no,DOWN
286,MICAL2,DOWN,no,no,no,no,DOWN,DOWN
287,VRTN,DOWN,no,DOWN,no,DOWN,DOWN,DOWN
288,CAMK1,UP,no,no,no,no,no,no
289,SYT6,DOWN,DOWN,no,no,no,no,DOWN
290,TMEM106C,UP,no,no,no,no,no,UP
291,RAX,UP,no,no,no,no,no,UP
292,CABLES1,DOWN,DOWN,no,no,no,no,DOWN
293,SOX5,UP,no,no,no,no,no,UP
294,DSC2,DOWN,no,no,no,no,no,no
295,FHOD3,UP,no,no,no,no,no,no
296,APLNR,UP,no,no,no,no,no,UP
297,OSTF1,DOWN,no,no,no,no,no,DOWN
298,CEMIP2,UP,no,no,no,no,no,UP
299,HRK,DOWN,DOWN,no,no,no,UP,DOWN
300,TES,DOWN,no,no,no,no,no,DOWN
301,EPHA7,UP,UP,no,no,no,no,UP
302,KRT7,DOWN,no,no,no,no,no,DOWN
303,MAP7,DOWN,no,no,no,no,no,DOWN
304,BCO1,UP,UP,no,no,no,no,UP
305,KCNK1,DOWN,DOWN,no,no,no,UP,DOWN
306,PAX3,UP,no,no,no,no,no,UP
307,FLNB,DOWN,no,no,no,no,UP,no
308,CNMD,DOWN,no,no,no,no,no,DOWN
309,ODF2,UP,no,no,no,no,no,UP
310,RNF144B,DOWN,no,no,no,no,no,DOWN
311,SULF1,UP,UP,no,no,no,no,UP
312,CH25H,DOWN,no,no,no,no,no,DOWN
313,NAB1,UP,no,no,no,no,no,UP
314,SHF,UP,no,no,no,no,no,UP
315,HCN4,DOWN,no,no,no,no,no,DOWN
316,HERC6,DOWN,no,no,no,no,no,DOWN
317,HERC5,DOWN,no,no,no,no,no,DOWN
318,FGF2,DOWN,no,no,no,no,no,DOWN
319,CCNG2,UP,no,no,no,no,DOWN,UP
320,ANXA3,DOWN,UP,no,no,no,UP,no
321,LEF1,UP,UP,no,no,no,no,UP
322,COL2A1,UP,UP,no,no,no,no,UP
323,LRIG3,UP,no,no,no,no,no,UP
324,PHLDA1,DOWN,no,UP,no,no,UP,DOWN
325,DUSP6,UP,no,no,no,no,UP,UP
326,GALNT6,DOWN,no,no,no,no,no,DOWN
327,LPAR6,UP,no,no,no,no,no,UP
328,MBNL2,UP,no,no,UP,no,UP,UP
329,KCNH5,UP,no,no,no,no,no,no
330,HAPLN3,DOWN,no,no,no,no,UP,DOWN
331,MFGE8,DOWN,no,no,no,no,no,DOWN
332,MARVELD3,DOWN,DOWN,no,no,no,no,DOWN
333,CDH11,UP,no,no,no,no,no,UP
334,TOB1,DOWN,no,no,no,no,UP,DOWN
335,RHBDL3,DOWN,DOWN,no,no,no,no,DOWN
336,CBX8,UP,no,no,no,no,UP,no
337,ARK2C,UP,no,no,no,no,no,UP
338,PMAIP1,DOWN,DOWN,no,no,no,UP,DOWN
339,PLPP2,DOWN,DOWN,no,no,no,no,DOWN
340,COL6A1,DOWN,no,no,no,no,UP,DOWN
341,CACNG8,DOWN,no,no,no,no,no,DOWN
342,EPHA2,UP,no,UP,UP,no,UP,UP
343,ILDR2,UP,UP,no,no,no,no,UP
344,CRABP2,DOWN,no,no,no,no,no,DOWN
345,RGL1,UP,no,no,no,no,no,UP
346,CGN,DOWN,no,no,no,no,no,DOWN
