"","ENSEMBLE","gene","module","merged_module","cor_abs","cor"
"956","ENSG00000171724","VAT1L","blue","blue",0.203969232727088,-0.203969232727088
"671","ENSG00000146242","TPBG","blue","blue",0.203829796091483,-0.203829796091483
"947","ENSG00000171004","HS6ST2","blue","blue",0.197762131562361,-0.197762131562361
"1173","ENSG00000198142","SOWAHC","blue","blue",0.197557586072276,0.197557586072276
"358","ENSG00000118689","FOXO3","blue","blue",0.197110893411986,-0.197110893411986
"456","ENSG00000128564","VGF","blue","blue",0.196903112663474,-0.196903112663474
"384","ENSG00000120875","DUSP4","blue","blue",0.193486703624052,-0.193486703624052
"870","ENSG00000164951","PDP1","blue","blue",0.192922783901052,-0.192922783901052
"1283","ENSG00000230316","FEZF1-AS1","blue","blue",0.191306685666098,-0.191306685666098
"411","ENSG00000124193","SRSF6","blue","blue",0.190618583240151,0.190618583240151
"1391","ENSG00000271824","SMIM32","blue","blue",0.184277833307393,0.184277833307393
"1189","ENSG00000198756","COLGALT2","blue","blue",0.183592493184155,-0.183592493184155
"492","ENSG00000131981","LGALS3","blue","blue",0.183061250762565,-0.183061250762565
"585","ENSG00000139174","PRICKLE1","blue","blue",0.181493603710968,-0.181493603710968
"782","ENSG00000158290","CUL4B","blue","blue",0.180122912517595,-0.180122912517595
"562","ENSG00000138069","RAB1A","blue","blue",0.176847652444203,-0.176847652444203
"1210","ENSG00000204217","BMPR2","blue","blue",0.176559803563537,0.176559803563537
"103","ENSG00000077616","NAALAD2","blue","blue",0.175664934527285,0.175664934527285
"1333","ENSG00000248746","ACTN3","blue","blue",0.174899837874338,-0.174899837874338
"877","ENSG00000165588","OTX2","blue","blue",0.174683700270885,-0.174683700270885
"500","ENSG00000132688","NES","blue","blue",0.173820223332922,0.173820223332922
"514","ENSG00000134369","NAV1","blue","blue",0.1735233967266,-0.1735233967266
"184","ENSG00000101384","JAG1","blue","blue",0.172576723978813,-0.172576723978813
"304","ENSG00000112893","MAN2A1","blue","blue",0.172523348908489,-0.172523348908489
"602","ENSG00000140443","IGF1R","blue","blue",0.171417071798311,0.171417071798311
"1073","ENSG00000183145","RIPPLY3","blue","blue",0.169762755837867,-0.169762755837867
"1068","ENSG00000182968","SOX1","blue","blue",0.162904383925206,-0.162904383925206
"334","ENSG00000116106","EPHA4","blue","blue",0.16207318199978,-0.16207318199978
"72","ENSG00000064270","ATP2C2","blue","blue",0.161793086395196,0.161793086395196
"86","ENSG00000069667","RORA","blue","blue",0.15983739651228,0.15983739651228
"449","ENSG00000127922","SEM1","blue","blue",0.155787452212441,-0.155787452212441
"1006","ENSG00000176165","FOXG1","blue","blue",0.153192471027108,-0.153192471027108
"113","ENSG00000079459","FDFT1","blue","blue",0.150156462326602,-0.150156462326602
"249","ENSG00000108018","SORCS1","blue","blue",0.149396295043709,-0.149396295043709
"421","ENSG00000125430","HS3ST3B1","blue","blue",0.148506415673384,-0.148506415673384
"89","ENSG00000070961","ATP2B1","blue","blue",0.14710603508079,-0.14710603508079
"357","ENSG00000118495","PLAGL1","blue","blue",0.147003481191547,0.147003481191547
"581","ENSG00000138798","EGF","blue","blue",0.144556025288887,-0.144556025288887
"1036","ENSG00000179104","TMTC2","blue","blue",0.144130651107399,0.144130651107399
"1116","ENSG00000186732","MPPED1","blue","blue",0.143744926484665,0.143744926484665
"35","ENSG00000025039","RRAGD","blue","blue",0.143208846793948,0.143208846793948
"534","ENSG00000136104","RNASEH2B","blue","blue",0.142482396887079,0.142482396887079
"1313","ENSG00000240694","PNMA2","blue","blue",0.141965824523325,0.141965824523325
"654","ENSG00000144749","LRIG1","blue","blue",0.141785737232126,-0.141785737232126
"504","ENSG00000133124","IRS4","blue","blue",0.140542126133242,-0.140542126133242
"884","ENSG00000166265","CYYR1","blue","blue",0.139862974726801,0.139862974726801
"710","ENSG00000151376","ME3","blue","blue",0.136413668232649,-0.136413668232649
"344","ENSG00000116962","NID1","blue","blue",0.136260757932666,0.136260757932666
"1112","ENSG00000186350","RXRA","blue","blue",0.135757844072098,0.135757844072098
"1046","ENSG00000180626","ZNF594","blue","blue",0.135500067609331,0.135500067609331
"834","ENSG00000163249","CCNYL1","blue","blue",0.135406624801851,-0.135406624801851
"653","ENSG00000144724","PTPRG","blue","blue",0.135344790745557,-0.135344790745557
"763","ENSG00000156675","RAB11FIP1","blue","blue",0.133505740143378,-0.133505740143378
