,gene1,gene2,combined_score,type,known,degree,betweenness,isSHH
801,UBC,SEM1,0.808,negative,unknown,23,8346.93652208414,no
802,UNC5D,RASGEF1B,0.41,negative,unknown,5,577.961400569971,no
803,UNC5D,COL11A1,0.414,negative,unknown,5,577.961400569971,no
804,UNC5D,LHX2,0.464,negative,unknown,5,577.961400569971,no
805,UNC5D,PCDH9,0.456,negative,unknown,5,577.961400569971,no
806,UNC5D,GABRA5,0.403,negative,unknown,5,577.961400569971,no
807,USO1,BET1,0.982,negative,unknown,7,29.5322488807846,no
808,USO1,GORASP2,0.732,negative,unknown,7,29.5322488807846,no
809,USO1,GRIA1,0.499,negative,unknown,7,29.5322488807846,no
810,USO1,SEC23A,0.704,negative,unknown,7,29.5322488807846,no
811,USO1,SCFD1,0.97,negative,unknown,7,29.5322488807846,no
812,USO1,RAB1A,0.99,negative,unknown,7,29.5322488807846,no
813,USO1,GOLGA2,0.997,negative,unknown,7,29.5322488807846,no
814,VAX1,ARHGAP29,0.505,negative,unknown,5,367,no
815,VAX1,SHH,0.48,negative,unknown,5,367,no
816,VAX1,FOXG1,0.402,negative,unknown,5,367,no
817,VAX1,PAX6,0.416,negative,unknown,5,367,no
818,VAX1,LHX2,0.47,negative,unknown,5,367,no
819,VAX2,SHH,0.422,negative,unknown,3,580.509719144388,no
820,VAX2,LHX2,0.449,negative,unknown,3,580.509719144388,no
821,VAX2,ATP6V1B1,0.478,negative,unknown,3,580.509719144388,no
822,VCL,HSPB1,0.447,negative,unknown,20,3222.71824893349,no
823,VCL,FGF2,0.455,negative,unknown,20,3222.71824893349,no
824,VCL,PALLD,0.469,negative,unknown,20,3222.71824893349,no
825,VCL,RRBP1,0.527,negative,unknown,20,3222.71824893349,no
826,VCL,ACTN3,0.536,negative,unknown,20,3222.71824893349,no
827,VCL,MYL11,0.571,negative,unknown,20,3222.71824893349,no
828,VCL,CDH11,0.603,negative,unknown,20,3222.71824893349,no
829,VCL,EGF,0.616,negative,unknown,20,3222.71824893349,no
830,VCL,LPP,0.631,negative,unknown,20,3222.71824893349,no
831,VCL,CNN3,0.644,negative,unknown,20,3222.71824893349,no
832,VCL,DSP,0.655,negative,unknown,20,3222.71824893349,no
833,VCL,ANXA5,0.685,negative,unknown,20,3222.71824893349,no
834,VCL,TPM4,0.711,negative,unknown,20,3222.71824893349,no
835,VCL,LIMA1,0.773,negative,unknown,20,3222.71824893349,no
836,VCL,GJA1,0.795,negative,unknown,20,3222.71824893349,no
837,VCL,MYLK,0.814,negative,unknown,20,3222.71824893349,no
838,VCL,FERMT2,0.896,negative,unknown,20,3222.71824893349,no
839,VCL,DMD,0.94,negative,unknown,20,3222.71824893349,no
840,VCL,MSN,0.951,negative,unknown,20,3222.71824893349,no
841,VCL,TPM1,0.957,negative,unknown,20,3222.71824893349,no
842,WHAMM,GOLGA2,0.764,negative,unknown,1,0,no
843,WNT5B,SHH,0.418,negative,unknown,1,26.450866314399,no
844,XBP1,FOXO3,0.423,negative,unknown,7,2017.12230406844,no
845,XBP1,AARS1,0.432,negative,unknown,7,2017.12230406844,no
846,XBP1,PAX6,0.438,negative,unknown,7,2017.12230406844,no
847,XBP1,CREB3L2,0.495,negative,unknown,7,2017.12230406844,no
848,XBP1,ANXA5,0.539,negative,unknown,7,2017.12230406844,no
849,XBP1,BCL2L11,0.689,negative,unknown,7,2017.12230406844,no
850,XBP1,HERPUD1,0.823,negative,unknown,7,2017.12230406844,no
851,ZFPL1,SCFD1,0.41,negative,unknown,2,0,no
852,ZFPL1,GOLGA2,0.608,negative,unknown,2,0,no
853,ZIC2,ZIC5,0.721,negative,known,12,422.846147130603,no
854,ZIC2,SHH,0.864,negative,known,12,422.846147130603,no
855,ZIC2,GAS1,0.727,negative,known,12,422.846147130603,no
856,ZIC2,SOX2,0.581,negative,known,12,422.846147130603,no
857,ZIC2,SOX1,0.403,negative,known,12,422.846147130603,no
858,ZIC2,LHX2,0.445,negative,known,12,422.846147130603,no
859,ZIC2,FBN2,0.404,negative,known,12,422.846147130603,no
860,ZIC2,CDON,0.464,negative,known,12,422.846147130603,no
861,ZIC2,PAX6,0.494,negative,known,12,422.846147130603,no
862,ZIC2,GLI2,0.495,negative,known,12,422.846147130603,no
863,ZIC2,GLI3,0.625,negative,known,12,422.846147130603,no
864,ZIC2,OTX2,0.684,negative,known,12,422.846147130603,no
865,ZIC3,NOTCH2,0.44,negative,unknown,9,206.849861436332,no
866,ZIC3,ZIC5,0.442,negative,unknown,9,206.849861436332,no
867,ZIC3,GJA1,0.765,negative,unknown,9,206.849861436332,no
868,ZIC3,PAX6,0.401,negative,unknown,9,206.849861436332,no
869,ZIC3,SHH,0.406,negative,unknown,9,206.849861436332,no
870,ZIC3,GLI2,0.49,negative,unknown,9,206.849861436332,no
871,ZIC3,OTX2,0.685,negative,unknown,9,206.849861436332,no
872,ZIC3,GLI3,0.819,negative,unknown,9,206.849861436332,no
873,ZIC3,SOX2,0.879,negative,unknown,9,206.849861436332,no
874,ZIC5,ZIC3,0.442,negative,unknown,3,0.390873015873016,no
875,ZIC5,OTX2,0.501,negative,unknown,3,0.390873015873016,no
876,ZIC5,ZIC2,0.721,negative,unknown,3,0.390873015873016,no
877,ZNF385B,FEZF1,0.458,negative,unknown,1,8.49983290753861,no
878,ZNF521,GLI2,0.603,negative,unknown,1,0,no
