,gene1,gene2,combined_score,type,known,degree,betweenness,isSHH
126,CUL4B,UBC,0.611,negative,unknown,3,417.922495292795,no
127,CXCL14,SHH,0.454,negative,unknown,1,0,no
128,DBF4,PTTG1,0.425,negative,unknown,3,199.19912467238,no
129,DBF4,PLK2,0.541,negative,unknown,3,199.19912467238,no
130,DBF4,FOXG1,0.717,negative,unknown,3,199.19912467238,no
131,DBP,BHLHE41,0.552,negative,unknown,1,22.927817858993,no
132,DDIT4,KLF9,0.409,negative,unknown,3,185.894815189531,no
133,DDIT4,FOXO3,0.416,negative,unknown,3,185.894815189531,no
134,DDIT4,GADD45A,0.428,negative,unknown,3,185.894815189531,no
135,DHCR7,SHH,0.551,negative,unknown,6,1295.59395441639,no
136,DHCR7,SEC23A,0.432,negative,unknown,6,1295.59395441639,no
137,DHCR7,INSIG1,0.709,negative,unknown,6,1295.59395441639,no
138,DHCR7,GLI2,0.474,negative,unknown,6,1295.59395441639,no
139,DHCR7,IDI1,0.864,negative,unknown,6,1295.59395441639,no
140,DHCR7,FDFT1,0.938,negative,unknown,6,1295.59395441639,no
141,DHRS2,PALM2AKAP2,0.478,negative,unknown,2,1098,no
142,DHRS2,TTC3,0.874,negative,unknown,2,1098,no
143,DIO3,TRH,0.83,negative,unknown,3,32.6687663643546,no
144,DIO3,BEGAIN,0.432,negative,unknown,3,32.6687663643546,no
145,DIO3,RTL1,0.791,negative,unknown,3,32.6687663643546,no
146,DMD,VCL,0.94,negative,unknown,7,2784.71810567859,no
147,DMD,LAMC1,0.687,negative,unknown,7,2784.71810567859,no
148,DMD,EGF,0.454,negative,unknown,7,2784.71810567859,no
149,DMD,TPM1,0.781,negative,unknown,7,2784.71810567859,no
150,DMD,TPM4,0.548,negative,unknown,7,2784.71810567859,no
151,DMD,DSP,0.609,negative,unknown,7,2784.71810567859,no
152,DMD,SGCE,0.981,negative,unknown,7,2784.71810567859,no
153,DSP,VCL,0.655,negative,unknown,10,1196.09437919518,no
154,DSP,LGALS3,0.457,negative,unknown,10,1196.09437919518,no
155,DSP,CDH11,0.516,negative,unknown,10,1196.09437919518,no
156,DSP,GJA1,0.84,negative,unknown,10,1196.09437919518,no
157,DSP,KRT17,0.435,negative,unknown,10,1196.09437919518,no
158,DSP,SOX2,0.411,negative,unknown,10,1196.09437919518,no
159,DSP,MSN,0.583,negative,unknown,10,1196.09437919518,no
160,DSP,DMD,0.609,negative,unknown,10,1196.09437919518,no
161,DSP,ECT2,0.402,negative,unknown,10,1196.09437919518,no
162,DSP,PERP,0.844,negative,unknown,10,1196.09437919518,no
163,DUSP4,PHLDA1,0.536,negative,unknown,1,0,no
164,ECT2,SEMA3F,0.407,negative,unknown,6,524.740160402523,no
165,ECT2,PLS1,0.418,negative,unknown,6,524.740160402523,no
166,ECT2,DSP,0.402,negative,unknown,6,524.740160402523,no
167,ECT2,GAS2L3,0.451,negative,unknown,6,524.740160402523,no
168,ECT2,HJURP,0.588,negative,unknown,6,524.740160402523,no
169,ECT2,PTTG1,0.623,negative,unknown,6,524.740160402523,no
170,EGF,BAIAP2L1,0.429,negative,unknown,25,13030.9674768164,no
171,EGF,VCL,0.616,negative,unknown,25,13030.9674768164,no
172,EGF,LGALS1,0.493,negative,unknown,25,13030.9674768164,no
173,EGF,LGALS3,0.773,negative,unknown,25,13030.9674768164,no
174,EGF,JAG1,0.869,negative,unknown,25,13030.9674768164,no
175,EGF,LAMC1,0.561,negative,unknown,25,13030.9674768164,no
176,EGF,FGF2,0.969,negative,unknown,25,13030.9674768164,no
177,EGF,TNC,0.599,negative,unknown,25,13030.9674768164,no
178,EGF,MSN,0.423,negative,unknown,25,13030.9674768164,no
179,EGF,BTG2,0.431,negative,unknown,25,13030.9674768164,no
180,EGF,SOX1,0.434,negative,unknown,25,13030.9674768164,no
181,EGF,BCL2L11,0.445,negative,unknown,25,13030.9674768164,no
182,EGF,FOXO3,0.451,negative,unknown,25,13030.9674768164,no
183,EGF,DMD,0.454,negative,unknown,25,13030.9674768164,no
184,EGF,GXYLT1,0.523,negative,unknown,25,13030.9674768164,no
185,EGF,SPRY1,0.612,negative,unknown,25,13030.9674768164,no
186,EGF,PAX6,0.614,negative,unknown,25,13030.9674768164,no
187,EGF,GJA1,0.644,negative,unknown,25,13030.9674768164,no
188,EGF,ANXA5,0.659,negative,unknown,25,13030.9674768164,no
189,EGF,UBC,0.696,negative,unknown,25,13030.9674768164,no
190,EGF,RAB5A,0.696,negative,unknown,25,13030.9674768164,no
191,EGF,SOX2,0.725,negative,unknown,25,13030.9674768164,no
192,EGF,LRIG1,0.776,negative,unknown,25,13030.9674768164,no
193,EGF,SHH,0.783,negative,unknown,25,13030.9674768164,no
194,EGF,NRG1,0.972,negative,unknown,25,13030.9674768164,no
195,EHD4,RAB5A,0.431,negative,unknown,1,0,no
196,EIF1,RPLP1,0.504,negative,unknown,2,1096,no
197,EIF1,UBC,0.774,negative,unknown,2,1096,no
198,EPHA4,SEMA3F,0.403,negative,unknown,1,688.476888319714,no
199,FBN2,MYLK,0.503,negative,unknown,3,123.827606362022,no
200,FBN2,COL11A1,0.481,negative,unknown,3,123.827606362022,no
201,FBN2,ZIC2,0.404,negative,unknown,3,123.827606362022,no
202,FDFT1,INSIG1,0.774,negative,unknown,3,133.319033341969,no
203,FDFT1,DHCR7,0.938,negative,unknown,3,133.319033341969,no
204,FDFT1,IDI1,0.94,negative,unknown,3,133.319033341969,no
205,FERMT2,VCL,0.896,negative,unknown,3,39.234331344316,no
206,FERMT2,MSN,0.45,negative,unknown,3,39.234331344316,no
207,FERMT2,CD2AP,0.664,negative,unknown,3,39.234331344316,no
208,FEZF1,LHX2,0.554,negative,unknown,2,231.59497838571,no
209,FEZF1,ZNF385B,0.458,negative,unknown,2,231.59497838571,no
210,FGF2,VCL,0.455,negative,unknown,17,3172.75891395434,no
211,FGF2,LGALS3,0.613,negative,unknown,17,3172.75891395434,no
212,FGF2,JAG1,0.536,negative,unknown,17,3172.75891395434,no
213,FGF2,LPAR1,0.433,negative,unknown,17,3172.75891395434,no
214,FGF2,PTTG1,0.453,negative,unknown,17,3172.75891395434,no
215,FGF2,FOXG1,0.477,negative,unknown,17,3172.75891395434,no
216,FGF2,CEP57,0.517,negative,unknown,17,3172.75891395434,no
217,FGF2,OTX2,0.559,negative,unknown,17,3172.75891395434,no
218,FGF2,NRG1,0.593,negative,unknown,17,3172.75891395434,no
219,FGF2,GJA1,0.601,negative,unknown,17,3172.75891395434,no
220,FGF2,SOX1,0.604,negative,unknown,17,3172.75891395434,no
221,FGF2,ANXA5,0.607,negative,unknown,17,3172.75891395434,no
222,FGF2,PAX6,0.708,negative,unknown,17,3172.75891395434,no
223,FGF2,UBC,0.747,negative,unknown,17,3172.75891395434,no
