"","ENSEMBLE","gene","module","merged_module","cor_abs","cor"
"1155","ENSG00000197006","METTL9","blue","blue",0.00227301644825663,0.00227301644825663
"715","ENSG00000151690","MFSD6","blue","blue",0.00227081839649658,0.00227081839649658
"385","ENSG00000120949","TNFRSF8","blue","blue",0.00226351608112704,-0.00226351608112704
"1222","ENSG00000207112","SNORA25","blue","blue",0.00222148750795267,-0.00222148750795267
"1001","ENSG00000175868","CALCB","blue","blue",0.00221256858482158,-0.00221256858482158
"445","ENSG00000127585","FBXL16","blue","blue",0.00219694802951909,0.00219694802951909
"1109","ENSG00000186166","CENATAC","blue","blue",0.00219424335942915,-0.00219424335942915
"793","ENSG00000159403","C1R","blue","blue",0.00215483026534597,0.00215483026534597
"638","ENSG00000143258","USP21","blue","blue",0.00212856623590723,0.00212856623590723
"1381","ENSG00000267296","CEBPA-DT","blue","blue",0.00212729337405671,0.00212729337405671
"818","ENSG00000162543","UBXN10","blue","blue",0.00210413975537183,0.00210413975537183
"107","ENSG00000078549","ADCYAP1R1","blue","blue",0.0020994952406617,0.0020994952406617
"446","ENSG00000127720","METTL25","blue","blue",0.00209394918919397,0.00209394918919397
"550","ENSG00000137154","RPS6","blue","blue",0.00208068130791036,0.00208068130791036
"547","ENSG00000136868","SLC31A1","blue","blue",0.00207814022228756,-0.00207814022228756
"711","ENSG00000151445","VIPAS39","blue","blue",0.00205953569889285,0.00205953569889285
"1355","ENSG00000258498","DIO3OS","blue","blue",0.00205010112281429,-0.00205010112281429
"1263","ENSG00000225830","ERCC6","blue","blue",0.00204251279467302,0.00204251279467302
"218","ENSG00000105258","POLR2I","blue","blue",0.00204163329135895,0.00204163329135895
"944","ENSG00000170743","SYT9","blue","blue",0.00202690068813926,-0.00202690068813926
"804","ENSG00000160345","PIERCE1","blue","blue",0.00198814391254837,0.00198814391254837
"752","ENSG00000155254","MARVELD1","blue","blue",0.00198672436510855,-0.00198672436510855
"92","ENSG00000072571","HMMR","blue","blue",0.00198429010087089,-0.00198429010087089
"183","ENSG00000101255","TRIB3","blue","blue",0.00195054426902892,-0.00195054426902892
"224","ENSG00000105696","TMEM59L","blue","blue",0.00193828538546169,-0.00193828538546169
"893","ENSG00000166578","IQCD","blue","blue",0.00189390843609153,0.00189390843609153
"486","ENSG00000131668","BARX1","blue","blue",0.0018657382110565,-0.0018657382110565
"976","ENSG00000173065","FAM222B","blue","blue",0.00184124923413709,-0.00184124923413709
"303","ENSG00000112787","FBRSL1","blue","blue",0.00182342339266466,0.00182342339266466
"471","ENSG00000130413","STK33","blue","blue",0.00181843179482561,0.00181843179482561
"142","ENSG00000090932","DLL3","blue","blue",0.00181183000403487,0.00181183000403487
"808","ENSG00000160972","PPP1R16A","blue","blue",0.00178950735533002,0.00178950735533002
"498","ENSG00000132669","RIN2","blue","blue",0.00178223908646664,0.00178223908646664
"1234","ENSG00000214872","SMTNL1","blue","blue",0.00175698933373892,0.00175698933373892
"552","ENSG00000137309","HMGA1","blue","blue",0.00174021585614413,-0.00174021585614413
"1364","ENSG00000260581","LOC105378231","blue","blue",0.00173245051214938,0.00173245051214938
"41","ENSG00000032742","IFT88","blue","blue",0.00169037910960148,0.00169037910960148
"855","ENSG00000164307","ERAP1","blue","blue",0.00166648934279939,-0.00166648934279939
"1183","ENSG00000198612","COPS8","blue","blue",0.00165881266174951,0.00165881266174951
"1041","ENSG00000179889","PDXDC1","blue","blue",0.00165285790975477,-0.00165285790975477
"1121","ENSG00000187123","LYPD6","blue","blue",0.00164262653338525,0.00164262653338525
"129","ENSG00000087077","TRIP6","blue","blue",0.00162039599275004,-0.00162039599275004
"258","ENSG00000109062","NHERF1","blue","blue",0.00160617015704753,0.00160617015704753
"413","ENSG00000124370","MCEE","blue","blue",0.001590458062273,-0.001590458062273
"674","ENSG00000146411","SLC2A12","blue","blue",0.00158775159404769,-0.00158775159404769
"1376","ENSG00000264345","LINC01894","blue","blue",0.00158622369773366,-0.00158622369773366
"1325","ENSG00000244247","LINC01995","blue","blue",0.00158541742222701,-0.00158541742222701
