"","HvsN_padj","HvsN_log2FoldChange","HvsL_padj","HvsL_log2FoldChange","LvsN_padj","LvsN_log2FoldChange","cyclo_padj","cyclo_log2FoldChange","HvsN_thr","HvsL_thr","LvsN_thr","cyclo_thr","WGCNA","cluster","sub_cluster","genes"
"ENSG00000198759",NA,-0.937022094520205,NA,-0.235544631209971,NA,-0.701477463310234,0.391254797355922,-1.23345178384454,FALSE,FALSE,FALSE,FALSE,"no","no","no","EGFL6"
"ENSG00000198763",0.73585807730763,0.0372202221406198,0.670665288708571,0.057058604853175,0.870106157089978,-0.0198383827125552,0.556720268802944,0.0709313129269197,FALSE,FALSE,FALSE,FALSE,"no","no","no","ND2"
"ENSG00000198774",0.662541415624739,-0.315796789027439,NA,-0.300209748283629,NA,-0.01558704074381,0.780120598207236,-0.279755788498458,FALSE,FALSE,FALSE,FALSE,"no","no","no","RASSF9"
"ENSG00000198780",0.170523316766005,0.437588349444417,0.532597691607106,0.283808123074221,0.730341255510568,0.153780226370197,0.151535139237834,0.497502386839154,FALSE,FALSE,FALSE,FALSE,"yes","2","2","FAM169A"
"ENSG00000198783",0.608054237802661,-0.101960438644524,0.904766259438592,-0.0468314255472039,0.804426180326627,-0.0551290130973205,0.549212559401531,-0.140452441463167,FALSE,FALSE,FALSE,FALSE,"no","no","no","ZNF830"
"ENSG00000198786",0.884933959421395,0.0239048385027116,0.882972938962698,-0.0359090540535919,0.66058755594503,0.0598138925563035,0.912385600528687,-0.024138928001496,FALSE,FALSE,FALSE,FALSE,"no","no","no","ND5"
"ENSG00000198791",0.974764768844373,0.00404757258956802,0.854803520871104,0.0279482941940047,0.806394427543255,-0.0239007216044366,0.986772595404669,-0.00249648722596931,FALSE,FALSE,FALSE,FALSE,"no","no","no","CNOT7"
"ENSG00000198792",0.270736696187463,0.132589885164739,0.530100866070782,0.105141077345186,0.875517222774138,0.027448807819553,0.361009647658993,0.136225687098839,FALSE,FALSE,FALSE,FALSE,"no","no","no","TMEM184B"
"ENSG00000198793",0.00102883284290937,-0.264167721114928,0.881998163601983,-0.0354099642136754,0.005448133737841,-0.228757756901253,0.181884875662336,-0.177788375699013,FALSE,FALSE,FALSE,FALSE,"no","no","no","MTOR"
"ENSG00000198794",0.33865312942467,0.141040337549451,0.888904416680505,-0.0444244467966854,0.168928473804777,0.185464784346137,0.891513413769412,0.0368459690391892,FALSE,FALSE,FALSE,FALSE,"no","no","no","SCAMP5"
