"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006888","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","13/625","140/20772",0.000318631395639368,0.0284273401563849,0.0260683781448423,"ENSG00000029534/ENSG00000092108/ENSG00000100934/ENSG00000105829/ENSG00000138069/ENSG00000138768/ENSG00000156232/ENSG00000167110/ENSG00000170043/ENSG00000180447/ENSG00000182158/ENSG00000184840/ENSG00000186480",13
"GO:0043122","GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling","21/625","300/20772",0.000319002483381579,0.0284273401563849,0.0260683781448423,"ENSG00000010610/ENSG00000067182/ENSG00000080561/ENSG00000100097/ENSG00000100614/ENSG00000106211/ENSG00000114346/ENSG00000116761/ENSG00000123240/ENSG00000131080/ENSG00000132256/ENSG00000137802/ENSG00000145365/ENSG00000145632/ENSG00000152661/ENSG00000158813/ENSG00000166848/ENSG00000168961/ENSG00000172175/ENSG00000198121/ENSG00000213186",21
"GO:1902895","GO:1902895","positive regulation of miRNA transcription","8/625","58/20772",0.000326753439272744,0.0284273401563849,0.0260683781448423,"ENSG00000102554/ENSG00000112658/ENSG00000118689/ENSG00000120738/ENSG00000136826/ENSG00000138685/ENSG00000168874/ENSG00000170345",8
"GO:0090009","GO:0090009","primitive streak formation","4/625","12/20772",0.000331386205649702,0.0284273401563849,0.0260683781448423,"ENSG00000112658/ENSG00000139174/ENSG00000156925/ENSG00000165588",4
"GO:0072171","GO:0072171","mesonephric tubule morphogenesis","9/625","73/20772",0.000332943719889516,0.0284273401563849,0.0260683781448423,"ENSG00000100625/ENSG00000105696/ENSG00000106571/ENSG00000114315/ENSG00000125430/ENSG00000138685/ENSG00000141449/ENSG00000178585/ENSG00000205213",9
"GO:0045664","GO:0045664","regulation of neuron differentiation","16/625","198/20772",0.000339043928932481,0.0284312551833381,0.0260719682944132,"ENSG00000007372/ENSG00000064309/ENSG00000101384/ENSG00000106571/ENSG00000114315/ENSG00000114346/ENSG00000115738/ENSG00000128610/ENSG00000134259/ENSG00000138685/ENSG00000156299/ENSG00000169760/ENSG00000176165/ENSG00000181449/ENSG00000183036/ENSG00000274286",16
"GO:0034329","GO:0034329","cell junction assembly","29/625","483/20772",0.000358599385839597,0.0293779114025527,0.026940068938367,"ENSG00000035403/ENSG00000066933/ENSG00000073712/ENSG00000079112/ENSG00000087077/ENSG00000100625/ENSG00000105376/ENSG00000108861/ENSG00000112658/ENSG00000114346/ENSG00000135862/ENSG00000140937/ENSG00000146242/ENSG00000149571/ENSG00000152661/ENSG00000152767/ENSG00000156232/ENSG00000161638/ENSG00000165215/ENSG00000167657/ENSG00000169760/ENSG00000172020/ENSG00000174469/ENSG00000178235/ENSG00000179242/ENSG00000184349/ENSG00000187957/ENSG00000197747/ENSG00000248746",29
"GO:0072009","GO:0072009","nephron epithelium development","12/625","124/20772",0.000367357642864819,0.0293779114025527,0.026940068938367,"ENSG00000100625/ENSG00000101384/ENSG00000105696/ENSG00000106571/ENSG00000114315/ENSG00000125430/ENSG00000134250/ENSG00000138685/ENSG00000141449/ENSG00000172037/ENSG00000178585/ENSG00000205213",12
"GO:0007405","GO:0007405","neuroblast proliferation","9/625","74/20772",0.000369100675628324,0.0293779114025527,0.026940068938367,"ENSG00000007372/ENSG00000064309/ENSG00000080166/ENSG00000104290/ENSG00000106571/ENSG00000138685/ENSG00000148704/ENSG00000159388/ENSG00000176165",9
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","15/625","181/20772",0.000393782615908796,0.0308200527384617,0.0282625382751383,"ENSG00000007372/ENSG00000013810/ENSG00000099812/ENSG00000115163/ENSG00000117650/ENSG00000134222/ENSG00000139174/ENSG00000145632/ENSG00000152661/ENSG00000164056/ENSG00000164109/ENSG00000166579/ENSG00000167110/ENSG00000183765/ENSG00000204899",15
"GO:0021772","GO:0021772","olfactory bulb development","6/625","33/20772",0.000401105330304154,0.0308785349362018,0.0283161674939482,"ENSG00000106689/ENSG00000112658/ENSG00000115738/ENSG00000128610/ENSG00000152977/ENSG00000156925",6
"GO:0001823","GO:0001823","mesonephros development","11/625","108/20772",0.000412178117001617,0.0312191683457999,0.0286285344083805,"ENSG00000100625/ENSG00000105696/ENSG00000106571/ENSG00000114315/ENSG00000115884/ENSG00000125430/ENSG00000138685/ENSG00000141449/ENSG00000164056/ENSG00000178585/ENSG00000205213",11
"GO:0043123","GO:0043123","positive regulation of I-kappaB kinase/NF-kappaB signaling","17/625","222/20772",0.000419680518946817,0.031282852650385,0.0286869340519871,"ENSG00000010610/ENSG00000067182/ENSG00000080561/ENSG00000100097/ENSG00000100614/ENSG00000114346/ENSG00000116761/ENSG00000131080/ENSG00000132256/ENSG00000145365/ENSG00000145632/ENSG00000152661/ENSG00000158813/ENSG00000166848/ENSG00000168961/ENSG00000172175/ENSG00000198121",17
"GO:0009952","GO:0009952","anterior/posterior pattern specification","17/625","224/20772",0.000465216457763237,0.0337613641285386,0.0309597733008723,"ENSG00000007372/ENSG00000064309/ENSG00000099139/ENSG00000106003/ENSG00000106571/ENSG00000112658/ENSG00000114315/ENSG00000118058/ENSG00000123095/ENSG00000128610/ENSG00000131668/ENSG00000139174/ENSG00000156925/ENSG00000159388/ENSG00000165588/ENSG00000175197/ENSG00000178585",17
"GO:0021514","GO:0021514","ventral spinal cord interneuron differentiation","4/625","13/20772",0.000467310193431646,0.0337613641285386,0.0309597733008723,"ENSG00000074047/ENSG00000106571/ENSG00000143013/ENSG00000182968",4
"GO:0048041","GO:0048041","focal adhesion assembly","10/625","93/20772",0.000484940223843479,0.0345042316843784,0.0316409961043648,"ENSG00000035403/ENSG00000073712/ENSG00000087077/ENSG00000108861/ENSG00000140937/ENSG00000156232/ENSG00000167657/ENSG00000184349/ENSG00000197747/ENSG00000248746",10
"GO:0030856","GO:0030856","regulation of epithelial cell differentiation","15/625","185/20772",0.000496275280960794,0.0347837122297297,0.0318972847511486,"ENSG00000007372/ENSG00000035403/ENSG00000067182/ENSG00000101384/ENSG00000114315/ENSG00000118263/ENSG00000125968/ENSG00000128016/ENSG00000138685/ENSG00000164056/ENSG00000168874/ENSG00000185022/ENSG00000188766/ENSG00000197063/ENSG00000198369",15
"GO:0042472","GO:0042472","inner ear morphogenesis","11/625","111/20772",0.000521485972361757,0.0357439021106623,0.0327777960043754,"ENSG00000060718/ENSG00000100625/ENSG00000104290/ENSG00000112320/ENSG00000116039/ENSG00000120756/ENSG00000144749/ENSG00000152977/ENSG00000176165/ENSG00000186480/ENSG00000198707",11
