"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","cluster_1","cluster_2","cluster_3"
"ENSG00000138650",10.7856701898125,-1.26365836828927,0.308983476349736,-4.08972797904229,4.31879390283303e-05,0.000841756414465884,"PCDH10",1,4,4
"ENSG00000138722",11.1422267070298,1.96682511552652,0.512742329541969,3.83589378564371,0.000125108471748824,0.00209059630576653,"MMRN1",2,3,3
"ENSG00000138772",23.0278284258048,-1.12645556429329,0.234484318678493,-4.80396970953864,1.55550371529659e-06,4.7585715698563e-05,"ANXA3",1,1,5
"ENSG00000138798",48.2398495774584,-1.34838136401315,0.215937133556648,-6.24432371498263,4.25637666404065e-10,3.02514632816234e-08,"EGF",1,1,1
"ENSG00000138823",5.97432507624161,2.18552068112052,0.44899155031927,4.86762095982973,1.1294969965363e-06,3.59138263494269e-05,"MTTP",2,2,2
"ENSG00000139174",45.634590235196,-1.27798588957065,0.189327728524108,-6.75012529613649,1.47717534327678e-11,1.36073431482071e-09,"PRICKLE1",1,1,5
"ENSG00000139209",90.3748391225007,1.02910128868978,0.147624533730496,6.97107223768449,3.14534402745746e-12,3.28250491574342e-10,"SLC38A4",2,2,2
"ENSG00000139292",5.86245001933114,-1.38007578790543,0.474197581384746,-2.91033915414614,0.00361036745083956,0.0305916489706544,"LGR5",1,4,4
"ENSG00000139352",17.4977168843578,1.72482823724664,0.431264279365851,3.99946928083843,6.34846870767348e-05,0.00117882770856788,"ASCL1",2,2,2
"ENSG00000139364",141.458000971814,-1.44457690353678,0.191332723657755,-7.55007756080843,4.34999110784733e-14,5.97725028144122e-12,"TMEM132B",1,1,5
"ENSG00000139679",4.94455803072139,-1.63422987464336,0.492534281866434,-3.31800228899912,0.000906637414696459,0.0105130410203445,"LPAR6",1,4,4
"ENSG00000139800",58.0538193328863,-2.00084133794613,0.24684813641404,-8.10555577616394,5.25049494549066e-16,1.08219263945244e-13,"ZIC5",1,1,5
"ENSG00000139865",27.5016318535858,1.59451727526194,0.406020323789512,3.9271858619781,8.59455651076753e-05,0.00151892435483436,"TTC6",2,3,3
"ENSG00000140092",7.69076328106777,1.154142124492,0.32478075768746,3.55360376861564,0.0003799912532601,0.00529195589105219,"FBLN5",2,2,2
"ENSG00000140937",162.245116201015,-1.01975152659549,0.1114198577385,-9.1523319746901,5.57175624722901e-20,2.70213790472233e-17,"CDH11",1,1,5
"ENSG00000141052",3.68863063293953,4.15134117462673,0.64179695421911,6.46830924848773,9.91055180998615e-11,8.01054356837557e-09,"MYOCD",2,2,2
