"cor","link","target","source","target_info","ttarget_info"
1,1,"PAX6","SHH","known","known"
0.860933919921252,1,"TENM1","SHH","no","no"
0.851947031412963,1,"TMSB10","SHH","no","no"
0.897235148838402,1,"VCL","SHH","selected","selected"
0.953830938541807,1,"TNC","SHH","no","no"
0.983912730019908,1,"ZIC2","SHH","known","known"
0.926600501121113,1,"LTBP1","SHH","no","no"
0.868597832759797,1,"RCN1","SHH","no","no"
0.902224798638688,1,"COL11A1","SHH","no","no"
0.895829687658526,1,"BCAT1","SHH","no","no"
0.857807325248458,1,"CDON","SHH","no","no"
0.912837973723245,1,"MYLK","SHH","no","no"
0.91043784318427,1,"GLI2","SHH","known","known"
0.915380004883762,1,"LMAN1","SHH","no","no"
0.913180684907125,1,"SERTAD4","SHH","no","no"
0.869403906527793,1,"ITGB5","SHH","no","no"
0.870688153784441,1,"FTL","SHH","no","no"
0.869506069919027,1,"AARS1","SHH","no","no"
0.873773230257849,1,"ARCN1","SHH","no","no"
0.922120974376739,1,"DSP","SHH","no","no"
0.947133912876025,1,"PCSK5","SHH","no","no"
0.8699590064341,1,"LGALS1","SHH","no","no"
0.867597538916642,1,"XBP1","SHH","no","no"
0.851939780163645,1,"PLCB4","SHH","no","no"
