"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","type","cluster_1","cluster_2","cluster_3"
"ENSG00000203875",820.067050628808,-1.4629650392481,0.101284815294468,-14.4440707621846,2.7321720042926e-47,4.45834426546619e-45,"SNHG5","dorsal",1,1,1
"ENSG00000164411",3.39681484581746,-3.90264665665485,0.905704322208435,-4.30896326865128,1.6402160368629e-05,9.61467748719265e-05,"GJB7","dorsal",1,1,1
"ENSG00000203872",7.04925087963259,-1.85154966533119,0.501879264776833,-3.68923323850508,0.000224930939157599,0.00102174196773659,"C6orf163","dorsal",5,6,6
"ENSG00000146281",177.902133236163,1.11446231860114,0.15366825806936,7.25239117435767,4.09477224384571e-13,7.47393801907287e-12,"PM20D2","dorsal",3,3,3
"ENSG00000198833",120.837822525219,1.13706487236555,0.170594196289402,6.66531978870249,2.64089681064374e-11,3.94831651596009e-10,"UBE2J1","dorsal",4,5,5
"ENSG00000112182",80.3018969544939,1.50052944163944,0.175334400166452,8.55810063635502,1.14742184036169e-17,3.3292671392379e-16,"BACH2","dorsal",3,3,3
"ENSG00000135333",301.199719605755,4.15001886961952,0.217099381639078,19.115756287684,1.86694025279525e-81,1.04834186195197e-78,"EPHA7","dorsal",4,7,9
"ENSG00000172461",16.4976416335342,-1.14517517057456,0.28957763365107,-3.95463957673766,7.66501139795823e-05,0.000389203185132496,"FUT9","dorsal",1,1,1
"ENSG00000184486",220.97017004771,6.18319979210305,0.366743523300668,16.8597382073844,8.89822981806332e-64,2.42692862409236e-61,"POU3F2","dorsal",3,3,3
"ENSG00000112276",16.7772828726555,1.44789271260938,0.383549185456485,3.77498575804863,0.000160016805420507,0.000752473115538994,"BVES","dorsal",2,2,2
"ENSG00000057657",16.3150169781937,1.7659770968685,0.506687324404307,3.48533900851909,0.000491513892308504,0.00205428704727539,"PRDM1","dorsal",3,3,8
"ENSG00000112297",4.79492024510654,-2.11205733324263,0.652399946263467,-3.23736589087592,0.00120638626716084,0.00452590422728135,"CRYBG1","dorsal",1,1,1
"ENSG00000130347",28.5363399984076,-1.22021079917556,0.282460436962396,-4.31993525287226,1.56074986755088e-05,9.2196276210648e-05,"RTN4IP1","dorsal",1,1,1
"ENSG00000272398",1437.82500249962,-2.66137880608116,0.178228361812025,-14.932409067913,2.0280474629224e-50,3.7960276629524e-48,"CD24","dorsal",1,1,1
"ENSG00000178409",65.2845345292173,-2.35690215682605,0.187228483779606,-12.5883738908042,2.44661598380471e-36,2.47147049538621e-34,"BEND3","dorsal",1,1,1
"ENSG00000112320",74.4444772351394,1.42164732960039,0.165935166736941,8.56748667299765,1.05768097701937e-17,3.07823859958136e-16,"SOBP","dorsal",2,2,2
"ENSG00000112333",21.6203978209378,6.98645889569199,1.58401052361099,4.41061393946128,1.03077950269191e-05,6.33436675941455e-05,"NR2E1","dorsal",3,3,3
"ENSG00000185250",14.9439650882292,2.11935840643348,0.441971431361583,4.79523846123802,1.62481431594528e-06,1.15405338244149e-05,"PPIL6","dorsal",4,5,5
"ENSG00000112365",34.1004547637559,-1.47789392749029,0.21020389805259,-7.03076365939012,2.0540617884339e-12,3.52346340204672e-11,"ZBTB24","dorsal",5,6,10
"ENSG00000053328",6.79603685740145,5.23252541841842,1.07664350540559,4.86003527829505,1.17364836854121e-06,8.58010541480779e-06,"METTL24","dorsal",4,5,5
"ENSG00000197498",122.928844916718,-1.02491932709909,0.128911571208266,-7.9505611287854,1.85668596590146e-15,4.366041494684e-14,"RPF2","dorsal",1,1,1
"ENSG00000009413",163.021665151742,2.07733276454778,0.208969267526617,9.94085297391008,2.76449713684368e-23,1.2748738970198e-21,"REV3L","dorsal",3,3,3
"ENSG00000112769",5.83111027159907,2.2904875360298,0.633873686714665,3.61347628720997,0.000302118997234055,0.00133027119354072,"LAMA4","dorsal",3,3,3
"ENSG00000228624",23.4018412517168,-3.07295509583898,0.44561998309601,-6.89590954716431,5.35212438668884e-12,8.74104010185315e-11,"HDAC2-AS2","dorsal",1,1,1
"ENSG00000249853",34.1557335502512,-2.35582864982072,0.263766743426981,-8.93148476268348,4.20328954350588e-19,1.36944034069308e-17,"HS3ST5","dorsal",1,1,1
"ENSG00000216471",17.7828547334056,-3.75767154293714,0.502059981287644,-7.48450719633091,7.18160992606722e-14,1.43271992380852e-12,"RPSAP43","dorsal",1,1,1
"ENSG00000178425",89.4439147615561,-1.10739771135638,0.140991694217469,-7.85434714791287,4.01859819067706e-15,9.06892159059178e-14,"NT5DC1","dorsal",5,6,10
"ENSG00000196376",63.9723282105391,1.34427135023742,0.282520640246996,4.75813501293988,1.95389799264798e-06,1.36894754039028e-05,"SLC35F1","dorsal",3,3,3
"ENSG00000111860",67.3108176110215,1.5270270005801,0.190562659526855,8.01325403608204,1.11712557090873e-15,2.69294967169058e-14,"CEP85L","dorsal",4,5,5
"ENSG00000164434",252.689031144547,4.61447369960733,0.568419049745738,8.11808418748711,4.73600234985076e-16,1.18661098245867e-14,"FABP7","dorsal",2,2,2
"ENSG00000146373",96.6091293834167,1.417627378087,0.193745720876996,7.3169480681693,2.53673964223369e-13,4.77156977827839e-12,"RNF217","dorsal",3,3,3
