"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048732","GO:0048732","gland development","23/461","483/20772",0.000540042854803128,0.0257420427456158,0.0225428415063434,"ENSG00000165891/ENSG00000188064/ENSG00000007372/ENSG00000106571/ENSG00000154342/ENSG00000184486/ENSG00000163132/ENSG00000138798/ENSG00000066468/ENSG00000138061/ENSG00000119547/ENSG00000120149/ENSG00000074047/ENSG00000138795/ENSG00000169174/ENSG00000118503/ENSG00000143869/ENSG00000184254/ENSG00000117139/ENSG00000019549/ENSG00000126778/ENSG00000103257/ENSG00000120833",23
"GO:0021513","GO:0021513","spinal cord dorsal/ventral patterning","4/461","18/20772",0.000572257778291573,0.0269778666908884,0.0236250782038476,"ENSG00000182968/ENSG00000106571/ENSG00000064218/ENSG00000074047",4
"GO:0030879","GO:0030879","mammary gland development","11/461","154/20772",0.000667512316375776,0.0306593507292986,0.0268490302423916,"ENSG00000188064/ENSG00000106571/ENSG00000154342/ENSG00000163132/ENSG00000138798/ENSG00000066468/ENSG00000120149/ENSG00000074047/ENSG00000138795/ENSG00000117139/ENSG00000120833",11
"GO:0046883","GO:0046883","regulation of hormone secretion","16/461","285/20772",0.000677561823621881,0.0306593507292986,0.0268490302423916,"ENSG00000007171/ENSG00000156675/ENSG00000163485/ENSG00000250366/ENSG00000008196/ENSG00000141433/ENSG00000118263/ENSG00000170893/ENSG00000148672/ENSG00000068366/ENSG00000115138/ENSG00000198355/ENSG00000186188/ENSG00000162992/ENSG00000117139/ENSG00000197696",16
"GO:0001823","GO:0001823","mesonephros development","9/461","108/20772",0.000678936671161624,0.0306593507292986,0.0268490302423916,"ENSG00000106571/ENSG00000134245/ENSG00000066468/ENSG00000164056/ENSG00000075711/ENSG00000105696/ENSG00000115596/ENSG00000126778/ENSG00000115884",9
"GO:0061326","GO:0061326","renal tubule development","9/461","108/20772",0.000678936671161624,0.0306593507292986,0.0268490302423916,"ENSG00000101384/ENSG00000188064/ENSG00000106571/ENSG00000134245/ENSG00000008196/ENSG00000075711/ENSG00000105696/ENSG00000115596/ENSG00000126778",9
"GO:0098739","GO:0098739","import across plasma membrane","14/461","231/20772",0.000689272909100834,0.0308018831254435,0.0269738488221587,"ENSG00000018625/ENSG00000059804/ENSG00000171488/ENSG00000069849/ENSG00000120457/ENSG00000064651/ENSG00000204442/ENSG00000143153/ENSG00000168003/ENSG00000075711/ENSG00000117394/ENSG00000103257/ENSG00000184185/ENSG00000105281",14
"GO:0043268","GO:0043268","positive regulation of potassium ion transport","6/461","49/20772",0.000720883992755978,0.0318823951435376,0.0279200756391328,"ENSG00000163485/ENSG00000069849/ENSG00000184845/ENSG00000143153/ENSG00000075711/ENSG00000183908",6
"GO:0031668","GO:0031668","cellular response to extracellular stimulus","16/461","287/20772",0.000730163961532223,0.0319307804320213,0.0279624476412425,"ENSG00000163545/ENSG00000134245/ENSG00000149212/ENSG00000167196/ENSG00000170836/ENSG00000162772/ENSG00000122779/ENSG00000080546/ENSG00000070961/ENSG00000169174/ENSG00000117394/ENSG00000136159/ENSG00000197769/ENSG00000019549/ENSG00000124762/ENSG00000103257",16
"GO:0042471","GO:0042471","ear morphogenesis","10/461","132/20772",0.000736864163815876,0.0319307804320213,0.0279624476412425,"ENSG00000154342/ENSG00000163132/ENSG00000115507/ENSG00000066468/ENSG00000152977/ENSG00000104290/ENSG00000137203/ENSG00000184254/ENSG00000126778/ENSG00000060718",10
"GO:0021772","GO:0021772","olfactory bulb development","5/461","33/20772",0.000748552105946363,0.032112885345099,0.028121920696027,"ENSG00000075213/ENSG00000152977/ENSG00000118193/ENSG00000112333/ENSG00000164853",5
"GO:0051048","GO:0051048","negative regulation of secretion","13/461","208/20772",0.000797742456060799,0.0338177869104482,0.0296149384083891,"ENSG00000156675/ENSG00000163485/ENSG00000138798/ENSG00000118263/ENSG00000170893/ENSG00000069696/ENSG00000168952/ENSG00000151474/ENSG00000198355/ENSG00000186188/ENSG00000168811/ENSG00000197696/ENSG00000060237",13
