"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050767","GO:0050767","regulation of neurogenesis","17/375","416/20772",0.00158406043695666,0.04429414109054,0.0391282360406944,"ENSG00000075223/ENSG00000154645/ENSG00000092421/ENSG00000132386/ENSG00000170381/ENSG00000136603/ENSG00000164690/ENSG00000185033/ENSG00000133216/ENSG00000065320/ENSG00000177169/ENSG00000115310/ENSG00000006042/ENSG00000110492/ENSG00000114315/ENSG00000071794/ENSG00000149256",17
"GO:0055017","GO:0055017","cardiac muscle tissue growth","7/375","95/20772",0.00167471442138751,0.0464795741279115,0.0410587879744729,"ENSG00000116741/ENSG00000114861/ENSG00000111087/ENSG00000181744/ENSG00000117152/ENSG00000149256/ENSG00000173706",7
"GO:0042326","GO:0042326","negative regulation of phosphorylation","17/375","419/20772",0.00170896496422568,0.0465927203175327,0.0411587382321279,"ENSG00000077942/ENSG00000125798/ENSG00000116741/ENSG00000175215/ENSG00000188906/ENSG00000122641/ENSG00000135842/ENSG00000133216/ENSG00000111679/ENSG00000135596/ENSG00000213066/ENSG00000204104/ENSG00000152642/ENSG00000183023/ENSG00000167851/ENSG00000163629/ENSG00000173706",17
"GO:0021700","GO:0021700","developmental maturation","15/375","347/20772",0.00171064459912829,0.0465927203175327,0.0411587382321279,"ENSG00000151388/ENSG00000163251/ENSG00000129514/ENSG00000068885/ENSG00000188906/ENSG00000162599/ENSG00000124813/ENSG00000102383/ENSG00000198945/ENSG00000125864/ENSG00000091129/ENSG00000101311/ENSG00000114315/ENSG00000179397/ENSG00000138083",15
"GO:0030177","GO:0030177","positive regulation of Wnt signaling pathway","9/375","151/20772",0.00172534449075981,0.0465927203175327,0.0411587382321279,"ENSG00000205213/ENSG00000103449/ENSG00000164690/ENSG00000188906/ENSG00000106723/ENSG00000187123/ENSG00000070193/ENSG00000124766/ENSG00000107104",9
"GO:0030878","GO:0030878","thyroid gland development","4/375","29/20772",0.00173723690559445,0.0465927203175327,0.0411587382321279,"ENSG00000178919/ENSG00000164690/ENSG00000070193/ENSG00000136352",4
"GO:0007389","GO:0007389","pattern specification process","19/375","495/20772",0.0017716147174641,0.0465927203175327,0.0411587382321279,"ENSG00000075223/ENSG00000125798/ENSG00000163251/ENSG00000129514/ENSG00000164161/ENSG00000111087/ENSG00000104313/ENSG00000164690/ENSG00000164093/ENSG00000185920/ENSG00000070193/ENSG00000151023/ENSG00000136352/ENSG00000154099/ENSG00000204852/ENSG00000114315/ENSG00000090539/ENSG00000138083/ENSG00000163389",19
"GO:0042060","GO:0042060","wound healing","19/375","495/20772",0.0017716147174641,0.0465927203175327,0.0411587382321279,"ENSG00000077942/ENSG00000125798/ENSG00000092445/ENSG00000164007/ENSG00000164690/ENSG00000182704/ENSG00000133216/ENSG00000111679/ENSG00000274588/ENSG00000070193/ENSG00000149131/ENSG00000141736/ENSG00000157680/ENSG00000101311/ENSG00000001561/ENSG00000185532/ENSG00000124193/ENSG00000107104/ENSG00000134853",19
"GO:0030193","GO:0030193","regulation of blood coagulation","6/375","71/20772",0.00177471368474772,0.0465927203175327,0.0411587382321279,"ENSG00000125798/ENSG00000133216/ENSG00000149131/ENSG00000001561/ENSG00000185532/ENSG00000134853",6
"GO:0009798","GO:0009798","axis specification","7/375","96/20772",0.00177901755447423,0.0465927203175327,0.0411587382321279,"ENSG00000125798/ENSG00000163251/ENSG00000164690/ENSG00000164093/ENSG00000185920/ENSG00000070193/ENSG00000138083",7
"GO:0061052","GO:0061052","negative regulation of cell growth involved in cardiac muscle cell development","3/375","14/20772",0.0018323842547806,0.0472535944571529,0.0417425364205925,"ENSG00000116741/ENSG00000114861/ENSG00000117152",3
"GO:0048538","GO:0048538","thymus development","5/375","49/20772",0.00185507523278955,0.0472535944571529,0.0417425364205925,"ENSG00000178919/ENSG00000164690/ENSG00000070193/ENSG00000114315/ENSG00000127152",5
"GO:0048566","GO:0048566","embryonic digestive tract development","5/375","49/20772",0.00185507523278955,0.0472535944571529,0.0417425364205925,"ENSG00000103449/ENSG00000164690/ENSG00000162878/ENSG00000070193/ENSG00000134853",5
"GO:0050919","GO:0050919","negative chemotaxis","5/375","49/20772",0.00185507523278955,0.0472535944571529,0.0417425364205925,"ENSG00000075223/ENSG00000092421/ENSG00000170381/ENSG00000185033/ENSG00000065320",5
"GO:0051216","GO:0051216","cartilage development","11/375","215/20772",0.00190323089736481,0.047923962798834,0.042334721528187,"ENSG00000151388/ENSG00000115380/ENSG00000068885/ENSG00000170891/ENSG00000124813/ENSG00000182704/ENSG00000162878/ENSG00000120708/ENSG00000152785/ENSG00000162998/ENSG00000110492",11
"GO:0060675","GO:0060675","ureteric bud morphogenesis","6/375","72/20772",0.00190716496214774,0.047923962798834,0.042334721528187,"ENSG00000205213/ENSG00000103449/ENSG00000104313/ENSG00000164690/ENSG00000185920/ENSG00000114315",6
"GO:0007286","GO:0007286","spermatid development","11/375","216/20772",0.00197380158044004,0.048998536051257,0.0432839702285484,"ENSG00000111087/ENSG00000160188/ENSG00000105792/ENSG00000181378/ENSG00000206530/ENSG00000152582/ENSG00000185920/ENSG00000112981/ENSG00000197748/ENSG00000188596/ENSG00000179397",11
"GO:0021544","GO:0021544","subpallium development","4/375","30/20772",0.0019762786791311,0.048998536051257,0.0432839702285484,"ENSG00000114861/ENSG00000188906/ENSG00000122641/ENSG00000127152",4
"GO:0055006","GO:0055006","cardiac cell development","7/375","98/20772",0.00200270227659237,0.0490805403673737,0.0433564106045976,"ENSG00000116741/ENSG00000114861/ENSG00000122641/ENSG00000148814/ENSG00000183023/ENSG00000117152/ENSG00000134853",7
"GO:0048806","GO:0048806","genitalia development","5/375","50/20772",0.00203115753980107,0.0490805403673737,0.0433564106045976,"ENSG00000205213/ENSG00000092445/ENSG00000164690/ENSG00000070193/ENSG00000134853",5
"GO:0099111","GO:0099111","microtubule-based transport","11/375","217/20772",0.00204648771612374,0.0490805403673737,0.0433564106045976,"ENSG00000068885/ENSG00000118965/ENSG00000152582/ENSG00000196659/ENSG00000204104/ENSG00000112981/ENSG00000032742/ENSG00000197748/ENSG00000154099/ENSG00000151746/ENSG00000188596",11
"GO:0072171","GO:0072171","mesonephric tubule morphogenesis","6/375","73/20772",0.00204696337464975,0.0490805403673737,0.0433564106045976,"ENSG00000205213/ENSG00000103449/ENSG00000104313/ENSG00000164690/ENSG00000185920/ENSG00000114315",6
"GO:1900046","GO:1900046","regulation of hemostasis","6/375","73/20772",0.00204696337464975,0.0490805403673737,0.0433564106045976,"ENSG00000125798/ENSG00000133216/ENSG00000149131/ENSG00000001561/ENSG00000185532/ENSG00000134853",6
"GO:0042303","GO:0042303","molting cycle","8/375","126/20772",0.0020719668829464,0.0490805403673737,0.0433564106045976,"ENSG00000205213/ENSG00000169744/ENSG00000178919/ENSG00000164690/ENSG00000122641/ENSG00000182704/ENSG00000070193/ENSG00000101311",8
"GO:0042633","GO:0042633","hair cycle","8/375","126/20772",0.0020719668829464,0.0490805403673737,0.0433564106045976,"ENSG00000205213/ENSG00000169744/ENSG00000178919/ENSG00000164690/ENSG00000122641/ENSG00000182704/ENSG00000070193/ENSG00000101311",8
"GO:0001942","GO:0001942","hair follicle development","7/375","99/20772",0.00212240262643869,0.0499570592894019,0.0441307035117599,"ENSG00000205213/ENSG00000169744/ENSG00000178919/ENSG00000164690/ENSG00000122641/ENSG00000070193/ENSG00000101311",7
