"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","type"
"ENSG00000145721",157.472731930315,5.35236822441562,0.589593395843805,9.07806678661232,1.10520340227408e-19,2.65914601727871e-18,"LIX1","dorsal"
"ENSG00000113532",5.43327449679673,1.88757792360712,0.574948590328811,3.28303774521408,0.00102694914410293,0.00339034128082915,"ST8SIA4","dorsal"
"ENSG00000173930",10.5482075541118,-1.32723149338713,0.312649454106068,-4.24511054139523,2.18485684168994e-05,0.000101871564624208,"SLCO4C1","dorsal"
"ENSG00000251027",1.66044815763998,-3.70974623955079,0.841586971100189,-4.40803668181925,1.04311881481229e-05,5.1157010234652e-05,"LINC01950","dorsal"
"ENSG00000151422",56.2956823787757,1.43032977206332,0.175475761356739,8.15115296269028,3.60470818119567e-16,6.43306723668252e-15,"FER","dorsal"
"ENSG00000164211",279.206556521313,2.08795687964267,0.120831499554855,17.2799053834035,6.66572770850169e-67,1.70659720947152e-64,"STARD4","dorsal"
"ENSG00000080709",11.8095140152004,-2.5545085573569,0.342975913660699,-7.44806983700913,9.471568330554e-14,1.34051891963971e-12,"KCNN2","dorsal"
"ENSG00000129596",79.858136724004,1.57303174005626,0.226737466111982,6.93767892457335,3.98594336056412e-12,4.71280573774218e-11,"CDO1","dorsal"
"ENSG00000092421",517.438896302358,-1.95835495676065,0.0920774663350636,-21.2685582554404,2.21999376405579e-100,1.43010566026433e-97,"SEMA6A","dorsal"
"ENSG00000248445",13.5600380251855,-1.46179059777499,0.240790786258574,-6.07079124782309,1.27281552638618e-09,1.12869121056537e-08,"SEMA6A-AS1","dorsal"
"ENSG00000172869",61.1436375216949,-1.03951800867264,0.120050645250626,-8.65899559725369,4.75939203489147e-18,1.01219445087096e-16,"DMXL1","dorsal"
"ENSG00000113083",8.93738446398187,2.16365288762057,0.413004793025795,5.23880817888096,1.61616914416841e-07,1.07083270766566e-06,"LOX","dorsal"
"ENSG00000168938",37.2170129347681,-1.34293897341385,0.266486020761226,-5.03943497515442,4.66908227355328e-07,2.87162220520046e-06,"PPIC","dorsal"
"ENSG00000173926",8.79425512642986,-2.20784449084728,0.356354231470109,-6.19564550065537,5.80466410792792e-10,5.35670712732535e-09,"MARCHF3","dorsal"
"ENSG00000286615",1.75456435746726,-3.46622855268147,0.7576728719461,-4.57483523697817,4.76594904336945e-06,2.47403177530772e-05,"LOC105379199","dorsal"
"ENSG00000145794",23.8835357728338,-3.34423183942676,0.414434993103144,-8.06937612672695,7.06582804259336e-16,1.22168472736441e-14,"MEGF10","dorsal"
"ENSG00000138829",276.713846533361,2.59890021050684,0.109505940552478,23.7329609461817,1.64774900185211e-124,1.93562044511686e-121,"FBN2","dorsal"
