#node	identifier	node_degree
CHST9	9606.ENSP00000480991	1
CISH	9606.ENSP00000409346	17
CKMT1B	9606.ENSP00000300283	2
CLDN1	9606.ENSP00000295522	31
CLDN2	9606.ENSP00000336571	10
CLDN23	9606.ENSP00000428780	7
CLDN3	9606.ENSP00000378577	17
CLDN4	9606.ENSP00000409544	22
CLDN6	9606.ENSP00000380131	10
CLEC2B	9606.ENSP00000228438	1
CLEC2L	9606.ENSP00000390661	0
CLIC5	9606.ENSP00000185206	9
CLIC6	9606.ENSP00000353959	2
CLIP1	9606.ENSP00000479322	2
CLU	9606.ENSP00000315130	41
CLVS1	9606.ENSP00000428402	6
CLVS2	9606.ENSP00000275162	2
CMTM7	9606.ENSP00000335605	1
CMTM8	9606.ENSP00000307741	1
CNMD	9606.ENSP00000367198	4
CNN1	9606.ENSP00000252456	17
CNTN2	9606.ENSP00000330633	29
CNTN3	9606.ENSP00000263665	12
CNTN6	9606.ENSP00000407822	8
CNTNAP2	9606.ENSP00000354778	39
CNTNAP5	9606.ENSP00000399013	6
COBLL1	9606.ENSP00000487041	5
COL11A1	9606.ENSP00000359114	34
COL13A1	9606.ENSP00000381949	12
COL1A2	9606.ENSP00000297268	73
COL21A1	9606.ENSP00000244728	10
COL25A1	9606.ENSP00000382083	16
COL4A6	9606.ENSP00000378340	18
COL5A3	9606.ENSP00000264828	14
COLGALT2	9606.ENSP00000354960	8
COMTD1	9606.ENSP00000361616	1
CORO2A	9606.ENSP00000343746	2
CPA2	9606.ENSP00000222481	0
CPAMD8	9606.ENSP00000498697	1
CPXM2	9606.ENSP00000241305	0
CRABP1	9606.ENSP00000299529	17
CRB1	9606.ENSP00000356370	0
CREB3L2	9606.ENSP00000329140	6
CREG2	9606.ENSP00000315203	0
CRIP1	9606.ENSP00000332449	4
CRISPLD2	9606.ENSP00000262424	2
CROT	9606.ENSP00000413575	5
CRTAC1	9606.ENSP00000359629	3
CRYBA4	9606.ENSP00000346805	5
CRYGD	9606.ENSP00000264376	6
CRYL1	9606.ENSP00000298248	7
CRYM	9606.ENSP00000219599	5
CSRNP1	9606.ENSP00000273153	17
CST2	9606.ENSP00000307540	2
CTH	9606.ENSP00000359976	10
CTHRC1	9606.ENSP00000330523	19
CTNNA2	9606.ENSP00000384638	20
CTSB	9606.ENSP00000345672	31
CTTNBP2NL	9606.ENSP00000271277	0
CTXND1	9606.ENSP00000489837	0
CUBN	9606.ENSP00000367064	6
CXADR	9606.ENSP00000284878	2
CXCL10	9606.ENSP00000305651	65
CXCL14	9606.ENSP00000337065	8
CXCR4	9606.ENSP00000386884	101
CYP1B1	9606.ENSP00000478561	20
CYP26A1	9606.ENSP00000224356	18
CYP26C1	9606.ENSP00000498424	10
CYP27C1	9606.ENSP00000334128	2
CYP2J2	9606.ENSP00000360247	2
CYP2S1	9606.ENSP00000308032	7
CYP39A1	9606.ENSP00000275016	5
CYP4V2	9606.ENSP00000368079	3
CYSRT1	9606.ENSP00000386453	0
CYSTM1	9606.ENSP00000261811	0
CYTL1	9606.ENSP00000303550	0
D2HGDH	9606.ENSP00000315351	1
DACH1	9606.ENSP00000482245	11
DACT1	9606.ENSP00000337439	8
DACT3	9606.ENSP00000375783	2
DAW1	9606.ENSP00000311899	8
DAZAP2	9606.ENSP00000448051	1
DCDC1	9606.ENSP00000385936	2
DCHS2	9606.ENSP00000349768	1
DCP1A	9606.ENSP00000476386	4
DDC	9606.ENSP00000403644	20
DDIT4L	9606.ENSP00000354830	0
DDX25	9606.ENSP00000263576	3
DEPDC7	9606.ENSP00000241051	3
DEPP1	9606.ENSP00000298295	0
DEPTOR	9606.ENSP00000286234	1
DES	9606.ENSP00000363071	22
DEUP1	9606.ENSP00000298050	3
DGKG	9606.ENSP00000265022	9
DGKI	9606.ENSP00000288490	7
DGKK	9606.ENSP00000477515	8
DHFR2	9606.ENSP00000319170	11
DHRS2	9606.ENSP00000344674	2
DIO3	9606.ENSP00000427336	9
DIPK2A	9606.ENSP00000320081	3
DLEC1	9606.ENSP00000308597	12
DLEU7	9606.ENSP00000427177	3
DLK1	9606.ENSP00000340292	20
DLX1	9606.ENSP00000354478	34
DLX2	9606.ENSP00000234198	53
DMRT2	9606.ENSP00000371686	3
DMRT3	9606.ENSP00000190165	10
DMRTA2	9606.ENSP00000383909	6
DNAAF1	9606.ENSP00000367815	18
DNAAF3	9606.ENSP00000436975	13
DNAH12	9606.ENSP00000312554	18
DNAH5	9606.ENSP00000265104	22
DNAH7	9606.ENSP00000311273	17
DNAJB2	9606.ENSP00000338019	5
DNAJB5	9606.ENSP00000404079	4
DNAJC15	9606.ENSP00000368523	0
DNAJC22	9606.ENSP00000446830	4
DNM3	9606.ENSP00000347457	6
DOCK11	9606.ENSP00000276202	1
DOCK8	9606.ENSP00000394888	6
DOK5	9606.ENSP00000262593	7
DOK6	9606.ENSP00000372160	3
DPF3	9606.ENSP00000479526	2
DPP10	9606.ENSP00000376855	11
DPP7	9606.ENSP00000360635	3
DPY19L2	9606.ENSP00000315988	4
DRAM1	9606.ENSP00000258534	5
DRC1	9606.ENSP00000288710	18
DRD1	9606.ENSP00000377353	25
DRD4	9606.ENSP00000176183	16
DSC3	9606.ENSP00000353608	13
DSP	9606.ENSP00000369129	24
DTX1	9606.ENSP00000257600	9
DUSP1	9606.ENSP00000239223	31
DUSP2	9606.ENSP00000288943	13
DUSP4	9606.ENSP00000240100	12
DUSP5	9606.ENSP00000358596	21
DYDC2	9606.ENSP00000361272	3
DYNLRB2	9606.ENSP00000455791	12
E2F2	9606.ENSP00000355249	13
