gene1,gene2,STRING_score,double,gene_mouse,scRNA,gene_SHH_link,gene1_SHH_corr,gene2_SHH_corr
APC,CDH7,0.555,keep,NA,expressed,FALSE,0.119077011048641,0.0177319801105296
APEX1,MCM6,0.403,keep,NA,expressed,FALSE,1.1834177700845e-06,4.97238688688167e-05
APEX1,NHEJ1,0.467,keep,NA,expressed,FALSE,1.1834177700845e-06,0.000383410113440627
APEX1,ERCC6,0.566,keep,NA,expressed,FALSE,1.1834177700845e-06,0.00204251279467302
APOA1,SCG3,0.459,keep,NA,expressed,FALSE,0.0558908122561575,0.0512999834076458
APOA1,CHD9,0.4,keep,NA,expressed,FALSE,0.0558908122561575,0.000572936909560125
APOA1,FAM20A,0.416,keep,NA,expressed,FALSE,0.0558908122561575,0.00119541912533394
APOA1,C1R,0.547,keep,NA,expressed,FALSE,0.0558908122561575,0.00215483026534597
APOA1,RXRA,0.567,keep,NA,expressed,FALSE,0.0558908122561575,0.135757844072098
APOA1,SELENOP,0.58,keep,NA,expressed,FALSE,0.0558908122561575,5.32072432419278e-05
APOA1,NCAM1,0.612,keep,NA,expressed,FALSE,0.0558908122561575,0.0806611808596926
APOA1,BMP1,0.797,keep,NA,expressed,FALSE,0.0558908122561575,0.0642225946313085
APOA1,MTTP,0.899,keep,NA,expressed,FALSE,0.0558908122561575,0.115787879444773
APPL2,SHANK2,0.422,keep,NA,expressed,FALSE,0.00267933363084146,0.03103521387539
ARHGEF6,SHANK2,0.526,keep,NA,expressed,FALSE,0.00153385851767562,0.03103521387539
ARHGEF6,DOCK1,0.628,keep,NA,expressed,FALSE,0.00153385851767562,0.0563408111709039
ARHGEF6,RAC3,0.927,keep,NA,expressed,FALSE,0.00153385851767562,1.95095734322891e-05
ARMC2,DPY19L2,0.401,keep,NA,expressed,FALSE,6.16562220724909e-05,0.000840213629623312
ARMC2,CFAP65,0.453,keep,NA,expressed,FALSE,6.16562220724909e-05,0.000120423302223446
ARMC2,CFAP58,0.613,keep,NA,expressed,FALSE,6.16562220724909e-05,9.99354357021863e-05
ARMC2,WDR19,0.46,keep,NA,expressed,FALSE,6.16562220724909e-05,2.78890792302443e-05
ASCL1,DLL3,0.681,keep,NA,expressed,FALSE,0.0544113572363883,0.00181183000403487
ASCL1,GLI1,0.537,keep,NA,expressed,FALSE,0.0544113572363883,0.0788665442997865
ASCL1,NEUROG3,0.705,keep,NA,expressed,FALSE,0.0544113572363883,0.00260619253597112
ASCL1,NTRK2,0.41,keep,NA,expressed,FALSE,0.0544113572363883,0.67648009689057
ASCL1,LIN28A,0.47,keep,NA,expressed,FALSE,0.0544113572363883,0.0109733262503473
ASCL1,HEY1,0.499,keep,NA,expressed,FALSE,0.0544113572363883,0.0246888393136628
ASCL1,ELAVL3,0.508,keep,NA,expressed,FALSE,0.0544113572363883,0.00726353907702157
ASCL1,NCAM1,0.527,keep,NA,expressed,FALSE,0.0544113572363883,0.0806611808596926
ASCL1,FOXN4,0.55,keep,NA,expressed,FALSE,0.0544113572363883,3.39485697008123e-05
ASCL1,NKX6-2,0.56,keep,NA,expressed,FALSE,0.0544113572363883,0.000621788683985722
ASCL1,DCX,0.635,keep,NA,expressed,FALSE,0.0544113572363883,0.327478501750503
ASCL1,NKX2-1,0.654,keep,NA,expressed,FALSE,0.0544113572363883,0.586649938657414
ASCL1,SHH,0.658,keep,NA,expressed,TRUE,0.0544113572363883,1
ASCL1,FOXA2,0.738,keep,NA,expressed,FALSE,0.0544113572363883,0.420851659651168
ASCL1,NES,0.744,keep,NA,expressed,FALSE,0.0544113572363883,0.173820223332922
ASCL1,NKX2-2,0.872,keep,NA,expressed,FALSE,0.0544113572363883,0.338227513580033
ATG14,FOXO1,0.403,keep,NA,expressed,FALSE,0.00369628369032008,0.0773664950596631
ATG14,ULK3,0.425,keep,NA,expressed,FALSE,0.00369628369032008,0.00971892984491926
ATG14,DYNLL2,0.511,keep,NA,expressed,FALSE,0.00369628369032008,0.0216492890641546
ATG14,PIK3C2B,0.6,keep,NA,expressed,FALSE,0.00369628369032008,0.0148919517145716
ATG14,ATG4D,0.711,keep,NA,expressed,FALSE,0.00369628369032008,2.23601560103196e-07
ATG14,ATG9B,0.726,keep,NA,expressed,FALSE,0.00369628369032008,1.204770901075e-05
ATG14,ULK1,0.999,keep,NA,expressed,FALSE,0.00369628369032008,0.0108915758480401
ATG4D,ATG9B,0.688,keep,NA,expressed,FALSE,2.23601560103196e-07,1.204770901075e-05
ATG4D,ULK3,0.707,keep,NA,expressed,FALSE,2.23601560103196e-07,0.00971892984491926
ATG4D,ULK1,0.83,keep,NA,expressed,FALSE,2.23601560103196e-07,0.0108915758480401
ATG9B,ULK1,0.895,keep,NA,expressed,FALSE,1.204770901075e-05,0.0108915758480401
ATG9B,ULK3,0.689,keep,NA,expressed,FALSE,1.204770901075e-05,0.00971892984491926
ATP2B4,BMP1,0.487,keep,NA,expressed,FALSE,0.0208533618926688,0.0642225946313085
ATP2B4,ITPR1,0.477,keep,NA,expressed,FALSE,0.0208533618926688,0.00135768713405362
ATP2B4,G6PD,0.415,keep,NA,expressed,FALSE,0.0208533618926688,0.00275233443138684
ATP2B4,GDI2,0.424,keep,NA,expressed,FALSE,0.0208533618926688,1.08151808332941e-05
ATP2B4,KCNQ2,0.443,keep,NA,expressed,FALSE,0.0208533618926688,3.44830359608765e-05
ATP2B4,PTPN6,0.533,keep,NA,expressed,FALSE,0.0208533618926688,0.00012290224580892
ATP2B4,SLC26A4,0.584,keep,NA,expressed,FALSE,0.0208533618926688,1.21409661446702e-05
ATP2B4,ATP2C2,0.633,keep,NA,expressed,FALSE,0.0208533618926688,0.161793086395196
ATP2C2,GNPTG,0.52,keep,NA,expressed,FALSE,0.161793086395196,0.0699197877994745
ATP2C2,DNAAF4,0.753,keep,NA,expressed,FALSE,0.161793086395196,0.000170341566799131
B4GALNT1,NR1I2,0.424,keep,NA,expressed,FALSE,0.00108716961639988,0.000325764065971598
B4GALNT1,ST8SIA1,0.985,keep,NA,expressed,FALSE,0.00108716961639988,0.0123677227511857
BASP1,SOWAHC,0.411,keep,NA,expressed,FALSE,0.0617639973124515,0.197557586072276
BASP1,NCAM1,0.502,keep,NA,expressed,FALSE,0.0617639973124515,0.0806611808596926
BCCIP,CYB561D1,0.454,keep,NA,expressed,FALSE,0.00619130851888173,2.05630824067285e-05
BMP1,CHRD,0.984,keep,NA,expressed,FALSE,0.0642225946313085,1.50353944715565e-06
BMP1,TGFB3,0.462,keep,NA,expressed,FALSE,0.0642225946313085,4.81377888782815e-06
BMP1,LOXL1,0.727,keep,NA,expressed,FALSE,0.0642225946313085,2.37381432887821e-05
BMP1,LRP4,0.439,keep,NA,expressed,FALSE,0.0642225946313085,0.12916900475785
BMP1,COL27A1,0.569,keep,NA,expressed,FALSE,0.0642225946313085,0.00016037723319966
BMP1,BMPR2,0.707,keep,NA,expressed,FALSE,0.0642225946313085,0.176559803563537
BMP1,C1R,0.92,keep,NA,expressed,FALSE,0.0642225946313085,0.00215483026534597
BMPER,CHRD,0.799,keep,NA,expressed,FALSE,0.00133356827784874,1.50353944715565e-06
BMPER,BMPR2,0.678,keep,NA,expressed,FALSE,0.00133356827784874,0.176559803563537
BMPR2,CHRD,0.718,keep,NA,expressed,FALSE,0.176559803563537,1.50353944715565e-06
BMPR2,TGFB3,0.595,keep,NA,expressed,FALSE,0.176559803563537,4.81377888782815e-06
BMPR2,SMAD7,0.884,keep,NA,expressed,FALSE,0.176559803563537,0.0125828322890138
BMPR2,KIT,0.683,keep,NA,expressed,FALSE,0.176559803563537,0.0125550723908042
BMPR2,NTRK3,0.438,keep,NA,expressed,FALSE,0.176559803563537,0.0051870219629433
BMPR2,NES,0.428,keep,NA,expressed,FALSE,0.176559803563537,0.173820223332922
BMPR2,RUNX2,0.474,keep,NA,expressed,FALSE,0.176559803563537,0.106668882179129
BMPR2,TGFBR1,0.722,keep,NA,expressed,FALSE,0.176559803563537,0.0370457019540602
C1GALT1C1L,GALNT18,0.677,keep,NA,NA,FALSE,0.000185365030026964,0.000622184558795879
C1GALT1C1L,GALNT9,0.668,keep,NA,NA,FALSE,0.000185365030026964,0.000386924660042581
C1R,FBLN1,0.456,keep,NA,expressed,FALSE,0.00215483026534597,0.00666907917797056
C7orf25,ZSCAN2,0.418,keep,NA,expressed,FALSE,4.35616772756539e-05,3.22484808982007e-05
CAMK2B,RASGRF2,0.493,keep,NA,expressed,FALSE,0.000481714343583125,0.125920026838474
CAMK2B,GRIA4,0.589,keep,NA,expressed,FALSE,0.000481714343583125,0.0758217147837081
CAMK2B,SHANK1,0.434,keep,NA,expressed,FALSE,0.000481714343583125,0.00990693524551644
CAMK2B,OPCML,0.47,keep,NA,expressed,FALSE,0.000481714343583125,0.0894844171973387
CAMK2B,QKI,0.4,keep,NA,expressed,FALSE,0.000481714343583125,0.437431013922024
CAMK2B,OGT,0.493,keep,NA,expressed,FALSE,0.000481714343583125,3.14298808498165e-05
CAMK2B,MPRIP,0.4,keep,NA,expressed,FALSE,0.000481714343583125,1.10089975887351e-05
CAPN6,DCX,0.56,keep,tested,expressed,FALSE,0.424366701381111,0.327478501750503
CASQ2,CKMT2,0.421,keep,NA,expressed,FALSE,0.00919388542495639,7.00013905578828e-06
CASQ2,MYOCD,0.444,keep,NA,expressed,FALSE,0.00919388542495639,0.0896004509185944
CASQ2,SYNPO2,0.466,keep,NA,expressed,FALSE,0.00919388542495639,2.03467931601331e-14
CASQ2,KCNJ8,0.473,keep,NA,expressed,FALSE,0.00919388542495639,9.18382668478654e-05
CASZ1,TP53INP1,0.451,keep,NA,expressed,FALSE,0.000351148629410961,0.00750273709258561
