"","gene","category"
"STUM","STUM","cyclo"
"RIN3","RIN3","cyclo"
"RAMP2","RAMP2","cyclo"
"SYBU","SYBU","cyclo"
"SHD","SHD","cyclo"
"FAM20A","FAM20A","cyclo"
"GABRQ","GABRQ","cyclo"
"CEROX1","CEROX1","cyclo"
"PSMA7","PSMA7","cyclo"
"FGD3","FGD3","cyclo"
"USB1","USB1","cyclo"
"NDRG2","NDRG2","cyclo"
"GRM4","GRM4","cyclo"
"ATP1A1-AS1","ATP1A1-AS1","cyclo"
"B4GALNT1","B4GALNT1","cyclo"
"ZNF709","ZNF709","cyclo"
"THADA","THADA","cyclo"
"ZC3H12C","ZC3H12C","both"
"APELA","APELA","cyclo"
"FGFRL1","FGFRL1","both"
"HPGD","HPGD","cyclo"
"ACSF2","ACSF2","cyclo"
"TOX2","TOX2","cyclo"
"CRYZL2P","CRYZL2P","cyclo"
"TRAF3IP1","TRAF3IP1","cyclo"
"MRC2","MRC2","cyclo"
"DGCR5","DGCR5","cyclo"
"BRME1","BRME1","cyclo"
"LINC01619","LINC01619","cyclo"
"IGLON5","IGLON5","cyclo"
"ZSCAN5A","ZSCAN5A","cyclo"
"ST7-AS1","ST7-AS1","cyclo"
"DPY19L2","DPY19L2","cyclo"
"INTS11","INTS11","cyclo"
"GFRA2","GFRA2","cyclo"
"PCMTD2","PCMTD2","cyclo"
"EML6","EML6","cyclo"
"RMI1","RMI1","cyclo"
"FHAD1","FHAD1","cyclo"
"HS6ST1","HS6ST1","cyclo"
"ZNF780B","ZNF780B","cyclo"
"TMEM35A","TMEM35A","cyclo"
"NCAN","NCAN","cyclo"
"GALNT18","GALNT18","cyclo"
"NKX6-2","NKX6-2","cyclo"
"SUSD1","SUSD1","cyclo"
"CTRC","CTRC","cyclo"
"PLEKHH1","PLEKHH1","cyclo"
"USF3","USF3","cyclo"
"CHD9","CHD9","cyclo"
"LASP1","LASP1","cyclo"
"TSEN2","TSEN2","cyclo"
"PHF2","PHF2","cyclo"
"ANKRD11","ANKRD11","cyclo"
"RYBP","RYBP","cyclo"
"TNFSF12","TNFSF12","both"
"CLXN","CLXN","cyclo"
"CAMK2B","CAMK2B","cyclo"
"STAMBPL1","STAMBPL1","cyclo"
"FMO5","FMO5","cyclo"
"RNF144B","RNF144B","cyclo"
"COL12A1","COL12A1","cyclo"
"PKD2L2","PKD2L2","cyclo"
"TACR1","TACR1","cyclo"
"ZMYND10","ZMYND10","cyclo"
"WDR11-DT","WDR11-DT","cyclo"
"CPEB3","CPEB3","both"
"SNHG20","SNHG20","cyclo"
"DAW1","DAW1","cyclo"
"ABCG1","ABCG1","cyclo"
"MIR124-1HG","MIR124-1HG","cyclo"
"SORCS3","SORCS3","cyclo"
"NMUR1","NMUR1","cyclo"
"GALNT9","GALNT9","cyclo"
"NHEJ1","NHEJ1","cyclo"
"CRYBG2","CRYBG2","cyclo"
"MXRA8","MXRA8","cyclo"
"RPL23AP43","RPL23AP43","cyclo"
"SSB","SSB","cyclo"
"CASZ1","CASZ1","both"
"SNX33","SNX33","cyclo"
"RIPK2-DT","RIPK2-DT","cyclo"
"ATP6V0D1-DT","ATP6V0D1-DT","cyclo"
"MIAT","MIAT","cyclo"
"ALG14","ALG14","cyclo"
"NR1I2","NR1I2","cyclo"
"LOC124903729","LOC124903729","cyclo"
"TAFA4","TAFA4","cyclo"
"DNAAF1","DNAAF1","cyclo"
"TAOK3","TAOK3","cyclo"
"HTATIP2","HTATIP2","cyclo"
"LRRC10B","LRRC10B","cyclo"
"NICN1","NICN1","cyclo"
"TYMP","TYMP","cyclo"
"IGSF22","IGSF22","cyclo"
"SP2-AS1","SP2-AS1","cyclo"
"WDR73","WDR73","cyclo"
"LRRC46","LRRC46","cyclo"
"LYPLA2","LYPLA2","cyclo"
"CTSF","CTSF","cyclo"
"GFRA3","GFRA3","cyclo"
"MYO1D","MYO1D","cyclo"
"VEPH1","VEPH1","cyclo"
"DNAJC27-AS1","DNAJC27-AS1","cyclo"
"LINC01630","LINC01630","cyclo"
"IGFBP7","IGFBP7","cyclo"
"CDH10","CDH10","cyclo"
"ZNF493","ZNF493","cyclo"
"GATA5","GATA5","cyclo"
"PTCH2","PTCH2","cyclo"
"ZNF425","ZNF425","cyclo"
"ITIH5","ITIH5","cyclo"
"UROD","UROD","cyclo"
"SLC37A4","SLC37A4","cyclo"
"B4GALNT4","B4GALNT4","cyclo"
"INSYN2B","INSYN2B","cyclo"
"C1GALT1C1L","C1GALT1C1L","cyclo"
"ZFPM2","ZFPM2","cyclo"
"TMEM175","TMEM175","cyclo"
"CCDC13-AS1","CCDC13-AS1","cyclo"
"DNAAF4","DNAAF4","cyclo"
"ABHD3","ABHD3","cyclo"
"SNRNP35","SNRNP35","cyclo"
"CD24","CD24","cyclo"
"COL27A1","COL27A1","cyclo"
"STOX2","STOX2","cyclo"
"TPH1","TPH1","cyclo"
"EDARADD","EDARADD","cyclo"
"RPS20P28","RPS20P28","cyclo"
"ST8SIA5-DT","ST8SIA5-DT","cyclo"
"LINC02526","LINC02526","cyclo"
"ABCD1","ABCD1","cyclo"
"RETREG1","RETREG1","both"
"RNF144A","RNF144A","cyclo"
"ZNF446","ZNF446","cyclo"
"ARHGAP19-SLIT1","ARHGAP19-SLIT1","cyclo"
"MBD6","MBD6","cyclo"
"RAD50","RAD50","cyclo"
"COL8A2","COL8A2","cyclo"
"GCGR","GCGR","cyclo"
"VMAC","VMAC","cyclo"
"PTPN6","PTPN6","cyclo"
"CRISPLD2","CRISPLD2","cyclo"
"CFAP65","CFAP65","cyclo"
"OLFML3","OLFML3","cyclo"
"CCDC102B","CCDC102B","cyclo"
"LOC103344931","LOC103344931","cyclo"
"TSPAN6","TSPAN6","both"
"TNNI3K","TNNI3K","cyclo"
