"","genes","state"
"289","CHST9","C_Het_DE"
"290","ABCA5","C_Het_DE"
"291","PDLIM3","C_Het_DE"
"292","ACSS1","C_Het_DE"
"293","FMN2","C_Het_DE"
"294","ADCY8","C_Het_DE"
"295","AFF2","C_Het_DE"
"296","KIF5A","C_Het_DE"
"297","KCNMA1","C_Het_DE"
"298","SH3RF2","C_Het_DE"
"299","TYSND1","C_Het_DE"
"300","NRG1","C_Het_DE"
"301","CFAP107","C_Het_DE"
"302","CACNA1D","C_Het_DE"
"303","KIT","C_Het_DE"
"304","DGKI","C_Het_DE"
"305","COLEC12","common"
"306","COPG2","C_Het_DE"
"307","TNNI1","C_Het_DE"
"308","ALDH4A1","C_Het_DE"
"309","TFF3","common"
"310","NPHS1","C_Het_DE"
"311","AMDHD2","C_Het_DE"
"312","AK4","C_Het_DE"
"313","ALPL","C_Het_DE"
"314","MXRA8","C_Het_DE"
"315","DIRAS3","C_Het_DE"
"316","NTNG1","common"
"317","VCAM1","C_Het_DE"
"318","DDR2","C_Het_DE"
"319","KLHDC8A","C_Het_DE"
"320","PKDCC","C_Het_DE"
"321","NEUROD1","C_Het_DE"
"322","SPATA18","C_Het_DE"
"323","CLDN1","C_Het_DE"
"324","TAFA4","C_Het_DE"
"325","IGFBP7","C_Het_DE"
"326","SERPINI1","C_Het_DE"
"327","NUAK2","C_Het_DE"
"328","PRICKLE2","C_Het_DE"
"329","PTX3","C_Het_DE"
"330","GRIK3","common"
"331","SPRY1","common"
"332","CAMKV","C_Het_DE"
"333","PITX2","C_Het_DE"
"334","NDST3","C_Het_DE"
"335","GUCY1A1","C_Het_DE"
"336","NPY1R","C_Het_DE"
"337","HHIP","common"
"338","EDIL3","C_Het_DE"
"339","FABP7","C_Het_DE"
"340","TXLNB","C_Het_DE"
"341","SAMD3","C_Het_DE"
"342","TMEM200A","C_Het_DE"
"343","KCNK5","C_Het_DE"
"344","SP8","common"
"345","KCNV1","C_Het_DE"
"346","GPER1","C_Het_DE"
"347","RASEF","common"
"348","SHOC1","C_Het_DE"
"349","PCDH19","C_Het_DE"
"350","CLDN3","C_Het_DE"
"351","HDX","C_Het_DE"
"352","CRYL1","C_Het_DE"
"353","AMER2","C_Het_DE"
"354","HSPA12A","C_Het_DE"
"355","PACSIN3","C_Het_DE"
"356","PDZRN4","C_Het_DE"
"357","HTRA1","C_Het_DE"
"358","PPFIBP2","C_Het_DE"
"359","CYB5R2","C_Het_DE"
"360","RBFOX3","C_Het_DE"
"361","ATCAY","C_Het_DE"
"362","GNG4","C_Het_DE"
"363","FAM107A","C_Het_DE"
"364","LGI3","C_Het_DE"
"365","BMP1","C_Het_DE"
"366","GBX2","C_Het_DE"
"367","COL3A1","common"
"368","FSTL5","C_Het_DE"
"369","INPP5D","C_Het_DE"
"370","ATF5","C_Het_DE"
"371","PCSK9","C_Het_DE"
"372","GPR183","C_Het_DE"
"373","MT1E","C_Het_DE"
"374","PCDH7","C_Het_DE"
"375","ALCAM","C_Het_DE"
"376","VGLL2","C_Het_DE"
"377","CMTM8","C_Het_DE"
"378","KRT4","C_Het_DE"
"379","IRX1","C_Het_DE"
"380","ZNF296","C_Het_DE"
"381","GPR37","C_Het_DE"
"382","PDGFD","C_Het_DE"
"383","FUT3","C_Het_DE"
"384","JUNB","C_Het_DE"
"385","KRT19","C_Het_DE"
"386","KCND3","C_Het_DE"
"387","HOPX","C_Het_DE"
"388","OTP","C_Het_DE"
"389","ECEL1","C_Het_DE"
"390","ENC1","C_Het_DE"
"391","VAT1L","common"
"392","NHLH1","C_Het_DE"
"393","FRMD5","C_Het_DE"
"394","NEGR1","C_Het_DE"
"395","RCAN2","C_Het_DE"
"396","FUT9","C_Het_DE"
"397","PDE3A","C_Het_DE"
"398","RND1","common"
"399","RAB37","C_Het_DE"
"400","BNC2","C_Het_DE"
"401","SNCG","C_Het_DE"
"402","NDNF","C_Het_DE"
"403","INSM1","C_Het_DE"
"404","NUDT4","C_Het_DE"
"405","SUSD5","C_Het_DE"
"406","WFIKKN2","C_Het_DE"
"407","ZCCHC12","C_Het_DE"
"408","TTC9B","C_Het_DE"
"409","KY","C_Het_DE"
"410","FGFBP3","C_Het_DE"
"411","CD248","C_Het_DE"
"412","CADM2","common"
"413","ETV4","C_Het_DE"
"414","CRYBG2","C_Het_DE"
"415","FOXG1","common"
"416","FOXC2","C_Het_DE"
"417","BDNF","C_Het_DE"
"418","NCKAP5","C_Het_DE"
"419","IRX5","C_Het_DE"
"420","SOX11","C_Het_DE"
"421","TCIM","C_Het_DE"
"422","ERICH5","C_Het_DE"
"423","IRX3","C_Het_DE"
"424","ADAMTSL1","C_Het_DE"
"425","MAF","C_Het_DE"
"426","PARP10","C_Het_DE"
"427","THBD","C_Het_DE"
"428","C14orf39","C_Het_DE"
"429","ZFP42","C_Het_DE"
"430","TMEM125","C_Het_DE"
"431","EGR3","C_Het_DE"
"432","NRXN1","C_Het_DE"
"433","SERTM1","C_Het_DE"
"434","GLIPR1L2","C_Het_DE"
"435","GSX2","C_Het_DE"
"436","ZNF594","C_Het_DE"
"437","GPR157","C_Het_DE"
"438","ARSJ","C_Het_DE"
"439","ADGRB1","C_Het_DE"
"440","KCNIP1","C_Het_DE"
"441","GABRG3","C_Het_DE"
"442","NXPH4","C_Het_DE"
"443","SOX1","C_Het_DE"
"444","CAMK1D","C_Het_DE"
"445","GAS6","C_Het_DE"
"446","BEGAIN","common"
"447","RIPPLY3","common"
"448","TMEM119","C_Het_DE"
"449","CHST6","C_Het_DE"
"450","GRIN2A","C_Het_DE"
"451","NOG","C_Het_DE"
"452","KCNH8","C_Het_DE"
"453","CNTN2","C_Het_DE"
"454","KCNJ12","C_Het_DE"
"455","PCDH9","C_Het_DE"
"456","KCNK12","C_Het_DE"
"457","SIX6","C_Het_DE"
"458","SLIT3","C_Het_DE"
"459","SLITRK6","C_Het_DE"
"460","NELL2","C_Het_DE"
"461","PRR16","C_Het_DE"
"462","SORCS2","C_Het_DE"
"463","MAFF","C_Het_DE"
"464","SLC24A3","C_Het_DE"
"465","FAM43A","C_Het_DE"
"466","TNFAIP2","C_Het_DE"
"467","GALNT17","C_Het_DE"
"468","FAM174B","C_Het_DE"
"469","GPRIN3","C_Het_DE"
"470","DLK1","C_Het_DE"
"471","PDIA2","C_Het_DE"
"472","POU3F1","C_Het_DE"
"473","LEMD1","C_Het_DE"
"474","DLEU7","common"
"475","BTN3A2","C_Het_DE"
"476","FOXD2","C_Het_DE"
"477","MPPED1","C_Het_DE"
"478","LINC01551","C_Het_DE"
"479","MITF","C_Het_DE"
"480","GCNT1","C_Het_DE"
"481","DCC","common"
"482","ZNF385C","C_Het_DE"
"483","HEPACAM2","C_Het_DE"
"484","NCR3LG1","C_Het_DE"
"485","IER5L","C_Het_DE"
"486","COL25A1","C_Het_DE"
"487","KCTD21","C_Het_DE"
"488","SH2D5","C_Het_DE"
"489","GREB1","C_Het_DE"
"490","RYR1","C_Het_DE"
"491","ELAVL3","C_Het_DE"
"492","SLC35F1","C_Het_DE"
"493","SPTSSB","C_Het_DE"
"494","LINC00173","C_Het_DE"
"495","POU3F4","C_Het_DE"
"496","ZNF763","C_Het_DE"
"497","ATP6AP1-DT","C_Het_DE"
"498","TEAD4","C_Het_DE"
"499","S100A6","C_Het_DE"
"500","ARC","C_Het_DE"
"501","SMOC1","C_Het_DE"
"502","F5","C_Het_DE"
"503","GRM3","C_Het_DE"
"504","SUCNR1","C_Het_DE"
"505","CSAG1","C_Het_DE"
"506","LOC124903417","C_Het_DE"
"507","SNORD113-3","C_Het_DE"
"508","SNORD114-3","C_Het_DE"
"509","GP1BB","C_Het_DE"
"510","SAMD5","C_Het_DE"
"511","RBM20","C_Het_DE"
"512","MAFB","common"
"513","SP5","C_Het_DE"
"514","BTBD17","C_Het_DE"
"515","GARIN1A","C_Het_DE"
"516","LINC00654","C_Het_DE"
"517","ADGRG1","C_Het_DE"
"518","SAMD9","C_Het_DE"
"519","ONECUT3","C_Het_DE"
"520","VGLL3","C_Het_DE"
"521","RPL17P50","C_Het_DE"
"522","MEG3","common"
"523","ARHGEF28","C_Het_DE"
"524","PLXNA4","C_Het_DE"
"525","SLC12A8","C_Het_DE"
"526","SOX1-OT","C_Het_DE"
"527","LEMD1-DT","C_Het_DE"
"528","MIAT","C_Het_DE"
"529","LINC00511","C_Het_DE"
"530","MIR34AHG","C_Het_DE"
"531","LOC101927745","C_Het_DE"
"532","RPL17P28","C_Het_DE"
"533","FEZF1-AS1","common"
"534","FSIP2-AS1","C_Het_DE"
"535","LOC105375971","C_Het_DE"
"536","LINC00327","C_Het_DE"
"537","RPS8P9","C_Het_DE"
"538","LNCTAM34A","C_Het_DE"
"539","LINC01239","C_Het_DE"
"540","ANKRD65","common"
"541","LINC02984","C_Het_DE"
"542","L1TD1","C_Het_DE"
"543","RPSAP52","C_Het_DE"
"544","LOC102546299","C_Het_DE"
"545","ARHGDIG","C_Het_DE"
"546","LINC02082","C_Het_DE"
"547","CCDC169","C_Het_DE"
"548","ETV5","C_Het_DE"
"549","RPS17P11","C_Het_DE"
"550","PTCHD4","C_Het_DE"
"551","HHIP-AS1","common"
"552","LINC02997","C_Het_DE"
"553","TMEM158","C_Het_DE"
"554","PURPL","C_Het_DE"
"555","ADAMTS16-DT","C_Het_DE"
"556","LINC02381","C_Het_DE"
"557","NKX2-1-AS1","common"
"558","ZFHX4-AS1","C_Het_DE"
"559","FLJ20021","C_Het_DE"
"560","MAGEL2","C_Het_DE"
"561","RTL1","common"
"562","KIRREL3-AS2","C_Het_DE"
"563","FPGT-TNNI3K","C_Het_DE"
"564","ZNF710-AS1","C_Het_DE"
"565","LINC01833","C_Het_DE"
"566","LINC02254","C_Het_DE"
"567","LINC00261","common"
"568","LINC01963","C_Het_DE"
"569","GS1-279B7.1","C_Het_DE"
"570","LASP1NB","C_Het_DE"
"571","SP2-DT","C_Het_DE"
"572","TXNIP","C_Het_DE"
"573","ZNF793-AS1","C_Het_DE"
"574","CCDC177","C_Het_DE"
"575","GABRQ","C_Het_DE"
"576","TRABD2B","common"
"577","SMIM32","common"
"578","H3C6","C_Het_DE"
"579","PNMA8C","C_Het_DE"
"580","BLACAT1","C_Het_DE"
"581","GPC3-AS1","C_Het_DE"
"582","ARX","Low_No_DE"
"583","THSD7A","Low_No_DE"
"584","PAX6","Low_No_DE"
"585","CD4","Low_No_DE"
"586","TNC","Low_No_DE"
"587","ZIC2","Low_No_DE"
"588","NTN1","Low_No_DE"
"589","REEP1","Low_No_DE"
"590","MGLL","Low_No_DE"
"591","SEMA3C","Low_No_DE"
"592","DCX","Low_No_DE"
"593","TRIM9","Low_No_DE"
"594","SLC17A7","Low_No_DE"
"595","WNT5B","Low_No_DE"
"596","RFX4","Low_No_DE"
"597","RSPH4A","Low_No_DE"
"598","WLS","Low_No_DE"
"599","CDKN1A","Low_No_DE"
"600","BMP4","Low_No_DE"
"601","FOXA2","Low_No_DE"
"602","KRT17","Low_No_DE"
"603","FOXA1","Low_No_DE"
"604","FOXJ1","Low_No_DE"
"605","GADD45G","Low_No_DE"
"606","ASS1","Low_No_DE"
"607","LRRC9","Low_No_DE"
"608","DDC","Low_No_DE"
"609","VRTN","Low_No_DE"
"610","LMO2","Low_No_DE"
"611","NIBAN1","Low_No_DE"
"612","ENPP2","Low_No_DE"
"613","MMRN1","Low_No_DE"
"614","ZIC5","Low_No_DE"
"615","TTC6","Low_No_DE"
"616","WDR93","Low_No_DE"
"617","ZNF385B","Low_No_DE"
"618","SLIT2","Low_No_DE"
"619","PSD2","Low_No_DE"
"620","NTRK2","Low_No_DE"
"621","C2orf50","Low_No_DE"
"622","ZNF385D","Low_No_DE"
"623","GRIA1","Low_No_DE"
"624","UNC5D","Low_No_DE"
"625","HYDIN","Low_No_DE"
"626","MPZ","Low_No_DE"
"627","ELAVL4","Low_No_DE"
"628","CADPS","Low_No_DE"
"629","PCOLCE2","Low_No_DE"
"630","FHIP1A","Low_No_DE"
"631","SHH","Low_No_DE"
"632","SPINT1","Low_No_DE"
"633","CA4","Low_No_DE"
"634","SYNPO","Low_No_DE"
"635","HTR1D","Low_No_DE"
"636","LRRC3B","Low_No_DE"
"637","FAM110C","Low_No_DE"
"638","PTCH1","Low_No_DE"
"639","IRS2","Low_No_DE"
"640","GABRA5","Low_No_DE"
"641","SLIT1","Low_No_DE"
"642","PAQR9","Low_No_DE"
"643","TRMT2B","Low_No_DE"
"644","DIO3","Low_No_DE"
"645","LPAR1","Low_No_DE"
"646","MYL4","Low_No_DE"
"647","CFAP44","Low_No_DE"
"648","MIR99AHG","Low_No_DE"
"649","LINC03007","Low_No_DE"
"650","SLC8A1-AS1","Low_No_DE"
"651","SIX3-AS1","Low_No_DE"
"652","SOX2-OT","Low_No_DE"
"653","LOC100505978","Low_No_DE"
"654","SPON1","Low_No_DE"
