gene1,gene2,STRING_score,double,gene_mouse,scRNA,gene_SHH_link,gene1_SHH_corr,gene2_SHH_corr
ARID4B,CUL4B,0.425,keep,NA,expressed,FALSE,-7.23885658783028e-05,-0.180122912517595
ARID4B,ASPH,0.439,keep,NA,expressed,FALSE,-7.23885658783028e-05,-0.0245881150047242
ARID4B,SMC5,0.452,keep,NA,expressed,FALSE,-7.23885658783028e-05,-0.313023998322185
ARID4B,KMT2A,0.487,keep,NA,expressed,FALSE,-7.23885658783028e-05,-0.00253293924863571
ARID4B,CENPA,0.551,keep,NA,expressed,FALSE,-7.23885658783028e-05,-0.000587549101400868
ARID4B,BEGAIN,0.559,keep,NA,expressed,FALSE,-7.23885658783028e-05,-0.528029401945661
ARID4B,RSRC2,0.75,keep,NA,expressed,FALSE,-7.23885658783028e-05,-0.00411640242263802
ARL11,CHEK2,0.403,keep,NA,expressed,FALSE,-5.83638583397351e-05,-3.33392379287898e-05
ARL4C,FOSL2,0.628,keep,NA,expressed,FALSE,-0.276172360300797,-0.00140607739192464
ARL4C,TNRC6C,0.529,keep,NA,expressed,FALSE,-0.276172360300797,-0.0294908835141223
ARL4C,FRMD4A,0.437,keep,NA,expressed,FALSE,-0.276172360300797,-0.0464002928125598
ARMCX1,ARMCX2,0.584,keep,NA,expressed,FALSE,-0.00336186803934326,-0.000187079195281638
ARMCX2,ATP6V1E2,0.5,keep,NA,expressed,FALSE,-0.000187079195281638,-3.94801059300536e-05
ARMCX2,BCAS4,0.48,keep,NA,expressed,FALSE,-0.000187079195281638,-0.00154025195971911
ARMCX3,TMEM214,0.468,keep,NA,expressed,FALSE,-0.0258014552445863,-9.04430659863026e-05
ARMCX3,ESYT2,0.483,keep,NA,expressed,FALSE,-0.0258014552445863,-0.0008946766961748
ASCC3,PPARGC1A,0.52,keep,NA,expressed,FALSE,-0.0057430493624029,-7.80092631166548e-05
ASCC3,USO1,0.437,keep,NA,expressed,FALSE,-0.0057430493624029,-0.0615785920589213
ASCC3,FANCM,0.4,keep,NA,expressed,FALSE,-0.0057430493624029,-1.82813875905367e-05
ASCC3,ZC3H15,0.415,keep,NA,expressed,FALSE,-0.0057430493624029,-0.000335279286102354
ASCC3,RNPC3,0.438,keep,NA,expressed,FALSE,-0.0057430493624029,-0.000230427430210447
ASCC3,CWC22,0.815,keep,NA,expressed,FALSE,-0.0057430493624029,-0.0183583840952995
ATAD3B,NFKB2,0.425,keep,NA,expressed,FALSE,-0.000312518840649241,-0.000651671689561833
ATAD5,DBF4,0.438,keep,NA,expressed,FALSE,-0.00158355787561988,-0.0494955570553069
ATAD5,FANCM,0.814,keep,NA,expressed,FALSE,-0.00158355787561988,-1.82813875905367e-05
ATAD5,TICRR,0.508,keep,NA,expressed,FALSE,-0.00158355787561988,-5.53705310199438e-07
ATAD5,NCAPD2,0.451,keep,NA,expressed,FALSE,-0.00158355787561988,-1.68369527622126e-05
ATAD5,POLH,0.479,keep,NA,expressed,FALSE,-0.00158355787561988,-0.016205993679831
ATAD5,CEP152,0.507,keep,NA,expressed,FALSE,-0.00158355787561988,-3.39199872847976e-07
ATAD5,SMC5,0.521,keep,NA,expressed,FALSE,-0.00158355787561988,-0.313023998322185
ATAD5,CDCA7L,0.527,keep,NA,expressed,FALSE,-0.00158355787561988,-0.00144745678336834
ATAD5,REV3L,0.6,keep,NA,expressed,FALSE,-0.00158355787561988,-0.0169826667734269
ATAD5,CHEK2,0.679,keep,NA,expressed,FALSE,-0.00158355787561988,-3.33392379287898e-05
ATAD5,ZGRF1,0.78,keep,NA,expressed,FALSE,-0.00158355787561988,-0.0286989975855649
ATL2,RRBP1,0.456,keep,NA,expressed,FALSE,-0.221109930497087,-0.00860165726432091
ATP1A2,GJA1,0.541,keep,NA,expressed,FALSE,-0.0219284905501494,-0.0712522563520117
ATP1A2,ATP1B3,0.978,keep,NA,expressed,FALSE,-0.0219284905501494,-0.011518602823223
ATP1A2,PLP1,0.435,keep,NA,expressed,FALSE,-0.0219284905501494,-8.22547547538525e-05
ATP1A2,NLGN1,0.528,keep,NA,expressed,FALSE,-0.0219284905501494,-0.473481314031624
ATP1B3,ATP2B1,0.405,keep,NA,expressed,FALSE,-0.011518602823223,-0.14710603508079
ATP1B3,SLC1A5,0.523,keep,NA,expressed,FALSE,-0.011518602823223,-0.00908777344432331
ATP5F1E,ATP6V1B1,0.54,keep,NA,NA,FALSE,-0.0182327975574375,-0.029793180347325
ATP5F1E,ATP6V1E2,0.495,keep,NA,NA,FALSE,-0.0182327975574375,-3.94801059300536e-05
ATP5F1E,COX17,0.6,keep,NA,NA,FALSE,-0.0182327975574375,-0.0865234556674469
ATP6V1B1,PDIA2,0.447,keep,NA,expressed,FALSE,-0.029793180347325,-5.93868122983865e-05
