"","Figure4B"
"ENSG00000111981","Cluster 2"
"ENSG00000112039","Cluster 1"
"ENSG00000112164","Cluster 1"
"ENSG00000112249","Cluster 2"
"ENSG00000112320","Cluster 2"
"ENSG00000112378","Cluster 2"
"ENSG00000112406","Cluster 2"
"ENSG00000112531","Cluster 1"
"ENSG00000112539","Cluster 1"
"ENSG00000112562","Cluster 1"
"ENSG00000112658","Cluster 2"
"ENSG00000112773","Cluster 2"
"ENSG00000112787","Cluster 1"
"ENSG00000112893","Cluster 2"
"ENSG00000112941","Cluster 2"
"ENSG00000112977","Cluster 2"
"ENSG00000112984","Cluster 2"
"ENSG00000113262","Cluster 1"
"ENSG00000113319","Cluster 1"
"ENSG00000113327","Cluster 1"
"ENSG00000113361","Cluster 1"
"ENSG00000113448","Cluster 2"
"ENSG00000113522","Cluster 1"
"ENSG00000113719","Cluster 1"
"ENSG00000114279","Cluster 1"
"ENSG00000114315","Cluster 2"
"ENSG00000114346","Cluster 2"
"ENSG00000114374","Cluster 2"
"ENSG00000114670","Cluster 1"
"ENSG00000114739","Cluster 1"
"ENSG00000115163","Cluster 2"
"ENSG00000115310","Cluster 1"
"ENSG00000115353","Cluster 1"
"ENSG00000115425","Cluster 2"
"ENSG00000115468","Cluster 1"
"ENSG00000115474","Cluster 2"
"ENSG00000115520","Cluster 2"
"ENSG00000115738","Cluster 2"
"ENSG00000115806","Cluster 2"
"ENSG00000115884","Cluster 2"
"ENSG00000115970","Cluster 1"
"ENSG00000116035","Cluster 2"
"ENSG00000116039","Cluster 2"
"ENSG00000116106","Cluster 2"
"ENSG00000116329","Cluster 1"
"ENSG00000116544","Cluster 2"
"ENSG00000116574","Cluster 2"
"ENSG00000116667","Cluster 2"
"ENSG00000116717","Cluster 2"
"ENSG00000116750","Cluster 2"
"ENSG00000116761","Cluster 2"
"ENSG00000116774","Cluster 1"
"ENSG00000116783","Cluster 1"
"ENSG00000116962","Cluster 1"
"ENSG00000117322","Cluster 2"
"ENSG00000117425","Cluster 1"
"ENSG00000117519","Cluster 2"
"ENSG00000117569","Cluster 1"
"ENSG00000117592","Cluster 2"
"ENSG00000117650","Cluster 2"
"ENSG00000117791","Cluster 1"
"ENSG00000117868","Cluster 2"
"ENSG00000118058","Cluster 2"
"ENSG00000118137","Cluster 1"
"ENSG00000118263","Cluster 2"
"ENSG00000118473","Cluster 2"
"ENSG00000118495","Cluster 1"
"ENSG00000118689","Cluster 2"
"ENSG00000118690","Cluster 1"
"ENSG00000118729","Cluster 1"
"ENSG00000118965","Cluster 1"
"ENSG00000119138","Cluster 2"
"ENSG00000119537","Cluster 2"
"ENSG00000119630","Cluster 1"
"ENSG00000119699","Cluster 1"
"ENSG00000119777","Cluster 2"
"ENSG00000119787","Cluster 2"
"ENSG00000119862","Cluster 2"
"ENSG00000119899","Cluster 2"
"ENSG00000119922","Cluster 2"
"ENSG00000119953","Cluster 2"
"ENSG00000120051","Cluster 1"
"ENSG00000120129","Cluster 2"
"ENSG00000120254","Cluster 2"
"ENSG00000120262","Cluster 1"
"ENSG00000120332","Cluster 1"
"ENSG00000120457","Cluster 2"
"ENSG00000120539","Cluster 2"
"ENSG00000120669","Cluster 1"
"ENSG00000120675","Cluster 2"
"ENSG00000120696","Cluster 1"
"ENSG00000120738","Cluster 2"
"ENSG00000120756","Cluster 2"
"ENSG00000120875","Cluster 2"
"ENSG00000120949","Cluster 2"
"ENSG00000121005","Cluster 1"
"ENSG00000121310","Cluster 1"
"ENSG00000121361","Cluster 1"
"ENSG00000121440","Cluster 1"
"ENSG00000121903","Cluster 2"
"ENSG00000121966","Cluster 1"
"ENSG00000122042","Cluster 1"
"ENSG00000122417","Cluster 1"
"ENSG00000122859","Cluster 1"
"ENSG00000122971","Cluster 1"
"ENSG00000123095","Cluster 2"
"ENSG00000123096","Cluster 1"
"ENSG00000123240","Cluster 2"
"ENSG00000123243","Cluster 1"
"ENSG00000123411","Cluster 1"
"ENSG00000123485","Cluster 2"
"ENSG00000123560","Cluster 2"
"ENSG00000123836","Cluster 2"
"ENSG00000123977","Cluster 1"
"ENSG00000124067","Cluster 2"
"ENSG00000124092","Cluster 1"
"ENSG00000124126","Cluster 1"
"ENSG00000124151","Cluster 1"
"ENSG00000124172","Cluster 2"
"ENSG00000124191","Cluster 1"
"ENSG00000124193","Cluster 1"
"ENSG00000124243","Cluster 2"
"ENSG00000124370","Cluster 2"
"ENSG00000124493","Cluster 1"
"ENSG00000124641","Cluster 2"
"ENSG00000124787","Cluster 1"
"ENSG00000124813","Cluster 1"
"ENSG00000124920","Cluster 1"
"ENSG00000125148","Cluster 2"
"ENSG00000125257","Cluster 1"
"ENSG00000125430","Cluster 2"
"ENSG00000125798","Cluster 1"
"ENSG00000125804","Cluster 1"
"ENSG00000125820","Cluster 1"
"ENSG00000125843","Cluster 1"
"ENSG00000125844","Cluster 2"
"ENSG00000125869","Cluster 2"
"ENSG00000125952","Cluster 2"
"ENSG00000125968","Cluster 2"
"ENSG00000125995","Cluster 2"
"ENSG00000126088","Cluster 1"
"ENSG00000126461","Cluster 2"
"ENSG00000126773","Cluster 1"
"ENSG00000126775","Cluster 1"
"ENSG00000126804","Cluster 1"
"ENSG00000126878","Cluster 1"
"ENSG00000126947","Cluster 2"
"ENSG00000126950","Cluster 1"
"ENSG00000127054","Cluster 1"
