"Gene","Percentage"
"ANXA3",2.88461538461538
"ARMCX3",55.4487179487179
"GDF15",2.88461538461538
"PTTG1",72.4358974358974
"PHLDA1",11.2179487179487
"ASPH",46.474358974359
"LRRC3B",6.08974358974359
"FAM222A",9.61538461538462
"NRG1",25
"GPR160",2.24358974358974
"ATP1A2",16.6666666666667
"HJURP",24.3589743589744
"BOC",32.0512820512821
"DZIP1L",8.01282051282051
"CD2AP",21.7948717948718
"SCFD1",52.2435897435897
"DCT",1.28205128205128
"LIMA1",11.8589743589744
"RASA2",14.4230769230769
"DDIT4",99.3589743589744
"CWC22",36.8589743589744
"TRH",0.32051282051282
"PLS1",6.08974358974359
"REV3L",35.8974358974359
"TOX3",60.8974358974359
"POLH",5.76923076923077
"LPP",33.0128205128205
"VAX2",0.961538461538462
