"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Thr1_5"
"ENSG00000196419",397.529258196141,0.400912365502225,0.0701409638107284,5.71580918939274,1.09183199651014e-08,8.47901004442898e-08,"XRCC6",FALSE
"ENSG00000196422",60.646483629328,-0.078058216519501,0.134493857580931,-0.580384992470976,0.561655023308307,0.661355896932449,"PPP1R26",FALSE
"ENSG00000196428",136.415965268329,-0.368008268043826,0.0955965781480797,-3.84959666102042,0.000118312487432485,0.000458524240323183,"TSC22D2",FALSE
"ENSG00000196436",10.6725898648804,-0.504179902412939,0.286279280959939,-1.76114701952005,0.0782135225069566,0.136079830558311,"NPIPB15",FALSE
"ENSG00000196437",20.5498646716115,0.269073514500729,0.224188050745867,1.20021345297187,0.230056451879122,0.330276453708337,"ZNF569",FALSE
"ENSG00000196440",27.7465471844976,0.460964334478374,0.196808990780431,2.34219144486466,0.0191708784007924,0.041471540217442,"ARMCX4",FALSE
"ENSG00000196449",41.6384010444615,-0.418919024545916,0.155484871967107,-2.6942751358765,0.00705419073649637,0.0175144833273126,"YRDC",FALSE
"ENSG00000196453",13.616722929913,-0.331596963875044,0.285743084776492,-1.16047240175355,0.245856523837047,0.348275355835621,"ZNF777",FALSE
"ENSG00000196455",46.0980330330612,-0.378771790637027,0.159436885711122,-2.37568482943972,0.0175164172630543,0.0383974767975284,"PIK3R4",FALSE
"ENSG00000196456",24.8649569112724,-0.260815289404136,0.195304803898785,-1.3354269029619,0.18173666452115,0.274009960348758,"ZNF775",FALSE
"ENSG00000196458",67.298917973355,-0.191101522639092,0.129494165839467,-1.47575391833482,0.140009965595707,0.221823759343283,"ZNF605",FALSE
"ENSG00000196459",68.3895006831239,0.0771917137515048,0.134637112106323,0.573331621154697,0.566420179018998,0.665331261924724,"TRAPPC2",FALSE
"ENSG00000196465",104.361985886262,-0.360998259330944,0.151666299364951,-2.38021406761091,0.0173025832944537,0.0380413890846738,"MYL6B",FALSE
"ENSG00000196466",5.57686495362922,-0.517418823922772,0.39737399901896,-1.30209531876816,0.192883803234705,0.287174322150043,"ZNF799",FALSE
"ENSG00000196470",75.2577729842177,0.162981512270998,0.127191311300932,1.28138872540898,0.200057162308429,0.295584366557138,"SIAH1",FALSE
"ENSG00000196476",20.2777564319053,-0.566844223429393,0.220979963426903,-2.56513855210632,0.0103134612770656,0.0243236374941366,"C20orf96",FALSE
"ENSG00000196482",21.9237499014308,0.614591610726383,0.225644655585321,2.72371445772618,0.00645522903608668,0.0162083620668508,"ESRRG",FALSE
"ENSG00000196497",2.98112916657787,0.671945376795298,0.584167020394511,1.15026243066838,0.250035799598832,0.352967492758926,"IPO4",FALSE
"ENSG00000196498",148.597112836914,-0.643649134836008,0.0872695002205725,-7.37541905487247,1.63828914116855e-13,2.11574454115225e-12,"NCOR2",FALSE
"ENSG00000196502",15.5983709554192,-0.0142938836773259,0.284068511292672,-0.0503184376623819,0.959868631250505,0.97240812814398,"SULT1A1",FALSE
"ENSG00000196503",1.58710501080765,1.60381362699887,0.882137908292026,1.81809852169729,0.0690490759163166,0.122986350355159,"ARL9",FALSE
"ENSG00000196504",483.475930105033,-0.180065435880033,0.0650307505756717,-2.76892753483606,0.00562411426117121,0.0143196842938044,"PRPF40A",FALSE
"ENSG00000196505",25.0214943332161,-0.340551538641265,0.198182496718111,-1.71837344004024,0.0857285216700691,0.147189138154673,"GDAP2",FALSE
"ENSG00000196507",29.0120040918638,-0.366654231644355,0.185804130408054,-1.97333735713585,0.0484571394446283,0.0914290946420776,"TCEAL3",FALSE
"ENSG00000196510",91.2024444928089,0.173053440191823,0.108759403661803,1.59115841357451,0.111573929256089,0.183607663493877,"ANAPC7",FALSE
"ENSG00000196511",3.52509738399445,-0.0567903987932471,0.507568321944129,-0.111887200871252,0.910912845101781,0.936446713941098,"TPK1",FALSE
"ENSG00000196517",7.39532301013043,1.6539450011167,0.461082309570241,3.58709273114011,0.000334385431445791,0.00117132001529247,"SLC6A9",TRUE
"ENSG00000196526",27.9062531267216,1.13126155432843,0.204770361626528,5.52453756169892,3.3035455867837e-08,2.38256155362146e-07,"AFAP1",FALSE
"ENSG00000196531",1912.04089714004,-0.783499546067947,0.0500012634423876,-15.6695949687493,2.44130138090873e-55,1.97793994965665e-53,"NACA",FALSE
"ENSG00000196535",7.43745110123709,-0.226256306941737,0.351504049826694,-0.643680512509858,0.519782629251694,0.623976652027196,"MYO18A",FALSE
"ENSG00000196542",18.6649033822215,1.39056154370692,0.3204518883728,4.33937696784359,1.42887235298883e-05,6.69809622004119e-05,"SPTSSB",FALSE
"ENSG00000196544",11.340391591172,0.226731773606077,0.303165740173781,0.747880593223066,0.454532184269776,0.562945446478171,"BORCS6",FALSE
"ENSG00000196547",10.9267536873885,-0.430397769200817,0.301597007383548,-1.4270624663509,0.153561890022679,0.239811136274375,"MAN2A2",FALSE
"ENSG00000196549",4.80124438648141,0.917797573604679,0.595164507176584,1.54209056914136,0.123051586379837,0.199174543702977,"MME",FALSE
"ENSG00000196557",10.5651554056125,1.0950405389638,0.365605199061839,2.99514487697037,0.00274314516360292,0.00761024173582172,"CACNA1H",FALSE
"ENSG00000196562",440.517741881121,1.38605574396635,0.0764005621011634,18.141957412971,1.48641642081803e-73,1.79305862318679e-71,"SULF2",FALSE
"ENSG00000196576",224.335311017884,-0.358814563822018,0.084698312906332,-4.23638383705272,2.27148348533789e-05,0.000102496837236707,"PLXNB2",FALSE
"ENSG00000196584",25.0448254451755,0.918004178075469,0.215876570111205,4.25244933992873,2.11445059237434e-05,9.57559173993772e-05,"XRCC2",FALSE
"ENSG00000196586",144.76979255627,-0.428684120209618,0.0964940127741917,-4.44259812484732,8.88790780537448e-06,4.33352031768034e-05,"MYO6",FALSE
"ENSG00000196588",23.5274113097584,-0.527640095254838,0.208056253921421,-2.53604534980293,0.0112112214578613,0.0261306653553175,"MRTFA",FALSE
"ENSG00000196591",479.210933805845,0.225344480037188,0.0675027145125773,3.33830249145315,0.000842919316886609,0.00267842752692652,"HDAC2",FALSE
"ENSG00000196597",5.39910156511935,-0.459630181417773,0.445516166940106,-1.03168013985801,0.302221984097306,0.410174598801952,"ZNF782",FALSE
