"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","EN","is_DE","is_highly_DE","FCsign"
"ENSG00000179195",137.827532565001,-0.0845637809808247,0.0848896596955976,-0.996161149474018,0.319171852608062,0.466382907116044,"ZNF664","ENSG00000179195",FALSE,FALSE,"neg"
"ENSG00000179218",118.629813174106,-0.267163357083837,0.120511790700015,-2.21690637515192,0.0266294900320697,0.0697403478252095,"CALR","ENSG00000179218",FALSE,FALSE,"neg"
"ENSG00000179219",0.878599434176891,0.565361416638293,0.773349125712357,0.731055868353792,0.464745028770893,0.609327794202831,"LINC00311","ENSG00000179219",FALSE,FALSE,"pos"
"ENSG00000179222",572.491027784888,-0.209934709963731,0.0513853064391375,-4.08550078829217,4.39818512264781e-05,0.000368438811288916,"MAGED1","ENSG00000179222",FALSE,FALSE,"neg"
"ENSG00000179240",23.8103628728921,0.0184208017317985,0.154162083120145,0.119489834069266,0.904887293571845,0.941584253937884,"GVQW3","ENSG00000179240",FALSE,FALSE,"pos"
"ENSG00000179241",166.050246040101,0.611904988334185,0.139784384817118,4.37749172867018,1.20052915620058e-05,0.000124043032897069,"LDLRAD3","ENSG00000179241",FALSE,FALSE,"pos"
"ENSG00000179262",74.6914338570534,0.344110963935499,0.127577622356319,2.69726741712126,0.00699111028425101,0.0241695776662225,"RAD23A","ENSG00000179262",FALSE,FALSE,"pos"
"ENSG00000179271",137.860325177475,0.324111396406522,0.0882679201108706,3.67190476448766,0.000240749402973125,0.00151921174979593,"GADD45GIP1","ENSG00000179271",FALSE,FALSE,"pos"
"ENSG00000179295",89.2782302191783,0.199984571291262,0.090774067760596,2.20310245232915,0.0275875283966846,0.0717939036167056,"PTPN11","ENSG00000179295",FALSE,FALSE,"pos"
"ENSG00000179299",48.6813886246696,0.246441833512245,0.124966304197684,1.97206627093972,0.048602041742122,0.112028936886691,"NSUN7","ENSG00000179299",FALSE,FALSE,"pos"
"ENSG00000179314",79.4643727761549,0.340163975488001,0.183158478548326,1.85721118773243,0.0632811139116496,0.13801487320871,"WSCD1","ENSG00000179314",FALSE,FALSE,"pos"
"ENSG00000179335",52.2370604435462,0.264175919000111,0.160119093384063,1.64987143891988,0.0989692334346212,0.194724432468727,"CLK3","ENSG00000179335",FALSE,FALSE,"pos"
"ENSG00000179342",1.39558754418754,0.0610750551683571,0.634991064898516,0.0961825426285613,0.923375595491555,0.953510191714403,NA,"ENSG00000179342",FALSE,FALSE,"pos"
"ENSG00000179348",0.851060467502894,-1.56000298365346,0.855882453416408,-1.82268368445506,0.0683513127987181,0.146498931838933,"GATA2","ENSG00000179348",FALSE,FALSE,"neg"
"ENSG00000179361",103.457900634111,-0.0284961625490721,0.115773473440775,-0.24613723422274,0.805576000766812,0.877610138063808,"ARID3B","ENSG00000179361",FALSE,FALSE,"neg"
"ENSG00000179362",0.818258117998996,0.59583797912725,0.91771225984606,0.649264486482068,0.516167436228947,0.654903992313179,NA,"ENSG00000179362",FALSE,FALSE,"pos"
"ENSG00000179363",2.28397007310168,0.193547855706388,0.468159056972984,0.413423286004177,0.679296516848678,0.787743955138663,"TMEM31","ENSG00000179363",FALSE,FALSE,"pos"
"ENSG00000179364",65.6829428611721,-0.625278239189672,0.127350423138413,-4.90990311441745,9.1121401528205e-07,1.39921799180551e-05,"PACS2","ENSG00000179364",FALSE,FALSE,"neg"
"ENSG00000179387",81.5710548608912,-0.126988945808737,0.0955241300685766,-1.32939128278448,0.183718912297732,0.311907297108868,"ELMOD2","ENSG00000179387",FALSE,FALSE,"neg"
"ENSG00000179388",10.2719186929945,0.179120004288831,0.29256521338382,0.61223958315865,0.540379256087738,0.675750065150647,"EGR3","ENSG00000179388",FALSE,FALSE,"pos"
"ENSG00000179397",1.95723077149221,-1.73107768635801,0.617238574687236,-2.80455201173254,0.00503865574631105,0.0185447186715255,"CATSPERE","ENSG00000179397",FALSE,FALSE,"neg"
"ENSG00000179403",36.1481581298145,-0.594674406057928,0.163653907587405,-3.63373178694386,0.00027935125939825,0.00171464875711561,"VWA1","ENSG00000179403",FALSE,FALSE,"neg"
"ENSG00000179406",30.0715515564752,0.60285182396334,0.188439035527206,3.19918759017584,0.00137815462839253,0.00639739090182943,"LINC00174","ENSG00000179406",FALSE,FALSE,"pos"
"ENSG00000179409",53.7144640230019,0.16513710662795,0.108657509247965,1.51979469961063,0.12856258168682,0.238067430369574,"GEMIN4","ENSG00000179409",FALSE,FALSE,"pos"
"ENSG00000179431",393.915172419228,0.85831685024819,0.248778537909214,3.4501241845927,0.000560328731787528,0.00306325695040358,"FJX1","ENSG00000179431",FALSE,FALSE,"pos"
"ENSG00000179454",117.501306559703,0.293649008594429,0.182487696460464,1.60914414664688,0.107584826003656,0.207647955462748,"KLHL28","ENSG00000179454",FALSE,FALSE,"pos"
"ENSG00000179455",1.854044779936,-0.119668374028042,0.722096355140309,-0.165723553617424,0.868374509256874,0.917749220875136,"MKRN3","ENSG00000179455",FALSE,FALSE,"neg"
"ENSG00000179456",78.4416833600729,-0.0382272174381771,0.0845719498233745,-0.452008231074408,0.651263052754164,0.766412785033092,"ZBTB18","ENSG00000179456",FALSE,FALSE,"neg"
"ENSG00000179476",18.846061419909,0.914764249275401,0.183735382209652,4.97870490851677,6.40111506822273e-07,1.04148665055932e-05,"C14orf28","ENSG00000179476",FALSE,FALSE,"pos"
"ENSG00000179523",54.3239776471672,0.438842886779312,0.120696957137964,3.63590679653743,0.000277004480357584,0.00170259921427544,"EIF3J-DT","ENSG00000179523",FALSE,FALSE,"pos"
"ENSG00000179526",24.5085010274387,-0.0111354967134668,0.168782840377727,-0.065975289244725,0.947397498906878,0.968345310249092,"SHARPIN","ENSG00000179526",FALSE,FALSE,"neg"
