"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","EN","is_DE","is_highly_DE","FCsign"
"ENSG00000183647",14.2584877254542,-0.254735732957271,0.197476131083341,-1.28995707764684,0.197065561345995,0.413941677900025,"ZNF530","ENSG00000183647",FALSE,FALSE,"neg"
"ENSG00000183648",234.934933022115,0.0587290501936912,0.105227493604517,0.55811507223023,0.57676580909339,0.764414946690087,"NDUFB1","ENSG00000183648",FALSE,FALSE,"pos"
"ENSG00000183654",2.7323254264395,0.315957331389061,0.425560847914336,0.742449247710548,0.457815190765074,0.672707194137875,"MARCHF11","ENSG00000183654",FALSE,FALSE,"pos"
"ENSG00000183655",22.1204227873569,-0.0175709808670766,0.153394976641658,-0.114547302993654,0.908803950769169,0.959382396777236,"KLHL25","ENSG00000183655",FALSE,FALSE,"neg"
"ENSG00000183665",12.426368826454,0.327673313881785,0.214365603942435,1.52857225159022,0.126370519338624,0.314222231462289,"TRMT12","ENSG00000183665",FALSE,FALSE,"pos"
"ENSG00000183666",12.5235637679547,0.0147139554920052,0.20877324254465,0.0704781671859044,0.943813077393067,0.974075740575351,NA,"ENSG00000183666",FALSE,FALSE,"pos"
"ENSG00000183682",2.39859596167085,0.463872368274611,0.445418656236746,1.04143003841325,0.297676007414845,0.528018996195963,"BMP8A","ENSG00000183682",FALSE,FALSE,"pos"
"ENSG00000183684",70.8092895153482,-0.188822591917563,0.104394552440107,-1.80873989594326,0.070491421756567,0.215421256862438,"ALYREF","ENSG00000183684",FALSE,FALSE,"neg"
"ENSG00000183688",31.3635416568238,0.145995393056604,0.251220227263161,0.581145056061389,0.561142694447007,0.753314217726285,"RFLNB","ENSG00000183688",FALSE,FALSE,"pos"
"ENSG00000183690",4.77719208170549,-0.959773933727545,0.352373613429204,-2.72373951155788,0.00645473940787031,0.0400978400362482,"EFHC2","ENSG00000183690",FALSE,FALSE,"neg"
"ENSG00000183691",23.5423138052847,-0.988524077581304,0.168569524362091,-5.86419212679233,4.51324658844392e-09,3.47413542815171e-07,"NOG","ENSG00000183691",FALSE,FALSE,"neg"
"ENSG00000183696",45.302570899539,0.366639489891529,0.215542580067016,1.70100724310498,0.0889416270950265,0.250118630460751,"UPP1","ENSG00000183696",FALSE,FALSE,"pos"
"ENSG00000183715",7.06164255303806,0.399029930312854,0.446463741446217,0.893756633002915,0.371452116975613,0.600052177482185,"OPCML","ENSG00000183715",FALSE,FALSE,"pos"
"ENSG00000183718",16.905938240607,0.497379093038014,0.158762734304985,3.13284534444049,0.00173120635071812,0.0146857940466357,"TRIM52","ENSG00000183718",FALSE,FALSE,"pos"
"ENSG00000183722",41.6999273802056,0.104121697171561,0.137740192250709,0.755928211440588,0.449692238416121,0.66629086968519,"LHFPL6","ENSG00000183722",FALSE,FALSE,"pos"
"ENSG00000183723",54.5361756150542,-0.308691160946654,0.115565604913484,-2.67113351916213,0.00755955704379804,0.0451093633727568,"CMTM4","ENSG00000183723",FALSE,FALSE,"neg"
"ENSG00000183726",157.637018887206,0.0419617626467105,0.0720975924002846,0.582013368958834,0.560557675890658,0.75300008163003,"TMEM50A","ENSG00000183726",FALSE,FALSE,"pos"
"ENSG00000183735",44.8357848443318,0.0882185243217473,0.104344214627681,0.845456785855615,0.39785585070279,0.623154476464314,"TBK1","ENSG00000183735",FALSE,FALSE,"pos"
"ENSG00000183741",145.87475519044,0.0457457678160591,0.0916083364159439,0.499362499154578,0.61752403285704,0.791002723092154,"CBX6","ENSG00000183741",FALSE,FALSE,"pos"
"ENSG00000183742",2.69786074567862,1.08355679401281,0.428832178747886,2.52676186096064,0.0115119532069744,0.06141339143008,"MACC1","ENSG00000183742",FALSE,FALSE,"pos"
"ENSG00000183751",22.3896822665039,-0.456536210575825,0.153070646228608,-2.98251965235709,0.00285886293556736,0.0214500157450684,"TBL3","ENSG00000183751",FALSE,FALSE,"neg"
"ENSG00000183762",17.5936338803391,0.291848258723206,0.317575389478302,0.918988902769327,0.358101376674263,0.588327430378263,"KREMEN1","ENSG00000183762",FALSE,FALSE,"pos"
