#node	identifier	node_degree
IKZF4	9606.ENSP00000448419	1
IMMP1L	9606.ENSP00000278200	1
INSIG1	9606.ENSP00000344741	8
IQCA1	9606.ENSP00000407213	0
IRF2BP2	9606.ENSP00000355568	0
IRS2	9606.ENSP00000365016	6
IRS4	9606.ENSP00000361202	2
JAG1	9606.ENSP00000254958	21
KCMF1	9606.ENSP00000386738	0
KHDC4	9606.ENSP00000357304	2
KIAA0930	9606.ENSP00000251993	0
KIF9	9606.ENSP00000333942	0
KIT	9606.ENSP00000288135	31
KLF9	9606.ENSP00000366330	3
KLHL5	9606.ENSP00000423897	0
KRT17	9606.ENSP00000308452	2
LAMC1	9606.ENSP00000258341	9
LAMP5	9606.ENSP00000246070	0
LARP1B	9606.ENSP00000321997	1
LARP4B	9606.ENSP00000326128	1
LGALS1	9606.ENSP00000215909	7
LGALS3	9606.ENSP00000254301	16
LGALSL	9606.ENSP00000238875	0
LGR4	9606.ENSP00000368516	2
LHX2	9606.ENSP00000362717	18
LIG3	9606.ENSP00000367787	3
LIMA1	9606.ENSP00000378400	3
LIN28A	9606.ENSP00000363314	14
LMO1	9606.ENSP00000338207	4
LMO4	9606.ENSP00000359575	2
LOXL2	9606.ENSP00000373783	2
LPAR1	9606.ENSP00000363553	6
LPP	9606.ENSP00000491657	2
LRIG1	9606.ENSP00000273261	6
LRP4	9606.ENSP00000367888	3
LRRC3B	9606.ENSP00000379880	0
LRRN2	9606.ENSP00000356143	0
MALT1	9606.ENSP00000497997	0
MAN2A1	9606.ENSP00000261483	3
MAX	9606.ENSP00000351490	3
ME3	9606.ENSP00000440246	2
MERTK	9606.ENSP00000295408	4
MMD	9606.ENSP00000262065	1
MPPED1	9606.ENSP00000388137	0
MPZL1	9606.ENSP00000352513	0
MRPS6	9606.ENSP00000382250	3
MSN	9606.ENSP00000353408	15
MT2A	9606.ENSP00000245185	0
MTTP	9606.ENSP00000427679	2
MYLK	9606.ENSP00000353452	7
MYLPF	9606.ENSP00000325239	7
MYOCD	9606.ENSP00000401678	3
MYORG	9606.ENSP00000297625	2
MYRF	9606.ENSP00000278836	3
MZT1	9606.ENSP00000367049	0
NAALAD2	9606.ENSP00000432481	0
NAV1	9606.ENSP00000356265	2
NCALD	9606.ENSP00000379256	2
NCAM1	9606.ENSP00000480132	25
NES	9606.ENSP00000357206	35
NID1	9606.ENSP00000264187	7
NKD1	9606.ENSP00000268459	7
NKX2-1	9606.ENSP00000346879	17
NKX2-2	9606.ENSP00000366347	16
NKX2-8	9606.ENSP00000258829	2
NLGN1	9606.ENSP00000392500	12
NLGN3	9606.ENSP00000351591	11
NMD3	9606.ENSP00000417559	4
NOTCH2	9606.ENSP00000256646	19
NOVA1	9606.ENSP00000438875	4
NPTX2	9606.ENSP00000265634	10
NRBP2	9606.ENSP00000414055	0
NRG1	9606.ENSP00000287842	8
NTRK2	9606.ENSP00000277120	21
NUAK2	9606.ENSP00000499251	0
ODF2L	9606.ENSP00000359600	1
OLFM1	9606.ENSP00000360858	2
OLFML2A	9606.ENSP00000362682	0
OPCML	9606.ENSP00000330862	4
OPTN	9606.ENSP00000368022	5
OSBPL6	9606.ENSP00000376293	0
OTX2	9606.ENSP00000500595	19
P3H2	9606.ENSP00000316881	5
PALLD	9606.ENSP00000425556	8
PALM2AKAP2	9606.ENSP00000363654	1
PAMR1	9606.ENSP00000482899	0
PAPLN	9606.ENSP00000345395	0
PAQR9	9606.ENSP00000341564	2
PATZ1	9606.ENSP00000266269	1
PAX6	9606.ENSP00000492024	31
PCDH9	9606.ENSP00000367096	2
PCNX4	9606.ENSP00000384801	0
PCSK5	9606.ENSP00000446280	1
PDE4D	9606.ENSP00000345502	5
PDLIM3	9606.ENSP00000284767	6
PDP1	9606.ENSP00000379503	1
PDZRN3	9606.ENSP00000263666	0
PERP	9606.ENSP00000397157	5
PGF	9606.ENSP00000451040	9
PGRMC1	9606.ENSP00000217971	4
PHACTR3	9606.ENSP00000360054	0
PHLDA1	9606.ENSP00000266671	2
PIK3C2B	9606.ENSP00000356155	3
PIM3	9606.ENSP00000353824	0
PLAGL1	9606.ENSP00000353734	3
PLEKHA1	9606.ENSP00000357986	0
PLEKHO1	9606.ENSP00000358120	1
PLK2	9606.ENSP00000274289	7
PLS1	9606.ENSP00000336831	2
PNMA2	9606.ENSP00000429344	2
PNRC2	9606.ENSP00000497590	2
PODXL	9606.ENSP00000367817	7
POLH	9606.ENSP00000361310	3
PPP1R14C	9606.ENSP00000355260	1
PRDM16	9606.ENSP00000270722	2
PRDX6	9606.ENSP00000342026	4
PREX1	9606.ENSP00000361009	4
PRICKLE1	9606.ENSP00000345064	7
PRR11	9606.ENSP00000262293	0
PRRC1	9606.ENSP00000421965	1
PRSS23	9606.ENSP00000280258	2
PRTG	9606.ENSP00000373937	0
