gene1,gene2,STRING_score,double,gene_sc,gene_mouse,gene_pattern,gene_SHH_link,gene_SHH_corr,combined_score_SHH
ANXA5,IGF1R,0.509,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,FOXO3,0.523,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,RUNX2,0.523,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,CXCR4,0.541,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,SOX2,0.635,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
ANXA5,BCL2L11,0.712,keep,expressed,NA,FALSE,FALSE,-0.0488417972369601,0
AP1S2,NCALD,0.548,keep,expressed,NA,FALSE,FALSE,-0.0422852817123355,0
APC,SFRP1,0.428,keep,expressed,NA,FALSE,FALSE,0.119077011048641,0
APC,ZNF106,0.436,keep,expressed,NA,FALSE,FALSE,0.119077011048641,0
APC,UBC,0.516,keep,expressed,NA,FALSE,FALSE,0.119077011048641,0
APC,TLE2,0.526,keep,expressed,NA,FALSE,FALSE,0.119077011048641,0
APC,CDH6,0.552,keep,expressed,NA,FALSE,FALSE,0.119077011048641,0
APC,CDH7,0.555,keep,expressed,NA,FALSE,FALSE,0.119077011048641,0
APC,CDH11,0.572,keep,expressed,NA,FALSE,FALSE,0.119077011048641,0
APC,CTNNBIP1,0.951,keep,expressed,NA,FALSE,FALSE,0.119077011048641,0
APLP2,CNTN6,0.491,keep,expressed,NA,FALSE,FALSE,-0.0113942255650251,0
APLP2,SPON1,0.721,keep,expressed,NA,FALSE,FALSE,-0.0113942255650251,0
APOA1,SCG3,0.459,keep,expressed,NA,FALSE,FALSE,0.0558908122561575,0
APOA1,TRIB1,0.404,keep,expressed,NA,FALSE,FALSE,0.0558908122561575,0
APOA1,LGALS3,0.526,keep,expressed,NA,FALSE,FALSE,0.0558908122561575,0
APOA1,RXRA,0.567,keep,expressed,NA,FALSE,FALSE,0.0558908122561575,0
APOA1,NCAM1,0.612,keep,expressed,NA,FALSE,FALSE,0.0558908122561575,0
APOA1,BMP1,0.797,keep,expressed,NA,FALSE,FALSE,0.0558908122561575,0
APOA1,MTTP,0.899,keep,expressed,NA,FALSE,FALSE,0.0558908122561575,0
ARHGAP29,VAX1,0.505,keep,expressed,NA,FALSE,FALSE,-0.0661824630781701,0
ARL4C,TNRC6C,0.529,keep,expressed,NA,TRUE,FALSE,-0.276172360300797,0
ARL4C,FRMD4A,0.437,keep,expressed,NA,TRUE,FALSE,-0.276172360300797,0
ARL4C,TNRC6B,0.509,keep,expressed,NA,TRUE,FALSE,-0.276172360300797,0
ARL4C,RXRA,0.516,keep,expressed,NA,TRUE,FALSE,-0.276172360300797,0
ASCL1,GLI1,0.537,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,ID2,0.666,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,VGF,0.56,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,NOTCH2,0.436,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,FGF2,0.51,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,EGF,0.441,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,GLI2,0.404,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,NTRK2,0.41,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,GLI3,0.433,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,LIN28A,0.47,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,SP8,0.492,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,HEY1,0.499,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,NCAM1,0.527,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,OTX2,0.606,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,SOX1,0.629,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,DCX,0.635,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,NKX2-1,0.654,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,SHH,0.658,keep,expressed,NA,FALSE,TRUE,0.0544113572363883,0.658
ASCL1,FOXA2,0.738,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,NES,0.744,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,SOX2,0.748,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,LHX2,0.749,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,PAX6,0.77,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,FOXG1,0.771,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASCL1,NKX2-2,0.872,keep,expressed,NA,FALSE,FALSE,0.0544113572363883,0
ASPH,CASQ2,0.998,keep,expressed,NA,FALSE,FALSE,-0.0245881150047242,0
