"gene","W3-1","W4-1","W5-1"
"RYBP",26.0700389105058,38,35.5511420059583
"GXYLT2",2.33463035019455,9.71428571428571,0.364117841774247
"PDZRN3",2.33463035019455,4.57142857142857,12.3469049983449
"EPHA3",0,0.285714285714286,4.36941410129096
"COL8A1",0,0,0.430321085733201
"BOC",28.4046692607004,26,12.6117179741807
"GAP43",17.1206225680934,2.57142857142857,66.832174776564
"COX17",66.5369649805447,65,76.266137040715
"NR1I2",0.778210116731518,1,0.099304865938431
"GOLGB1",26.8482490272374,59.4285714285714,55.8424362793777
"MYLK",12.84046692607,32,3.17775571002979
"SEC61A1",16.3424124513619,25.8571428571429,44.8195961602119
"TRH",1.16731517509728,0.857142857142857,2.74743462429659
"NEK11",2.72373540856031,3.71428571428571,1.62197947699437
"CDV3",22.1789883268482,68.5714285714286,43.2969215491559
"DZIP1L",5.83657587548638,8.85714285714286,2.41641840450182
"ZBTB38",8.17120622568093,12.5714285714286,6.81893412777226
"RASA2",13.2295719844358,15.7142857142857,15.5908639523337
"ATP1B3",79.3774319066148,78.4285714285714,81.7941079112877
"PLS1",0.778210116731518,4,1.05925190334326
"PAQR9",0,3.57142857142857,0.529625951671632
"ZIC1",0.778210116731518,13.8571428571429,11.9827871565707
"TSC22D2",9.33852140077821,16.8571428571429,16.4515061238001
"MED12L",5.05836575875486,12.4285714285714,2.18470705064548
"VEPH1",0.778210116731518,9.71428571428571,4.03839788149619
"IL12A",0.778210116731518,0.428571428571429,0.264812975835816
"TRIM59",15.9533073929961,23.4285714285714,4.20390599139358
"NMD3",12.4513618677043,30.2857142857143,45.382323733863
"SPTSSB",0.778210116731518,0.428571428571429,1.75438596491228
"GPR160",4.66926070038911,3.71428571428571,0.264812975835816
"ECT2",14.7859922178988,42.4285714285714,5.36246276067527
"NLGN1",3.89105058365759,17,15.7894736842105
"NLGN1-AS1",0,0,0.066203243958954
"SOX2",99.2217898832685,96.4285714285714,41.9066534260179
"MCF2L2",1.94552529182879,3,0.860642171466402
"CHRD",1.55642023346304,1.71428571428571,1.85369083085071
"LPP",24.124513618677,30.2857142857143,9.23535253227408
