"","genes","state"
"296","KIF5A","Het_Con"
"297","KCNMA1","Het_Con"
"298","SH3RF2","Het_Con"
"299","TYSND1","Het_Con"
"300","NRG1","Het_Con"
"301","CFAP107","Het_Con"
"302","CACNA1D","Het_Con"
"303","KIT","Het_Con"
"304","DGKI","Het_Con"
"305","COLEC12","common"
"306","COPG2","Het_Con"
"307","TNNI1","Het_Con"
"308","ALDH4A1","Het_Con"
"309","TFF3","common"
"310","NPHS1","Het_Con"
"311","AMDHD2","Het_Con"
"312","AK4","Het_Con"
"313","ALPL","Het_Con"
"314","MXRA8","Het_Con"
"315","DIRAS3","Het_Con"
"316","NTNG1","common"
"317","VCAM1","Het_Con"
"318","DDR2","Het_Con"
"319","KLHDC8A","Het_Con"
"320","PKDCC","Het_Con"
"321","NEUROD1","Het_Con"
"322","SPATA18","Het_Con"
"323","CLDN1","Het_Con"
"324","TAFA4","Het_Con"
"325","IGFBP7","Het_Con"
"326","SERPINI1","Het_Con"
"327","NUAK2","Het_Con"
"328","PRICKLE2","Het_Con"
"329","PTX3","Het_Con"
"330","GRIK3","common"
"331","SPRY1","common"
"332","CAMKV","Het_Con"
"333","PITX2","Het_Con"
"334","NDST3","Het_Con"
"335","GUCY1A1","Het_Con"
"336","NPY1R","Het_Con"
"337","HHIP","common"
"338","EDIL3","Het_Con"
"339","FABP7","Het_Con"
"340","TXLNB","Het_Con"
"341","SAMD3","Het_Con"
"342","TMEM200A","Het_Con"
"343","KCNK5","Het_Con"
"344","SP8","common"
"345","KCNV1","Het_Con"
"346","GPER1","Het_Con"
"347","RASEF","common"
"348","SHOC1","Het_Con"
"349","PCDH19","Het_Con"
"350","CLDN3","common"
"351","HDX","Het_Con"
"352","CRYL1","Het_Con"
"353","AMER2","Het_Con"
"354","HSPA12A","Het_Con"
"355","PACSIN3","Het_Con"
"356","PDZRN4","common"
"357","HTRA1","Het_Con"
"358","PPFIBP2","Het_Con"
"359","CYB5R2","Het_Con"
"360","RBFOX3","Het_Con"
"361","ATCAY","Het_Con"
"362","GNG4","Het_Con"
