"","genes","state"
"383","ENO3","C_Hom_DE"
"384","NUP88","C_Hom_DE"
"385","SMARCD2","C_Hom_DE"
"386","CCL2","C_Hom_DE"
"387","DHX58","C_Hom_DE"
"388","HSD17B1","C_Hom_DE"
"389","EZH1","C_Hom_DE"
"390","COL1A1","C_Hom_DE"
"391","NAT9","C_Hom_DE"
"392","VTN","C_Hom_DE"
"393","NFKB1","C_Hom_DE"
"394","MAPK10","C_Hom_DE"
"395","INPP4B","C_Hom_DE"
"396","RPL34","C_Hom_DE"
"397","CPZ","C_Hom_DE"
"398","SIAE","C_Hom_DE"
"399","UNC93B1","C_Hom_DE"
"400","NRXN2","C_Hom_DE"
"401","CCKBR","C_Hom_DE"
"402","GALNT18","C_Hom_DE"
"403","KIAA1549L","C_Hom_DE"
"404","ELMOD1","C_Hom_DE"
"405","RPS13","C_Hom_DE"
"406","TCIRG1","C_Hom_DE"
"407","CAMKK2","C_Hom_DE"
"408","GLI1","common"
"409","ELK3","C_Hom_DE"
"410","WNT5B","common"
"411","TRPV4","C_Hom_DE"
"412","PRMT8","C_Hom_DE"
"413","PARP11","C_Hom_DE"
"414","MANSC1","C_Hom_DE"
"415","RFC5","C_Hom_DE"
"416","TPI1","C_Hom_DE"
"417","ENO2","C_Hom_DE"
"418","C12orf57","C_Hom_DE"
"419","NT5DC3","C_Hom_DE"
"420","RFX4","common"
"421","SRSF9","C_Hom_DE"
"422","RSPH4A","common"
"423","GCNT2","C_Hom_DE"
"424","MAN1A1","C_Hom_DE"
"425","RIPOR2","C_Hom_DE"
"426","SRSF3","C_Hom_DE"
"427","MDGA1","C_Hom_DE"
"428","CD83","C_Hom_DE"
"429","SIM1","C_Hom_DE"
"430","BVES","C_Hom_DE"
"431","RPS12","C_Hom_DE"
"432","B3GAT2","C_Hom_DE"
"433","SOBP","C_Hom_DE"
"434","ARFGEF3","C_Hom_DE"
"435","HECA","C_Hom_DE"
"436","EPM2A","C_Hom_DE"
"437","C6orf118","C_Hom_DE"
"438","MDFI","C_Hom_DE"
"439","GUCA1B","C_Hom_DE"
"440","PRPH2","C_Hom_DE"
"441","VEGFA","C_Hom_DE"
"442","CLIC5","C_Hom_DE"
"443","ENPP5","C_Hom_DE"
"444","MAN2A1","C_Hom_DE"
"445","NME5","C_Hom_DE"
"446","NNT","C_Hom_DE"
"447","MRPS30","C_Hom_DE"
"448","HBEGF","C_Hom_DE"
"449","THBS4","C_Hom_DE"
"450","RASGRF2","C_Hom_DE"
"451","POLR3G","C_Hom_DE"
"452","NPR3","C_Hom_DE"
"453","FAM172A","C_Hom_DE"
"454","ST8SIA4","C_Hom_DE"
"455","NR3C1","C_Hom_DE"
"456","LIFR","C_Hom_DE"
"457","WWC1","C_Hom_DE"
"458","DPYSL3","C_Hom_DE"
"459","PDGFRB","C_Hom_DE"
"460","STC2","C_Hom_DE"
"461","CPEB4","C_Hom_DE"
"462","NPHP3","C_Hom_DE"
"463","AMOTL2","C_Hom_DE"
"464","FAM162A","C_Hom_DE"
"465","BCHE","C_Hom_DE"
"466","SERPINI2","C_Hom_DE"
"467","WNT5A","C_Hom_DE"
"468","RPL24","C_Hom_DE"
"469","C3orf14","C_Hom_DE"
"470","IFT57","C_Hom_DE"
"471","IQCG","C_Hom_DE"
"472","CSPG5","C_Hom_DE"
"473","EFCC1","common"
"474","NEK11","C_Hom_DE"
"475","PLCH1","C_Hom_DE"
"476","NKTR","C_Hom_DE"
"477","PIKFYVE","C_Hom_DE"
