genes,percent_cell
DNER,4.46173388377263
SLC16A14,9.39980946332169
ITM2C,56.3353445538266
C2orf72,1.38139091775167
EFHD1,7.54207684979359
KCNJ13,1.39726897427755
HJURP,22.1498888536043
TRPM8,0.571610034931724
ARL4C,73.8964750714512
IQCA1,5.20800254048904
ACKR3,26.9768180374722
COPS8,51.7148301047952
TRAF3IP1,20.0063512226104
KIF1A,9.89202921562401
CNTN6,0.651000317561131
ITPR1,1.71483010479517
TADA3,42.8866306764052
TSEN2,16.4337885042871
CAPN7,17.2753255001588
OXNAD1,11.6862496030486
RAB5A,27.3102572245157
LRRC3B,0.825658939345824
CMTM7,33.96316290886
CRTAP,25.3413782153064
DLEC1,0.587488091457606
ACVR2B,54.7475389012385
CCK,2.73102572245157
KIF9,19.7364242616704
LAMB2,7.14512543664655
TCTA,5.35090504922197
NICN1,3.95363607494443
SEMA3F,5.73197840584312
ZMYND10,2.06414734836456
SFMBT1,11.6862496030486
PTPRG,21.8005716100349
ATXN7,11.495712924738
ADAMTS9-AS2,1.87361067005399
LRIG1,31.6608447126072
RYBP,33.7408701174976
GXYLT2,2.66751349634805
PDZRN3,6.58939345824071
EPHA3,2.01651317878692
BOC,35.8208955223881
GAP43,14.306128929819
COX17,59.1140044458558
GOLGB1,53.477294379168
MYLK,13.0041282946967
SEC61A1,23.5789139409336
TRH,0.920927278501111
NEK11,4.04890441409971
CDV3,57.1610034931724
DZIP1L,8.16132105430295
ZBTB38,8.30422356303588
RASA2,14.8936170212766
ATP1B3,74.1664020323912
PLS1,3.3026357573833
PAQR9,1.42902508732931
ZIC1,26.4845982851699
TSC22D2,14.7983486821213
MED12L,8.27246744998412
VEPH1,15.2270562083201
TRIM59,19.1330581136869
NMD3,27.802476976818
SPTSSB,1.3496348046999
GPR160,1.09558590028581
ECT2,33.4391870435059
NLGN1,13.0041282946967
SOX2,91.0606541759289
MCF2L2,2.39758653540807
CHRD,1.98475706573515
LPP,21.5941568751985
FGF12,3.28675770085741
HES1,75.1825976500476
ZNF718,7.2721498888536
TMEM175,5.28739282311845
SLC26A1,0.317561130517625
FGFRL1,16.9577643696412
TACC3,31.8037472213401
FGFR3,21.8482057796126
FAM184B,1.00031756113052
PPARGC1A,0.523975865354081
ARAP2,0.317561130517625
KLHL5,19.4823753572563
WDR19,14.4172753255002
KIT,12.162591298825
SRD5A3,10.1937122896158
CLOCK,15.6081295649413
HOPX,1.66719593521753
IGFBP7,2.09590346141632
RUFY3,32.6929183867895
USO1,25.2937440457288
SHROOM3,25.2143537630994
ANXA3,1.57192759606224
RASGEF1B,5.95427119720546
HERC5,1.33375674817402
MTTP,8.98697999364878
COL25A1,2.00063512226104
EGF,0.333439187043506
TIFA,7.38329628453477
NEUROG2,28.882184820578
NDST4,2.540489044141
SYNPO2,0.349317243569387
MAD2L1,66.1638615433471
NDNF,18.0215941568752
ANXA5,58.3994919021912
FGF2,19.1648142267386
SPRY1,32.4071133693236
LARP1B,19.8952048269292
PGRMC2,36.2496030485869
PCDH10,5.87488091457606
PCDH18,40.1873610670054
RAB33B,6.66878374087012
SETD7,7.87551603683709
TBC1D9,7.71673547157828
RNF150,9.20927278501111
FBXW7,16.8148618609082
TMEM154,2.57224515719276
CPE,63.4487138774214
DDX60,1.00031756113052
PALLD,31.6608447126072
SH3RF1,12.702445220705
HPGD,1.0161956176564
AGA,10.431883137504
WWC2-AS2,2.12765957446809
STOX2,17.8469355350905
SNX25,6.684661797396
PDLIM3,5.43029533185138
PLEKHG4B,16.1162273737695
DAP,29.6284534772944
BASP1,88.3137503969514
CDH10,2.20704985709749
CDH6,27.2943791679898
OXCT1,27.4849158463004
EMB,8.2089552238806
GPX8,34.7729437916799
PLK2,8.32010161956176
PDE4D,1.84185455700222
PART1,0.714512543664655
FOXD1,15.4493489996824
ENC1,27.5166719593522
FAM169A,6.63702762781836
HOMER1,15.3064464909495
RASGRF2,0.90504922197523
ERAP1,2.1117815179422
EFNA5,26.2940616068593
MAN2A1,17.9739599872976
APC,31.9625277865989
KCNN2,4.47761194029851
ALDH7A1,55.9225150841537
PRRC1,22.8961575103207
FBN2,27.802476976818
RAD50,55.8272467449984
CXCL14,2.19117180057161
PKD2L2,0.698634487138774
KIF20A,15.7510320736742
GFRA3,0.476341695776437
CDC25C,15.2588123213719
EGR1,6.46236900603366
SLC26A2,12.4007621467132
TIGD6,5.00158780565259
GRIA1,8.52651635439822
PTTG1,66.7513496348047
GABRG2,0.587488091457606
HMMR,36.7259447443633
DUSP1,33.0104795173071
ERGIC1,28.0247697681804
TMED9,72.4992060971737
COL23A1,2.90568434423627
RPP40,18.7519847570657
DSP,32.2324547475389
GCNT2,5.60495395363608
MYLIP,5.93839314067958
RNF144B,0.523975865354081
NKAPL,2.38170847888218
GRM4,0.317561130517625
HMGA1,97.7929501429025
FANCE,8.74880914576056
GLP1R,0.508097808828199
FOXP4,17.0053985392188
MED20,11.6862496030486
SRF,7.28802794537949
POLH,5.31914893617021
MRPL14,69.4347411876786
NFKBIE,9.43156557637345
CD2AP,14.1791044776119
SLC17A5,3.76309939663385
PHIP,72.8008891711655
SH3BGRL2,10.1302000635122
TPBG,50.0476341695776
PNRC1,53.874245792315
RRAGD,19.0060336614798
ASCC3,32.4229914258495
SOBP,12.6230549380756
FOXO3,24.1028898062877
ARMC2,4.09653858367736
CEP57L1,22.2134010797078
REV3L,26.2464274372817
DSE,12.4166402032391
SLC35F1,14.8301047951731
GJA1,40.2191171800572
SLC2A12,3.76309939663385
PERP,16.3861543347094
