"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","cluster_1","cluster_2"
"ENSG00000151952",2.62915659450355,3.28453156415232,0.615008094532118,5.340631437788,9.26233938627741e-08,7.05346449644873e-07,"TMEM132D",2,4
"ENSG00000152128",8.18301356944994,1.16924294387641,0.262092324009909,4.46118728693559,8.15068176702606e-06,4.47332234054279e-05,"TMEM163",2,5
"ENSG00000152137",11.900423019038,1.67966286850667,0.250829369504857,6.69643619414409,2.13563632354875e-11,2.54318182254115e-10,"HSPB8",2,2
"ENSG00000152154",59.5432095028627,-1.5097380220038,0.149941985592357,-10.0688143887082,7.58873344697911e-24,2.26490313864597e-22,"TMEM178A",1,1
"ENSG00000152192",4.30382265764228,1.35339399253745,0.373326676704423,3.62522711873863,0.000288707609578322,0.00115873377634718,"POU4F1",2,2
"ENSG00000152256",53.3712525882464,-1.13765643409701,0.126737195293926,-8.97650000426936,2.79516782071969e-19,6.32202310906723e-18,"PDK1",1,1
"ENSG00000152315",3.77554400132463,-4.21014304628985,0.692406847514411,-6.08044686646781,1.19848062972183e-09,1.18170474427614e-08,"KCNK13",1,1
"ENSG00000152402",109.310619760824,-1.14757440039682,0.375565111590705,-3.05559373056849,0.00224615383786416,0.00717250507119743,"GUCY1A2",1,1
"ENSG00000152467",11.118840104868,-1.52099008352412,0.321661960381975,-4.72853576381221,2.26144795794547e-06,1.38775603000685e-05,"ZSCAN1",1,1
"ENSG00000152495",25.9219024812637,1.00241807366592,0.200922249344656,4.98908446892012,6.06661178284328e-07,4.11638180726476e-06,"CAMK4",2,4
"ENSG00000152527",21.1705000695217,-1.02324633072973,0.165219381043419,-6.19325846802937,5.89329688840685e-10,6.02522555183736e-09,"PLEKHH2",1,1
"ENSG00000152578",12.1482032892064,-2.22369550738458,0.271083161733361,-8.20300122355744,2.3445881187548e-16,4.29255868790527e-15,"GRIA4",1,1
"ENSG00000152582",36.6490193159562,-1.45655692195293,0.237290507727011,-6.13828566471194,8.34167614790088e-10,8.36886084989163e-09,"SPEF2",1,1
"ENSG00000152642",29.1865094871425,-1.73098292958904,0.269083600240507,-6.43288155815475,1.25207217566899e-10,1.37211982955287e-09,"GPD1L",1,1
"ENSG00000152661",1165.97726457969,1.77366656748603,0.0779261988845304,22.7608505595687,1.12051355033648e-114,4.65685431519841e-112,"GJA1",2,4
