"","Figure1E"
"ENSG00000279369","vAN"
"ENSG00000279439","dAN"
"ENSG00000279668","dAN"
"ENSG00000279674","dAN"
"ENSG00000279798","dAN"
"ENSG00000279839","dAN"
"ENSG00000279905","dAN"
"ENSG00000279926","vAN"
"ENSG00000279958","dAN"
"ENSG00000279970","vAN"
"ENSG00000280000","dAN"
"ENSG00000280011","vAN"
"ENSG00000280143","dAN"
"ENSG00000280344","vAN"
"ENSG00000280451","dAN"
"ENSG00000280485","dAN"
"ENSG00000280660","dAN"
"ENSG00000281327","vAN"
"ENSG00000282961","dAN"
"ENSG00000283010","dAN"
"ENSG00000283267","vAN"
"ENSG00000283462","dAN"
"ENSG00000283599","dAN"
"ENSG00000284966","dAN"
"ENSG00000285205","vAN"
"ENSG00000285210","vAN"
"ENSG00000285595","dAN"
"ENSG00000285636","dAN"
"ENSG00000285737","dAN"
"ENSG00000285740","dAN"
"ENSG00000285796","vAN"
"ENSG00000285804","vAN"
"ENSG00000285877","vAN"
"ENSG00000285938","dAN"
"ENSG00000286020","vAN"
"ENSG00000286096","vAN"
"ENSG00000286116","dAN"
"ENSG00000286214","vAN"
"ENSG00000286572","dAN"
"ENSG00000286721","vAN"
"ENSG00000286747","vAN"
"ENSG00000286757","dAN"
"ENSG00000286828","vAN"
"ENSG00000286830","vAN"
"ENSG00000286833","vAN"
"ENSG00000286888","vAN"
"ENSG00000286951","dAN"
"ENSG00000287063","vAN"
"ENSG00000287104","vAN"
"ENSG00000287188","dAN"
"ENSG00000287248","vAN"
"ENSG00000287260","dAN"
"ENSG00000287268","dAN"
"ENSG00000287340","dAN"
"ENSG00000287343","vAN"
"ENSG00000287356","vAN"
"ENSG00000287431","vAN"
"ENSG00000287544","dAN"
"ENSG00000287558","vAN"
"ENSG00000287665","dAN"
"ENSG00000287685","dAN"
"ENSG00000287769","vAN"
"ENSG00000287778","vAN"
"ENSG00000287870","vAN"
"ENSG00000288013","dAN"
"ENSG00000288060","dAN"
"ENSG00000288076","dAN"
"ENSG00000288079","dAN"
"ENSG00000288085","vAN"
"ENSG00000288597","vAN"
"ENSG00000288612","dAN"
"ENSG00000288658","dAN"
