"","Figure1E"
"ENSG00000116329","vAN"
"ENSG00000116701","dAN"
"ENSG00000116717","dAN"
"ENSG00000116729","dAN"
"ENSG00000116741","vAN"
"ENSG00000116761","dAN"
"ENSG00000116774","vAN"
"ENSG00000116852","vAN"
"ENSG00000116962","vAN"
"ENSG00000116983","dAN"
"ENSG00000116991","dAN"
"ENSG00000117152","vAN"
"ENSG00000117154","dAN"
"ENSG00000117228","dAN"
"ENSG00000117318","vAN"
"ENSG00000117461","vAN"
"ENSG00000117480","vAN"
"ENSG00000117592","dAN"
"ENSG00000117598","dAN"
"ENSG00000118137","vAN"
"ENSG00000118231","dAN"
"ENSG00000118257","dAN"
"ENSG00000118271","vAN"
"ENSG00000118407","dAN"
"ENSG00000118503","dAN"
"ENSG00000118508","dAN"
"ENSG00000118523","dAN"
"ENSG00000118689","dAN"
"ENSG00000118702","vAN"
"ENSG00000118729","vAN"
"ENSG00000118733","dAN"
"ENSG00000118785","dAN"
"ENSG00000118946","dAN"
"ENSG00000118971","vAN"
"ENSG00000118997","vAN"
"ENSG00000119138","dAN"
"ENSG00000119227","dAN"
"ENSG00000119547","dAN"
"ENSG00000119630","vAN"
"ENSG00000119681","dAN"
"ENSG00000119686","dAN"
"ENSG00000119771","dAN"
"ENSG00000119862","dAN"
"ENSG00000119888","vAN"
"ENSG00000119973","dAN"
"ENSG00000120051","vAN"
"ENSG00000120129","dAN"
"ENSG00000120149","dAN"
"ENSG00000120156","dAN"
"ENSG00000120262","vAN"
"ENSG00000120278","dAN"
"ENSG00000120306","dAN"
"ENSG00000120457","dAN"
"ENSG00000120549","dAN"
"ENSG00000120669","vAN"
"ENSG00000120675","dAN"
"ENSG00000120693","vAN"
"ENSG00000120708","vAN"
"ENSG00000120738","dAN"
"ENSG00000120756","dAN"
"ENSG00000120875","dAN"
"ENSG00000120885","dAN"
"ENSG00000120949","dAN"
"ENSG00000121207","vAN"
"ENSG00000121310","vAN"
"ENSG00000121361","vAN"
"ENSG00000121440","vAN"
"ENSG00000121690","vAN"
"ENSG00000121743","dAN"
"ENSG00000121871","vAN"
"ENSG00000121898","vAN"
"ENSG00000121900","vAN"
"ENSG00000121966","dAN"
"ENSG00000122012","dAN"
"ENSG00000122417","vAN"
"ENSG00000122547","vAN"
"ENSG00000122585","dAN"
"ENSG00000122641","vAN"
"ENSG00000122691","vAN"
"ENSG00000122779","dAN"
"ENSG00000122861","dAN"
"ENSG00000122870","vAN"
"ENSG00000122877","dAN"
"ENSG00000122971","vAN"
"ENSG00000123094","dAN"
"ENSG00000123095","dAN"
"ENSG00000123307","dAN"
"ENSG00000123342","dAN"
"ENSG00000123427","vAN"
"ENSG00000123560","vAN"
"ENSG00000123572","vAN"
"ENSG00000123700","dAN"
"ENSG00000123977","vAN"
"ENSG00000124006","vAN"
"ENSG00000124140","vAN"
"ENSG00000124145","dAN"
"ENSG00000124191","vAN"
"ENSG00000124205","vAN"
"ENSG00000124225","vAN"
"ENSG00000124479","vAN"
"ENSG00000124588","dAN"
"ENSG00000124749","vAN"
"ENSG00000124762","dAN"
"ENSG00000124766","vAN"
"ENSG00000124785","dAN"
"ENSG00000124813","vAN"
"ENSG00000124920","vAN"
"ENSG00000125046","dAN"
"ENSG00000125084","dAN"
"ENSG00000125148","dAN"
"ENSG00000125266","dAN"
"ENSG00000125337","vAN"
"ENSG00000125378","vAN"
"ENSG00000125430","dAN"
"ENSG00000125462","dAN"
"ENSG00000125492","dAN"
"ENSG00000125514","vAN"
"ENSG00000125675","vAN"
"ENSG00000125740","dAN"
"ENSG00000125798","vAN"
"ENSG00000125820","vAN"
"ENSG00000125845","dAN"
"ENSG00000125848","dAN"
"ENSG00000125864","vAN"
"ENSG00000125869","dAN"
"ENSG00000125968","dAN"
"ENSG00000126010","dAN"
"ENSG00000126218","vAN"
"ENSG00000126353","dAN"
"ENSG00000126500","vAN"
"ENSG00000127084","vAN"
"ENSG00000127152","vAN"
"ENSG00000127561","dAN"
"ENSG00000127578","vAN"
"ENSG00000127720","vAN"
"ENSG00000127920","dAN"
"ENSG00000128011","vAN"
"ENSG00000128016","dAN"
"ENSG00000128165","dAN"
"ENSG00000128283","dAN"
"ENSG00000128285","dAN"
"ENSG00000128298","dAN"
"ENSG00000128342","dAN"
"ENSG00000128422","dAN"
"ENSG00000128564","dAN"
"ENSG00000128655","vAN"
"ENSG00000128683","vAN"
"ENSG00000128872","vAN"
"ENSG00000129009","vAN"
"ENSG00000129116","dAN"
"ENSG00000129295","vAN"
"ENSG00000129514","vAN"
"ENSG00000129521","dAN"
"ENSG00000129667","dAN"
"ENSG00000130052","dAN"
"ENSG00000130176","dAN"
"ENSG00000130222","vAN"
"ENSG00000130513","dAN"
"ENSG00000130528","vAN"
"ENSG00000130643","vAN"
"ENSG00000130707","dAN"
"ENSG00000130766","dAN"
"ENSG00000130830","dAN"
"ENSG00000131044","vAN"
"ENSG00000131080","dAN"
"ENSG00000131094","vAN"
"ENSG00000131149","vAN"
"ENSG00000131477","vAN"
"ENSG00000131781","vAN"
"ENSG00000131951","vAN"
"ENSG00000131981","dAN"
"ENSG00000132000","dAN"
"ENSG00000132205","dAN"
"ENSG00000132274","dAN"
"ENSG00000132329","vAN"
"ENSG00000132386","vAN"
"ENSG00000132429","vAN"
"ENSG00000132437","vAN"
"ENSG00000132470","vAN"
"ENSG00000132554","vAN"
"ENSG00000132639","dAN"
"ENSG00000132692","vAN"
"ENSG00000132825","dAN"
"ENSG00000132872","dAN"
"ENSG00000133048","dAN"
"ENSG00000133107","dAN"
"ENSG00000133124","dAN"
"ENSG00000133216","vAN"
"ENSG00000133665","vAN"
"ENSG00000133687","dAN"
"ENSG00000133816","vAN"
"ENSG00000133863","vAN"
"ENSG00000133980","dAN"
"ENSG00000134107","dAN"
"ENSG00000134115","vAN"
"ENSG00000134215","dAN"
"ENSG00000134245","dAN"
"ENSG00000134259","dAN"
"ENSG00000134317","vAN"
"ENSG00000134333","vAN"
"ENSG00000134369","dAN"
"ENSG00000134376","vAN"
"ENSG00000134438","vAN"
"ENSG00000134508","dAN"
"ENSG00000134531","dAN"
"ENSG00000134532","vAN"
"ENSG00000134533","vAN"
"ENSG00000134548","dAN"
"ENSG00000134594","vAN"
"ENSG00000134716","vAN"
"ENSG00000134762","dAN"
"ENSG00000134817","dAN"
"ENSG00000134853","vAN"
"ENSG00000134954","dAN"
"ENSG00000135002","dAN"
"ENSG00000135046","dAN"
"ENSG00000135048","dAN"
"ENSG00000135074","dAN"
"ENSG00000135116","dAN"
"ENSG00000135144","vAN"
"ENSG00000135248","dAN"
"ENSG00000135298","vAN"
"ENSG00000135333","dAN"
"ENSG00000135363","dAN"
"ENSG00000135406","dAN"
"ENSG00000135480","dAN"
"ENSG00000135519","vAN"
"ENSG00000135547","dAN"
"ENSG00000135549","vAN"
"ENSG00000135596","vAN"
"ENSG00000135697","dAN"
"ENSG00000135750","dAN"
"ENSG00000135773","vAN"
"ENSG00000135838","vAN"
"ENSG00000135842","vAN"
"ENSG00000135903","dAN"
"ENSG00000135925","dAN"
"ENSG00000136010","dAN"
"ENSG00000136014","vAN"
"ENSG00000136048","dAN"
"ENSG00000136099","dAN"
"ENSG00000136110","vAN"
"ENSG00000136160","dAN"
"ENSG00000136193","dAN"
"ENSG00000136327","vAN"
"ENSG00000136352","vAN"
"ENSG00000136444","vAN"
"ENSG00000136535","dAN"
"ENSG00000136541","vAN"
"ENSG00000136546","vAN"
"ENSG00000136603","vAN"
"ENSG00000136840","vAN"
"ENSG00000136960","vAN"
"ENSG00000137094","dAN"
"ENSG00000137142","dAN"
"ENSG00000137203","dAN"
"ENSG00000137266","dAN"
"ENSG00000137267","dAN"
"ENSG00000137285","dAN"
"ENSG00000137393","vAN"
"ENSG00000137474","vAN"
"ENSG00000137561","vAN"
"ENSG00000137573","dAN"
"ENSG00000137842","vAN"
"ENSG00000137868","vAN"
"ENSG00000137959","vAN"
"ENSG00000137968","vAN"
"ENSG00000138028","vAN"
"ENSG00000138061","dAN"
"ENSG00000138083","vAN"
"ENSG00000138134","vAN"
"ENSG00000138166","dAN"
"ENSG00000138193","vAN"
"ENSG00000138207","dAN"
"ENSG00000138316","vAN"
"ENSG00000138379","vAN"
"ENSG00000138400","vAN"
"ENSG00000138411","vAN"
"ENSG00000138435","vAN"
"ENSG00000138449","vAN"
"ENSG00000138587","vAN"
"ENSG00000138653","dAN"
"ENSG00000138670","vAN"
"ENSG00000138678","dAN"
"ENSG00000138685","dAN"
"ENSG00000138759","dAN"
"ENSG00000138772","dAN"
"ENSG00000138795","dAN"
"ENSG00000138798","dAN"
"ENSG00000138944","vAN"
"ENSG00000138964","vAN"
"ENSG00000139209","vAN"
"ENSG00000139289","dAN"
"ENSG00000139292","dAN"
"ENSG00000139329","dAN"
"ENSG00000139352","vAN"
"ENSG00000139438","vAN"
"ENSG00000139445","vAN"
"ENSG00000139508","vAN"
"ENSG00000139597","vAN"
"ENSG00000139629","dAN"
"ENSG00000139679","dAN"
"ENSG00000139800","dAN"
"ENSG00000139865","vAN"
"ENSG00000140015","vAN"
"ENSG00000140022","dAN"
"ENSG00000140105","dAN"
"ENSG00000140280","vAN"
"ENSG00000140284","vAN"
"ENSG00000140285","vAN"
"ENSG00000140287","vAN"
"ENSG00000140450","vAN"
"ENSG00000140511","vAN"
"ENSG00000140527","vAN"
"ENSG00000140538","dAN"
"ENSG00000140600","vAN"
"ENSG00000140873","dAN"
"ENSG00000140945","dAN"
"ENSG00000141052","vAN"
"ENSG00000141431","dAN"
"ENSG00000141433","dAN"
"ENSG00000141458","dAN"
"ENSG00000141506","vAN"
"ENSG00000141526","vAN"
"ENSG00000141738","dAN"
"ENSG00000141744","vAN"
"ENSG00000141905","vAN"
"ENSG00000142149","dAN"
"ENSG00000142227","dAN"
"ENSG00000142303","vAN"
"ENSG00000142611","dAN"
"ENSG00000142621","vAN"
"ENSG00000142627","dAN"
"ENSG00000142634","vAN"
"ENSG00000142700","dAN"
"ENSG00000142765","dAN"
"ENSG00000142910","dAN"
"ENSG00000143032","dAN"
"ENSG00000143167","dAN"
"ENSG00000143194","dAN"
"ENSG00000143195","dAN"
"ENSG00000143217","dAN"
"ENSG00000143248","dAN"
"ENSG00000143355","dAN"
"ENSG00000143674","dAN"
"ENSG00000143768","dAN"
"ENSG00000143772","dAN"
"ENSG00000143869","dAN"
"ENSG00000144227","vAN"
"ENSG00000144331","dAN"
"ENSG00000144355","vAN"
"ENSG00000144369","dAN"
"ENSG00000144476","vAN"
"ENSG00000144485","vAN"
"ENSG00000144583","dAN"
"ENSG00000144596","dAN"
"ENSG00000144644","vAN"
"ENSG00000144655","dAN"
"ENSG00000144668","vAN"
"ENSG00000144771","vAN"
"ENSG00000144834","dAN"
"ENSG00000144847","vAN"
"ENSG00000144857","dAN"
"ENSG00000145147","vAN"
"ENSG00000145335","dAN"
"ENSG00000145358","dAN"
"ENSG00000145451","vAN"
"ENSG00000145476","vAN"
"ENSG00000145491","vAN"
"ENSG00000145526","dAN"
"ENSG00000145626","dAN"
"ENSG00000145632","dAN"
"ENSG00000145721","dAN"
"ENSG00000145808","dAN"
"ENSG00000145824","dAN"
"ENSG00000145864","dAN"
"ENSG00000145934","dAN"
"ENSG00000146013","vAN"
"ENSG00000146070","vAN"
"ENSG00000146233","vAN"
"ENSG00000146242","dAN"
"ENSG00000146250","dAN"
"ENSG00000146352","vAN"
"ENSG00000146374","dAN"
"ENSG00000146409","vAN"
"ENSG00000146674","vAN"
"ENSG00000146678","vAN"
"ENSG00000147041","vAN"
"ENSG00000147145","dAN"
"ENSG00000147231","vAN"
"ENSG00000147246","vAN"
"ENSG00000147251","dAN"
"ENSG00000147257","vAN"
"ENSG00000147394","dAN"
"ENSG00000147465","vAN"
"ENSG00000147573","dAN"
"ENSG00000147642","vAN"
"ENSG00000147655","dAN"
"ENSG00000147862","dAN"
"ENSG00000147889","dAN"
"ENSG00000148175","vAN"
"ENSG00000148357","vAN"
"ENSG00000148488","vAN"
"ENSG00000148600","vAN"
"ENSG00000148677","dAN"
"ENSG00000148704","vAN"
"ENSG00000148737","vAN"
"ENSG00000148798","dAN"
"ENSG00000148814","vAN"
"ENSG00000148841","vAN"
"ENSG00000148848","vAN"
"ENSG00000148926","dAN"
"ENSG00000148942","vAN"
"ENSG00000148948","dAN"
"ENSG00000149201","vAN"
"ENSG00000149218","dAN"
"ENSG00000149564","dAN"
"ENSG00000149591","dAN"
"ENSG00000150347","dAN"
"ENSG00000150394","dAN"
"ENSG00000150510","dAN"
"ENSG00000150551","dAN"
"ENSG00000150630","dAN"
"ENSG00000150873","vAN"
"ENSG00000150893","vAN"
"ENSG00000150961","dAN"
"ENSG00000150995","vAN"
"ENSG00000151023","vAN"
"ENSG00000151090","vAN"
"ENSG00000151136","dAN"
"ENSG00000151320","dAN"
"ENSG00000151322","vAN"
"ENSG00000151332","vAN"
"ENSG00000151338","vAN"
"ENSG00000151388","vAN"
"ENSG00000151474","dAN"
"ENSG00000151490","vAN"
"ENSG00000151617","vAN"
"ENSG00000151690","vAN"
"ENSG00000151789","vAN"
"ENSG00000151812","vAN"
"ENSG00000151892","vAN"
"ENSG00000151952","dAN"
"ENSG00000152128","dAN"
"ENSG00000152137","dAN"
"ENSG00000152154","vAN"
"ENSG00000152192","dAN"
"ENSG00000152208","dAN"
"ENSG00000152256","vAN"
"ENSG00000152315","vAN"
"ENSG00000152402","vAN"
"ENSG00000152467","vAN"
"ENSG00000152495","dAN"
"ENSG00000152527","vAN"
"ENSG00000152578","vAN"
"ENSG00000152582","vAN"
"ENSG00000152642","vAN"
"ENSG00000152661","dAN"
"ENSG00000152669","dAN"
"ENSG00000152760","vAN"
"ENSG00000152784","vAN"
"ENSG00000152785","vAN"
"ENSG00000152952","vAN"
"ENSG00000152977","dAN"
"ENSG00000153012","dAN"
"ENSG00000153233","dAN"
"ENSG00000153234","dAN"
"ENSG00000153253","dAN"
"ENSG00000153551","vAN"
"ENSG00000153789","vAN"
"ENSG00000153823","dAN"
"ENSG00000153885","vAN"
"ENSG00000153930","vAN"
"ENSG00000154080","vAN"
"ENSG00000154099","vAN"
"ENSG00000154102","vAN"
"ENSG00000154134","dAN"
"ENSG00000154342","dAN"
"ENSG00000154553","dAN"
"ENSG00000154639","dAN"
"ENSG00000154640","dAN"
"ENSG00000154654","dAN"
"ENSG00000154678","dAN"
"ENSG00000154736","dAN"
"ENSG00000154856","dAN"
"ENSG00000154928","vAN"
"ENSG00000155052","dAN"
"ENSG00000155367","dAN"
"ENSG00000155511","dAN"
"ENSG00000155629","dAN"
"ENSG00000155761","vAN"
"ENSG00000155792","vAN"
"ENSG00000155846","dAN"
"ENSG00000155966","vAN"
"ENSG00000156042","vAN"
"ENSG00000156298","vAN"
"ENSG00000156299","dAN"
"ENSG00000156395","dAN"
"ENSG00000156427","dAN"
"ENSG00000156466","dAN"
"ENSG00000156675","dAN"
"ENSG00000156687","dAN"
"ENSG00000156925","dAN"
"ENSG00000157005","dAN"
"ENSG00000157064","dAN"
"ENSG00000157103","vAN"
"ENSG00000157111","vAN"
"ENSG00000157227","vAN"
"ENSG00000157303","vAN"
"ENSG00000157404","vAN"
"ENSG00000157423","vAN"
"ENSG00000157502","vAN"
"ENSG00000157654","dAN"
"ENSG00000157680","vAN"
"ENSG00000157856","vAN"
"ENSG00000157927","dAN"
"ENSG00000158023","vAN"
"ENSG00000158050","dAN"
"ENSG00000158055","dAN"
"ENSG00000158220","vAN"
"ENSG00000158246","dAN"
"ENSG00000158458","dAN"
"ENSG00000158483","vAN"
"ENSG00000158516","vAN"
"ENSG00000158555","dAN"
"ENSG00000158715","dAN"
"ENSG00000158792","dAN"
"ENSG00000158816","vAN"
"ENSG00000158887","vAN"
"ENSG00000158966","dAN"
"ENSG00000159167","dAN"
"ENSG00000159212","dAN"
"ENSG00000159263","dAN"
"ENSG00000159267","dAN"
"ENSG00000159307","vAN"
"ENSG00000159403","vAN"
"ENSG00000159556","dAN"
"ENSG00000159733","vAN"
"ENSG00000160111","vAN"
"ENSG00000160179","vAN"
"ENSG00000160180","vAN"
"ENSG00000160188","vAN"
"ENSG00000160190","vAN"
"ENSG00000160345","vAN"
"ENSG00000160472","vAN"
"ENSG00000160685","dAN"
"ENSG00000160712","dAN"
"ENSG00000160781","vAN"
"ENSG00000160789","dAN"
"ENSG00000161082","vAN"
"ENSG00000161243","dAN"
"ENSG00000161558","vAN"
"ENSG00000161610","vAN"
"ENSG00000162105","vAN"
"ENSG00000162188","dAN"
"ENSG00000162494","dAN"
"ENSG00000162542","vAN"
"ENSG00000162543","vAN"
"ENSG00000162551","dAN"
"ENSG00000162552","dAN"
"ENSG00000162576","vAN"
"ENSG00000162599","vAN"
"ENSG00000162618","dAN"
"ENSG00000162631","vAN"
"ENSG00000162643","vAN"
"ENSG00000162692","dAN"
