"","fe_info.coord...1.","gene_converter.names.fe_info.coord...1.....ENSEMBL....SYMBOL.."
"ENSG00000120875",-1.05223299434163,"DUSP4"
"ENSG00000185070",0.315390411095935,"FLRT2"
"ENSG00000128016",-1.04437279425733,"ZFP36"
"ENSG00000140873",-0.891612956914805,"ADAMTS18"
"ENSG00000145147",0.741440660619787,"SLIT2"
"ENSG00000143032",-0.65356408212294,"BARHL2"
"ENSG00000078114",-1.04316919028828,"NEBL"
"ENSG00000138772",-0.806737177116616,"ANXA3"
"ENSG00000146374",-0.804862829395543,"RSPO3"
"ENSG00000147655",-1.03928537322587,"RSPO2"
"ENSG00000205413",0.0775763499450765,"SAMD9"
"ENSG00000171223",-0.917905403550828,"JUNB"
"ENSG00000198336",0.681372170269776,"MYL4"
"ENSG00000059804",-0.984172899554732,"SLC2A3"
"ENSG00000112246",0.487411058060863,"SIM1"
"ENSG00000121691",0.531171820912941,"CAT"
"ENSG00000197705",-0.566669050258478,"KLHL14"
"ENSG00000260125",-0.662626729586928,"AGBL1-AS1"
"ENSG00000128655",0.791259421479221,"PDE11A"
"ENSG00000138166",-1.02493085058622,"DUSP5"
"ENSG00000280485",-1.03015811920757,NA
"ENSG00000185885",-0.0276045481143004,"IFITM1"
"ENSG00000163873",0.936546306946525,"GRIK3"
"ENSG00000280000",-0.0519873653869759,NA
"ENSG00000124813",0.811973435816729,"RUNX2"
"ENSG00000133106",0.652469596144582,"EPSTI1"
"ENSG00000111913",-0.802159711567172,"RIPOR2"
"ENSG00000170345",-0.837970171891525,"FOS"
"ENSG00000116729",-0.878847391378453,"WLS"
"ENSG00000118733",-0.589594435587082,"OLFM3"
"ENSG00000148948",-0.869211987697826,"LRRC4C"
"ENSG00000175352",-0.718827913952281,"NRIP3"
"ENSG00000172020",-0.991883004086772,"GAP43"
"ENSG00000145808",-1.01680710559533,"ADAMTS19"
"ENSG00000174080",0.565599111375598,"CTSF"
"ENSG00000150893",0.69794241960576,"FREM2"
"ENSG00000005102",-0.00846309708572021,"MEOX1"
"ENSG00000253563",0.90859210233588,"NKX2-1-AS1"
"ENSG00000074047",-0.678964701709042,"GLI2"
"ENSG00000160180",0.805696290778214,"TFF3"
"ENSG00000142627",-0.900563891972801,"EPHA2"
"ENSG00000095739",-0.963101918895738,"BAMBI"
"ENSG00000140450",0.879958402224229,"ARRDC4"
"ENSG00000175356",-0.760244974929586,"SCUBE2"
"ENSG00000188313",0.548680580692405,"PLSCR1"
"ENSG00000115896",0.75191369656029,"PLCL1"
"ENSG00000212719",-0.560013138376663,"LINC02693"
"ENSG00000120738",-0.937581790184975,"EGR1"
"ENSG00000170293",0.77387485744269,"CMTM8"
"ENSG00000125430",-1.01602497912353,"HS3ST3B1"
"ENSG00000164251",-0.913909975677081,"F2RL1"
"ENSG00000240563",0.699336901809943,"L1TD1"
"ENSG00000144644",0.429149046282273,"GADL1"
"ENSG00000168672",-0.965800996191865,"LRATD2"
"ENSG00000183779",-0.934115643793237,"ZNF703"
"ENSG00000008196",-0.917041543876401,"TFAP2B"
"ENSG00000286619",0.468172889903226,NA
"ENSG00000206052",-0.921423203721644,"DOK6"
"ENSG00000104953",0.886764032741717,"TLE6"
"ENSG00000174721",-0.505379566942431,"FGFBP3"
"ENSG00000162631",0.376817166120189,"NTNG1"
"ENSG00000152661",-0.956590834084925,"GJA1"
"ENSG00000112175",-0.851214178413101,"BMP5"
"ENSG00000066468",-0.983796148799473,"FGFR2"
"ENSG00000163565",0.381338163500871,"IFI16"
"ENSG00000164125",0.243912599013576,"GASK1B"
"ENSG00000125968",-0.899569631078618,"ID1"
"ENSG00000137573",-0.724486504065545,"SULF1"
"ENSG00000277586",-0.902932427539623,"NEFL"
"ENSG00000265972",0.5311264194492,"TXNIP"
"ENSG00000064655",0.81017549326982,"EYA2"
"ENSG00000210082",-0.623914564630013,NA
"ENSG00000065717",0.82183378276261,"TLE2"
"ENSG00000048540",0.538943394424552,"LMO3"
"ENSG00000124205",0.655105714503127,"EDN3"
"ENSG00000218739",0.391571720920317,"CEBPZOS"
"ENSG00000173157",-0.903035823591396,"ADAMTS20"
"ENSG00000196263",0.473737184383632,"ZNF471"
"ENSG00000180914",-0.902116425066751,"OXTR"
"ENSG00000145244",0.120650995367602,"CORIN"
"ENSG00000018625",-0.728857125807712,"ATP1A2"
"ENSG00000139209",0.7024544689854,"SLC38A4"
"ENSG00000135048",-0.783782505470063,"CEMIP2"
"ENSG00000198825",0.445362638310987,"INPP5F"
"ENSG00000267575",-0.526164633381045,"LINC02987"
"ENSG00000041982",-0.767929446266806,"TNC"
"ENSG00000223561",0.830596624778575,"LINC03007"
"ENSG00000159307",0.637850781115464,"SCUBE1"
"ENSG00000196562",0.382515934457485,"SULF2"
"ENSG00000145358",-0.865022943827819,"DDIT4L"
"ENSG00000172965",-0.90672998067056,"MIR4435-2HG"
"ENSG00000198840",-0.602150694870046,"ND3"
"ENSG00000164434",0.731403797682494,"FABP7"
"ENSG00000184319",-0.778481006300436,NA
"ENSG00000177426",-0.947331454911476,"TGIF1"
"ENSG00000124920",0.828128304721476,"MYRF"
"ENSG00000006327",-0.931019205190154,"TNFRSF12A"
"ENSG00000135899",0.69446329658989,"SP110"
"ENSG00000138798",-0.699750406138693,"EGF"
"ENSG00000168952",-0.85226097825865,"STXBP6"
"ENSG00000145721",-0.617697539956116,"LIX1"
"ENSG00000279289",-0.944613090278903,NA
"ENSG00000116741",0.558789410047572,"RGS2"
"ENSG00000075426",-0.919629947966178,"FOSL2"
"ENSG00000154640",-0.92664068202513,"BTG3"
"ENSG00000122779",-0.740535338156467,"TRIM24"
"ENSG00000150394",-0.881426749895553,"CDH8"
"ENSG00000132718",-0.715835383514102,"SYT11"
"ENSG00000231609",-0.582188093493554,"EHBP1-AS1"
"ENSG00000124145",-0.863300744404123,"SDC4"
"ENSG00000165105",0.63019673176551,"RASEF"
"ENSG00000096696",-0.645747374662548,"DSP"
"ENSG00000075213",-0.875373818486356,"SEMA3A"
"ENSG00000075407",0.389893077102993,"ZNF37A"
"ENSG00000107249",-0.915281552985812,"GLIS3"
"ENSG00000163545",-0.92101219814135,"NUAK2"
"ENSG00000085117",-0.724356123650237,"CD82"
"ENSG00000181019",-0.902467843507208,"NQO1"
"ENSG00000274602",0.526069343359085,NA
"ENSG00000036672",0.650813042393047,"USP2"
"ENSG00000138795",-0.818031622904756,"LEF1"
"ENSG00000113070",-0.846162179427316,"HBEGF"
"ENSG00000145934",-0.875799556604656,"TENM2"
"ENSG00000166352",0.399083061026745,"IFTAP"
"ENSG00000261824",-0.51059255223724,"LINC00662"
"ENSG00000197747",-0.882075766126051,"S100A10"
"ENSG00000144331",-0.653099666074729,"ZNF385B"
"ENSG00000182580",0.730094231268981,"EPHB3"
"ENSG00000165655",-0.833983719814162,"ZNF503"
"ENSG00000273906",0.421074083808584,NA
"ENSG00000119547",-0.860885872017515,"ONECUT2"
"ENSG00000183023",0.663956822856706,"SLC8A1"
"ENSG00000092068",-0.792532966525132,"SLC7A8"
"ENSG00000221955",0.472217119833629,"SLC12A8"
"ENSG00000172572",-0.789074635141764,"PDE3A"
"ENSG00000158246",-0.885915226483861,"TENT5B"
"ENSG00000135697",-0.415113415046111,"BCO1"
"ENSG00000200385",0.691501944702316,NA
"ENSG00000061918",-0.7941486735976,"GUCY1B1"
"ENSG00000133687",-0.892129454803183,"TMTC1"
"ENSG00000176641",-0.864094464739472,"RNF152"
"ENSG00000117318",0.481811123277148,"ID3"
"ENSG00000130707",-0.855892024880887,"ASS1"
"ENSG00000249859",-0.79533509280021,"PVT1"
"ENSG00000183036",-0.732631241475488,"PCP4"
"ENSG00000089127",0.230974350739362,"OAS1"
"ENSG00000138722",-0.3221542262122,"MMRN1"
"ENSG00000172667",-0.791560192856084,"ZMAT3"
"ENSG00000143248",-0.648359837691651,"RGS5"
"ENSG00000162878",0.629183738016581,"PKDCC"
"ENSG00000080573",-0.670839511616576,"COL5A3"
"ENSG00000269397",0.399974186236556,NA
"ENSG00000154553",-0.868587983002644,"PDLIM3"
"ENSG00000077327",0.350013564869048,"SPAG6"
"ENSG00000122012",-0.765077196724939,"SV2C"
"ENSG00000186047",0.758239213304292,"DLEU7"
"ENSG00000162692",-0.683350988567205,"VCAM1"
"ENSG00000162551",-0.622509509539159,"ALPL"
"ENSG00000286214",0.619839253160663,NA
"ENSG00000162761",-0.611620676659767,"LMX1A"
"ENSG00000186481",0.468498580673552,NA
"ENSG00000214870",0.29598643657685,"LINC02981"
"ENSG00000206538",-0.808823036639235,"VGLL3"
"ENSG00000244621",-0.707506164235363,"RPS17P11"
"ENSG00000072133",0.783177800584653,"RPS6KA6"
"ENSG00000279114",0.493288051413943,NA
"ENSG00000105048",-0.389602492307925,"TNNT1"
