"","Dim.1","Dim.2","Dim.3",""
"ENSG00000054598","0.409626207967879","-1.22946993666157","0.554257284205334","FOXC1"
"ENSG00000158966","-1.01380307613688","0.895044544174644","0.421544591053201","CACHD1"
"ENSG00000101384","-1.37508522616736","0.250998173280744","0.169396825062927","JAG1"
"ENSG00000229847","-0.846089367676855","0.926145267464986","0.621891281730282","EMX2OS"
"ENSG00000139865","1.16362055442695","-0.766404402105715","0.00215572146909507","TTC6"
"ENSG00000146242","-1.18553767845695","-0.0570315996950029","0.741779333891635","TPBG"
"ENSG00000245532","-1.33484734031758","-0.148876873138266","-0.381530284714946","NEAT1"
"ENSG00000134369","-0.836431119865564","0.883817775584507","0.686418527338491","NAV1"
"ENSG00000177283","1.18578105172818","-0.578270714888274","-0.441596516948203","FZD8"
"ENSG00000169245","0.887259993971755","-0.536301854191581","0.917937856493817","CXCL10"
"ENSG00000147246","1.21812608861124","-0.520506663726048","-0.342654681558166","HTR2C"
"ENSG00000145632","-1.37066098798882","0.101896318808196","-0.0861131471021649","PLK2"
"ENSG00000159212","-1.27934065093785","0.400843495103024","-0.147985282319762","CLIC6"
"ENSG00000120149","-1.26097366191022","0.471197953340185","-0.0198092798930506","MSX2"
"ENSG00000185668","1.18961852884889","-0.157734507218679","-0.616332309211681","POU3F1"
"ENSG00000257935","-0.70090087718935","1.00105268089681","0.542370641525831",NA
"ENSG00000131981","-1.30928997493431","0.264856510340569","0.0912312576016154","LGALS3"
"ENSG00000282826","-0.602474987378739","-1.19032778490852","0.0188204320361262","FRG1CP"
"ENSG00000151892","0.174201729365332","-1.22580984225031","0.480144060947337","GFRA1"
"ENSG00000106571","-1.06959403212029","0.531973861514948","0.555129383924879","GLI3"
"ENSG00000135333","-1.0585606256234","0.555617171068928","0.531847100626472","EPHA7"
"ENSG00000086696","-0.886040482681846","0.677097708539313","0.629552930128019","HSD17B2"
"ENSG00000271824","1.10612851100647","-0.633731997364391","-0.189816557506731","SMIM32"
"ENSG00000157601","0.515807259100354","1.12095672569432","0.293452357333983","MX1"
"ENSG00000113739","-1.24934600214866","-0.0626023445322829","-0.300151733585777","STC2"
"ENSG00000125845","-1.27309402469599","-0.114570553779522","0.157888474054609","BMP2"
"ENSG00000184144","-1.22861243391604","0.0350557076687069","0.34760107100743","CNTN2"
"ENSG00000155093","-0.485451202254345","-1.15380977529343","0.157397789755107","PTPRN2"
"ENSG00000162998","1.0779259021523","0.0428094676195876","-0.625462499140235","FRZB"
"ENSG00000187122","0.957331879705272","-0.812819999294508","0.167552530542749","SLIT1"
"ENSG00000122861","-1.25844193686858","0.14863751039394","-0.13090144007307","PLAU"
"ENSG00000236502","1.05682603351057","0.0528023874608486","-0.682483106643939","SIX3-AS1"
"ENSG00000120129","-1.15416395066159","-0.378717213056145","-0.336201023240823","DUSP1"
"ENSG00000003436","-1.21303993451666","-0.217923865938185","0.245177174278251","TFPI"
"ENSG00000198046","0.576377498737373","1.11846553595455","-0.0333170826319216","ZNF667"
"ENSG00000166426","-1.1481984602631","0.378314093222292","-0.239319098534314","CRABP1"
"ENSG00000198105","0.638156614883755","1.0727076497273","0.00489528424548034","ZNF248"
"ENSG00000156687","0.0963375839740517","1.06115126535855","0.641788373440094","UNC5D"
"ENSG00000125492","-0.940807902343606","0.653303958666692","0.385039851994881","BARHL1"
"ENSG00000106333","0.770095938685151","-0.876615667197649","0.422179480657535","PCOLCE"
"ENSG00000162772","-1.07793938199808","0.471609949405349","0.386520731462527","ATF3"
"ENSG00000115380","0.976821709692389","-0.735202076264028","0.184065435337821","EFEMP1"
"ENSG00000154342","-1.18630337347898","0.331506261496437","-0.0391339553388315","WNT3A"
"ENSG00000226278","0.586265318774574","1.08635976635127","-0.0252951103416425",NA
"ENSG00000106366","-1.16498050803871","0.118804096774255","-0.315915372047175","SERPINE1"
"ENSG00000164651","-1.12046300845487","0.142642659231623","0.47829968087654","SP8"
"ENSG00000130226","0.614622612789287","1.04715294605138","-0.141095938547228","DPP6"
"ENSG00000144857","-1.10526864523889","0.505335571547187","0.137519591520747","BOC"
"ENSG00000165949","0.346512612175307","0.905340809148433","0.674832976359079","IFI27"
