"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","clusters"
"ENSG00000127804",81.9108254203255,-0.153046407567577,0.084626587408667,-1.80849083312915,0.0705301422503479,0.149072249778867,"METTL16",NA
"ENSG00000127824",1.75237090779788,-0.912289878851156,0.561353670446325,-1.62516061955346,0.104128339038473,0.202915676359523,"TUBA4A",NA
"ENSG00000127837",213.045077095334,0.17856970679725,0.0578571817486814,3.08638791935834,0.00202604311985906,0.00736980882580951,"AAMP",NA
"ENSG00000127838",88.7138988903108,0.0364732491040075,0.0870956051787049,0.418772554931685,0.675382364374549,0.783961051954648,"PNKD",NA
"ENSG00000127863",54.4225595506825,-0.368531831602922,0.256755735651765,-1.43534021028748,0.151190174684282,0.271320474681784,"TNFRSF19",NA
"ENSG00000127870",59.3124694778599,0.025324274686764,0.106347085001801,0.238128526854639,0.811781409800131,0.880579562364202,"RNF6",NA
"ENSG00000127884",184.963227858549,0.225556599933217,0.125575564618241,1.79618224786746,0.0724655370673844,0.152246006557634,"ECHS1",NA
"ENSG00000127903",1.12564147165418,-0.391251710221014,0.636875571823757,-0.614329906076671,0.538997344146377,0.675655368550358,"ZNF835",NA
"ENSG00000127914",536.910315634767,-0.259937453222614,0.0521121419196519,-4.98804009290952,6.0994912431686e-07,4.73421395720277e-06,"AKAP9",NA
"ENSG00000127920",135.724749432526,-2.40612284820886,0.144413102270771,-16.6613888239687,2.50147671385979e-62,3.47088957369473e-60,"GNG11",2
"ENSG00000127922",810.095469370538,-0.370528451778532,0.057379209893246,-6.45753840925834,1.06419747970985e-10,1.36120596803502e-09,"SEM1",NA
"ENSG00000127928",2.3349485064228,1.23908690998199,0.497803937559348,2.48910628561324,0.0128064674137263,0.0363879267009988,"GNGT1",NA
"ENSG00000127946",331.878649592776,-0.202786795493599,0.0507612065538786,-3.9949167732717,6.47169829672975e-05,0.000340533330546252,"HIP1",NA
"ENSG00000127947",276.962645221689,-0.152144148816188,0.0537967947718325,-2.8281266469773,0.00468212795911742,0.0152861698484536,"PTPN12",NA
"ENSG00000127948",107.727396655974,-0.389627677514243,0.0938763246743999,-4.15043600040399,3.31842548514499e-05,0.000185359425873851,"POR",NA
"ENSG00000127951",2.32899882729579,0.907886942023344,0.48610242993703,1.86768649179752,0.061805782593054,0.134057218519687,"FGL2",NA
"ENSG00000127952",34.2399826273462,-0.262506775545343,0.126312140909363,-2.07823866855133,0.0376873821901651,0.0897894729597214,"STYXL1",NA
"ENSG00000127955",137.064540555974,0.686287765925257,0.076899112225693,8.92452131191131,4.47630829187625e-19,1.15515298076612e-17,"GNAI1",NA
"ENSG00000127957",11.2197503499078,0.252605699735407,0.21523219014037,1.1736427509782,0.240538149916493,0.382698799413842,NA,NA
"ENSG00000127980",81.5201716829517,0.15582102415676,0.0859627876881308,1.81265671283337,0.0698847848019796,0.147944041944534,"PEX1",NA
"ENSG00000127989",49.1501502198,0.0390738719768052,0.102262904201558,0.382092336237504,0.702392876145931,0.804968804910359,"MTERF1",NA
"ENSG00000127990",175.197726183798,0.0081766386862069,0.0680536614657391,0.120149871588075,0.904364426686163,0.941128806640579,"SGCE",NA
"ENSG00000127993",24.0747307381457,0.159068391396018,0.160013262274926,0.994095046463807,0.320176596735098,0.472067565587408,"RBM48",NA
"ENSG00000127995",114.515771436236,0.676345775623881,0.0754929062964846,8.95906395453444,3.27446188475097e-19,8.53053009104919e-18,"CASD1",NA
"ENSG00000128000",32.0283695886862,0.748151217894898,0.226742071278572,3.29956947855403,0.000968332544572276,0.00383012426429869,"ZNF780B",NA
"ENSG00000128011",13.7689967795515,1.143372979248,0.234342859445795,4.87906045847523,1.06592388722528e-06,7.93557954610795e-06,"LRFN1",1
"ENSG00000128016",100.886405564862,-1.91640485361875,0.161297008267118,-11.8812176010423,1.48192848534994e-32,7.90416897979965e-31,"ZFP36",2
"ENSG00000128039",24.9017690733608,-0.55583927592814,0.162274377392039,-3.42530524449518,0.000614109040862705,0.00255796387088081,"SRD5A3",NA
"ENSG00000128050",529.430762231859,-0.471480788813467,0.03845720849686,-12.2598807152621,1.4871864867726e-34,8.60321657061081e-33,"PAICS",NA
"ENSG00000128052",4.93250475761748,-0.937230189172629,0.38539669591978,-2.43185839187296,0.0150215789452828,0.0416980564865577,"KDR",NA
"ENSG00000128059",159.959698401367,-0.232120417786824,0.103598893465058,-2.24056850438383,0.0250540387572624,0.0643421048986133,"PPAT",NA
"ENSG00000128159",43.0262567297329,0.202287142175796,0.109603483986542,1.84562693463864,0.0649463928430828,0.139510155952361,"TUBGCP6",NA
"ENSG00000128165",16.81326996084,-1.73113292223881,0.209640378463696,-8.25763116306621,1.48591880259059e-16,3.18259208411685e-15,"ADM2",2
"ENSG00000128185",60.9990973288009,0.32838169714758,0.152643074819924,2.15130426018329,0.0314521922357536,0.0774693307088,"DGCR6L",NA
"ENSG00000128191",75.7246925650566,0.0302865492916969,0.0980386539001254,0.30892457298068,0.7573789039261,0.84453128653488,"DGCR8",NA
"ENSG00000128203",78.7571547374886,-0.795518655754636,0.104337886800314,-7.62444669094296,2.45083319903998e-14,4.4608891725492e-13,"ASPHD2",NA
"ENSG00000128218",1.20840160821076,0.334072527364171,0.718811340484321,0.464756895931941,0.642105558758013,0.757970361821,"VPREB3",NA
