"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","lineage"
"ENSG00000126583",17.6736239860023,-0.730940823997427,0.186990914734508,-3.90896437420622,9.26926307049027e-05,0.000591213296264335,"PRKCG","exclusive"
"ENSG00000126653",180.804470019964,-0.116200693487751,0.0982700262961512,-1.18246323795176,0.237021943954728,0.399249947363178,"NSRP1","exclusive"
"ENSG00000126698",270.181568612152,-0.194561608196311,0.112302849083707,-1.73247259338265,0.0831894526699593,0.184880275193275,"DNAJC8","exclusive"
"ENSG00000126705",145.526075331255,0.0023339529823937,0.158321583930371,0.0147418496231073,0.98823813180863,0.993173983153541,"AHDC1","exclusive"
"ENSG00000126709",200.37873739172,-0.167301005453116,0.402639640374089,-0.41551051778627,0.677768217206379,0.79687652709709,"IFI6","exclusive"
"ENSG00000126733",4.07881421287295,0.00235662401167743,0.370800926462019,0.00635549655758159,0.9949290815582,0.996921027790828,"DACH2","exclusive"
"ENSG00000126746",13.9776721914574,0.214282274441784,0.231697803758379,0.924835155818926,0.355051660616595,0.525669932573479,"ZNF384","exclusive"
"ENSG00000126749",81.8908185917316,-0.169621978498203,0.100670177111675,-1.68492778462125,0.092002505196078,0.199805939084924,"EMG1","exclusive"
"ENSG00000126756",169.556633415911,0.120403462509065,0.0945350962811072,1.27363769907249,0.202791845217307,0.357130142159858,"UXT","exclusive"
"ENSG00000126767",98.8454606310932,-0.333708567467586,0.178233870134774,-1.87230725122699,0.061164108155666,0.145958207579279,"ELK1","exclusive"
"ENSG00000126768",58.712552465944,-0.0434298817559415,0.211512257412407,-0.20533033067328,0.837314048419069,0.904492821224731,"TIMM17B","exclusive"
"ENSG00000126773",257.554738304213,0.300768491912322,0.0781897932878565,3.84664646452051,0.000119745560205439,0.000743791249568938,"PCNX4","exclusive"
"ENSG00000126775",75.9142330002799,0.272317051341664,0.133390170322184,2.04150763646169,0.0412003956119552,0.107177750036857,"ATG14","exclusive"
"ENSG00000126777",811.660262415449,-0.356790269550661,0.0599578131479769,-5.95068850610172,2.67016838862395e-09,4.13789002479395e-08,"KTN1","exclusive"
"ENSG00000126778",10.9284986891743,-0.786654401160957,0.391627490288396,-2.00868023994348,0.0445710556157116,0.11421290072092,"SIX1","exclusive"
"ENSG00000126787",252.218511084564,-0.561316511049032,0.0550652044559755,-10.1936697882926,2.11621622440494e-24,1.32786578790209e-22,"DLGAP5","exclusive"
